data_rilascio,lingua,tariffa_noleggio,titolo,descrizione,voto,film_id,durata,lingua_originale_id,costo_sostituzione,durata_noleggio
2006,English,0.99,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,PG,1,86,,20.99,6
2006,English,4.99,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,G,2,48,,12.99,3
2006,English,2.99,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,NC-17,3,50,,18.99,7
2006,English,2.99,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,G,4,117,,26.99,5
2006,English,2.99,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,G,5,130,,22.99,6
2006,English,2.99,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,PG,6,169,,17.99,3
2006,English,4.99,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,PG-13,7,62,,28.99,6
2006,English,4.99,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,R,8,54,,15.99,6
2006,English,2.99,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,PG-13,9,114,,21.99,3
2006,English,4.99,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,NC-17,10,63,,24.99,6
2006,English,0.99,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,G,11,126,,16.99,6
2006,English,0.99,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,PG,12,136,,22.99,6
2006,English,4.99,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,PG,13,150,,21.99,4
2006,English,0.99,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,NC-17,14,94,,23.99,6
2006,English,2.99,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,NC-17,15,46,,10.99,5
2006,English,2.99,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,NC-17,16,180,,23.99,6
2006,English,0.99,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,R,17,82,,14.99,3
2006,English,0.99,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,PG-13,18,57,,27.99,6
2006,English,0.99,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,PG,19,113,,20.99,6
2006,English,4.99,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,R,20,79,,23.99,4
2006,English,4.99,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,R,21,129,,17.99,3
2006,English,2.99,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,G,22,85,,10.99,6
2006,English,0.99,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,R,23,92,,9.99,3
2006,English,2.99,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,R,24,181,,19.99,6
