Fiscal year,IRTC percent,Section name,Branch ID,Sector percent,Gender equality (marker),Participatory development and good governance,Organisation sub-class,Regional program (marker),Youth issues (marker),Sector ID,Section ID,Climate change adaptation (marker),Biodiversity (marker),CountryRegion name,FSTC percent,Organisation type,Knowledge for development (marker),Status,Climate change mitigation (marker),Organisation class,CIDA business delivery model (old),Indigenous issues (marker),Disability issues (marker),Amount spent,ICT as a tool for development (marker),Division name,Continent ID,Programming process (new),CFLI (marker),CountryRegion percent,Project number,Desertification (marker),Children issues (marker),Fund centre ID,Maximum CIDA contribution (project-level),Branch name,Division ID,Fund centre name,Untied amount(Project-level budget),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,0.0,Bangladesh Section,B4100,0.2,2,0,CONSULTANT,0,0,15150,S4122,0,0,Bangladesh,1.0,Canadian Profit Making,0,Closed,0,Individual,Directive,0,0,3932.842,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A017716001,0,0,4122,8500267.65,OGM Asia Pacific,D4100,Bangladesh,8500267.65,1,Not PBA,0
2009/2010,0.0,Bangladesh Section,B4100,0.3,2,0,CONSULTANT,0,0,24040,S4122,0,0,Bangladesh,1.0,Canadian Profit Making,0,Closed,0,Individual,Directive,0,0,5899.263000000001,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A017716001,0,0,4122,8500267.65,OGM Asia Pacific,D4100,Bangladesh,8500267.65,1,Not PBA,0
2009/2010,0.0,Bangladesh Section,B4100,0.5,2,0,CONSULTANT,0,0,25020,S4122,0,0,Bangladesh,1.0,Canadian Profit Making,0,Closed,0,Individual,Directive,0,0,9832.105,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A017716001,0,0,4122,8500267.65,OGM Asia Pacific,D4100,Bangladesh,8500267.65,1,Not PBA,0
2009/2010,0.0,West Bank Gaza & Palestinian Refugees,B3100,1.0,0,0,FEDERAL,0,0,99810,S4264,0,0,West Bank Gaza,0.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,20502.06,0,EDD Europe-Middle East Programming,3,Uncoded: Pre-APP,0,1.0,A018652001,0,0,4265,500458.33,"EGM Europe, Middle East and Maghreb",D3100,West Bank Gaza,0.0,1,Not PBA,0
2009/2010,0.0,Mali Program Section,B4200,0.5,2,1,FEDERAL,0,0,16020,S4215,0,0,Mali,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Responsive,0,0,14226.985,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A018893001,0,0,4216,14410076.46,WGM Sub-Saharan Africa,D4207,Mali,14410076.46,1,Not PBA,0
2009/2010,0.0,Mali Program Section,B4200,0.4,2,1,FEDERAL,0,0,32310,S4215,0,0,Mali,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Responsive,0,0,11381.588,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A018893001,0,0,4216,14410076.46,WGM Sub-Saharan Africa,D4207,Mali,14410076.46,1,Not PBA,0
2009/2010,0.0,Mali Program Section,B4200,0.1,2,1,FEDERAL,0,0,43030,S4215,0,0,Mali,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Responsive,0,0,2845.397,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A018893001,0,0,4216,14410076.46,WGM Sub-Saharan Africa,D4207,Mali,14410076.46,1,Not PBA,0
2009/2010,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",B4100,0.4,0,1,FEDERAL,0,0,15110,S4141,0,0,Pakistan,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Responsive,0,0,142315.2,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A019043001,0,0,4124,13743220.56,OGM Asia Pacific,D4100,Pakistan,13743220.56,1,Not PBA,0
2009/2010,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",B4100,0.4,0,1,FEDERAL,0,0,15111,S4141,0,0,Pakistan,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Responsive,0,0,142315.2,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A019043001,0,0,4124,13743220.56,OGM Asia Pacific,D4100,Pakistan,13743220.56,1,Not PBA,0
2009/2010,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",B4100,0.2,0,1,FEDERAL,0,0,16010,S4141,0,0,Pakistan,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Responsive,0,0,71157.6,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A019043001,0,0,4124,13743220.56,OGM Asia Pacific,D4100,Pakistan,13743220.56,1,Not PBA,0
2009/2010,0.0,Caricom - Adm,B4400,1.0,0,0,CONSULTING SERVICES,0,0,24040,S4429,0,0,Jamaica,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Responsive,0,0,13163.27,1,NDD Americas Programming,1,Uncoded: Pre-APP,0,1.0,A019362001,0,0,4439,3441416.83,NGM Americas,D4400,Caribbean Regional - Jamaica,3441416.83,1,Not PBA,0
2009/2010,0.0,Caricom - Adm,B4400,1.0,0,0,CONSULTING SERVICES,0,0,24040,S4429,0,0,Jamaica,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Responsive,0,0,7256.25,1,NDD Americas Programming,1,Uncoded: Pre-APP,0,1.0,A019362001,0,0,4439,3441416.83,NGM Americas,D4400,Caribbean Regional - Jamaica,3441416.83,1,Not PBA,0
2009/2010,0.0,Middle East and North Africa,B3100,0.2,0,1,CONSULTING SERVICES,0,0,15150,S4256,0,0,Egypt,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,73931.99,1,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A019608001,0,0,4263,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,Egypt,0.0,1,Not PBA,1
2009/2010,0.0,Middle East and North Africa,B3100,0.05,0,1,CONSULTING SERVICES,0,0,24030,S4256,0,0,Egypt,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,18482.9975,1,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A019608001,0,0,4263,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,Egypt,0.0,1,Not PBA,1
2009/2010,0.0,Middle East and North Africa,B3100,0.05,0,1,CONSULTING SERVICES,0,0,25010,S4256,0,0,Egypt,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,18482.9975,1,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A019608001,0,0,4263,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,Egypt,0.0,1,Not PBA,1
2009/2010,0.0,Middle East and North Africa,B3100,0.05,0,1,CONSULTING SERVICES,0,0,32110,S4256,0,0,Egypt,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,18482.9975,1,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A019608001,0,0,4263,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,Egypt,0.0,1,Not PBA,1
