assay_id,relationship_type,variant_id,cell_id,assay_strain,description,curated_by,src_assay_id,assay_cell_type,assay_category,tissue_id,tid,bao_format,assay_type,assay_subcellular_fraction,doc_id,assay_tissue,confidence_score,src_id,chembl_id
1,H,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,Autocuration,,,,,12052,BAO_0000019,B,,11087,,8,1,CHEMBL615117
2,U,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,Autocuration,,,,,22226,BAO_0000219,F,,684,,0,1,CHEMBL615118
3,U,,,,,Autocuration,,,,,22226,BAO_0000019,B,,15453,,0,1,CHEMBL615119
4,H,,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Autocuration,,,,,104729,BAO_0000249,B,,17841,,4,1,CHEMBL615120
5,N,,163.0,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Intermediate,,143B,,,80001,BAO_0000219,F,,17430,,1,1,CHEMBL615121
6,N,,163.0,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Intermediate,,143B,,,80001,BAO_0000219,F,,17430,,1,1,CHEMBL615122
7,N,,163.0,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Intermediate,,143B,,,80001,BAO_0000219,F,,13799,,1,1,CHEMBL615123
8,N,,163.0,,In vitro cell cytotoxicity was determined against 143B cell line,Expert,,143B,,,80001,BAO_0000219,F,,17774,,1,1,CHEMBL615124
9,N,,163.0,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Intermediate,,143B,,,80001,BAO_0000219,F,,3801,,1,1,CHEMBL615125
10,N,,163.0,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Intermediate,,143B,,,80001,BAO_0000219,F,,17430,,1,1,CHEMBL615126
11,N,,163.0,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Intermediate,,143B,,,80001,BAO_0000219,F,,17430,,1,1,CHEMBL615127
12,N,,163.0,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,Expert,,143B,,,80001,BAO_0000219,F,,17774,,1,1,CHEMBL615128
13,N,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,,,,50185,BAO_0000218,F,,11324,,1,1,CHEMBL857900
14,N,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,,,,50185,BAO_0000218,F,,11324,,1,1,CHEMBL615129
15,N,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,,,,50185,BAO_0000218,F,,11324,,1,1,CHEMBL615130
16,N,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,,,,50185,BAO_0000218,F,,11324,,1,1,CHEMBL615131
17,D,,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,Expert,,,,,100122,BAO_0000357,A,,11347,,9,1,CHEMBL884521
18,H,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,,,12054,BAO_0000357,B,,16474,,8,1,CHEMBL615132
19,H,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,Autocuration,,,,,12054,BAO_0000019,B,,10091,,8,1,CHEMBL615133
20,H,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,,,12054,BAO_0000357,B,,16474,,8,1,CHEMBL615134
21,H,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,,,12054,BAO_0000357,B,,16474,,8,1,CHEMBL615135
22,H,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,,,12054,BAO_0000357,B,,16474,,8,1,CHEMBL615136
23,H,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,Autocuration,,,,,12054,BAO_0000357,B,,16474,,8,1,CHEMBL615137
24,H,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,Autocuration,,,,,12054,BAO_0000357,B,,16474,,8,1,CHEMBL615138
25,U,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",Autocuration,,,,,22226,BAO_0000219,B,,14352,,0,1,CHEMBL836324
26,H,,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,Autocuration,,,,,12054,BAO_0000357,B,,5646,,8,1,CHEMBL615139
27,H,,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),Autocuration,,,,,12054,BAO_0000357,B,,5646,,8,1,CHEMBL615140
28,H,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,Autocuration,,,,,12426,BAO_0000219,B,,10997,,8,1,CHEMBL615141
29,H,,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,Autocuration,,,,,12054,BAO_0000357,B,,6309,,8,1,CHEMBL615142
30,H,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,Autocuration,,,,,12054,BAO_0000357,B,,167,,8,1,CHEMBL615143
31,H,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,Autocuration,,,,,12054,BAO_0000357,B,,167,,8,1,CHEMBL615144
32,H,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,Autocuration,,,,,12054,BAO_0000357,B,,11087,,8,1,CHEMBL872867
33,H,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,Autocuration,,,,,12054,BAO_0000357,B,,11087,,8,1,CHEMBL615145
34,H,,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,Autocuration,,,,,12054,BAO_0000357,B,,13622,,8,1,CHEMBL615146
35,H,,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,Autocuration,,,,,12054,BAO_0000357,B,,13622,,8,1,CHEMBL615147
36,U,,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,Autocuration,,,,,22226,BAO_0000019,A,,11347,,0,1,CHEMBL615148
37,U,,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,Autocuration,,,,,22226,BAO_0000019,B,,5926,,0,1,CHEMBL615149
38,U,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,Autocuration,,,,,22226,BAO_0000019,B,,4567,,0,1,CHEMBL615150
39,M,,,,Dissociation constant towards 16S rRNA construct A,Intermediate,,,,,22222,BAO_0000225,B,,3782,,3,1,CHEMBL615151
40,M,,,,Dissociation constant towards 16S rRNA construct B,Intermediate,,,,,22222,BAO_0000225,B,,3782,,3,1,CHEMBL615152
41,M,,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,Expert,,,,,100263,BAO_0000225,B,,4466,,3,1,CHEMBL615153
42,M,,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,Expert,,,,,100263,BAO_0000225,B,,6592,,3,1,CHEMBL615154
43,H,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,13053,BAO_0000019,B,,898,,8,1,CHEMBL615155
44,H,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,13053,BAO_0000019,B,,898,,8,1,CHEMBL615156
45,H,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,,,,,20001,BAO_0000019,B,,13163,,8,1,CHEMBL615157
