cell_id,assay_tissue,assay_organism,curated_by,src_id,tid,assay_type,relationship_type,assay_test_type,variant_id,tissue_id,confidence_score,chembl_id,assay_category,assay_tax_id,assay_id,src_assay_id,description,assay_subcellular_fraction,doc_id,assay_strain,assay_cell_type,bao_format
,,,Autocuration,1,12052,B,H,,,,8,CHEMBL615117,,,1,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,11087,,,BAO_0000019
,,,Autocuration,1,22226,F,U,,,,0,CHEMBL615118,,,2,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,684,,,BAO_0000219
,,,Autocuration,1,22226,B,U,,,,0,CHEMBL615119,,,3,,,,15453,,,BAO_0000019
,,Bos taurus,Autocuration,1,104729,B,H,,,,4,CHEMBL615120,,9913.0,4,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,17841,,,BAO_0000249
163.0,,Homo sapiens,Intermediate,1,80001,F,N,,,,1,CHEMBL615121,,9606.0,5,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,17430,,143B,BAO_0000219
163.0,,Homo sapiens,Intermediate,1,80001,F,N,,,,1,CHEMBL615122,,9606.0,6,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,17430,,143B,BAO_0000219
163.0,,Mus musculus,Intermediate,1,80001,F,N,,,,1,CHEMBL615123,,10090.0,7,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,13799,,143B,BAO_0000219
163.0,,Homo sapiens,Expert,1,80001,F,N,,,,1,CHEMBL615124,,9606.0,8,,In vitro cell cytotoxicity was determined against 143B cell line,,17774,,143B,BAO_0000219
163.0,,Homo sapiens,Intermediate,1,80001,F,N,,,,1,CHEMBL615125,,9606.0,9,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,3801,,143B,BAO_0000219
163.0,,Homo sapiens,Intermediate,1,80001,F,N,,,,1,CHEMBL615126,,9606.0,10,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,17430,,143B,BAO_0000219
163.0,,Homo sapiens,Intermediate,1,80001,F,N,,,,1,CHEMBL615127,,9606.0,11,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,17430,,143B,BAO_0000219
163.0,,Homo sapiens,Expert,1,80001,F,N,,,,1,CHEMBL615128,,9606.0,12,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,17774,,143B,BAO_0000219
,,Staphylococcus aureus,Intermediate,1,50185,F,N,,,,1,CHEMBL857900,,1280.0,13,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,11324,,,BAO_0000218
,,Staphylococcus aureus,Intermediate,1,50185,F,N,,,,1,CHEMBL615129,,1280.0,14,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,11324,,,BAO_0000218
,,Staphylococcus aureus,Intermediate,1,50185,F,N,,,,1,CHEMBL615130,,1280.0,15,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,11324,,,BAO_0000218
,,Staphylococcus aureus,Intermediate,1,50185,F,N,,,,1,CHEMBL615131,,1280.0,16,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,11324,,,BAO_0000218
,,Rattus norvegicus,Expert,1,100122,A,D,,,,9,CHEMBL884521,,10116.0,17,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,11347,,,BAO_0000357
,,,Autocuration,1,12054,B,H,,,,8,CHEMBL615132,,,18,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,16474,,,BAO_0000357
,,,Autocuration,1,12054,B,H,,,,8,CHEMBL615133,,,19,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,10091,,,BAO_0000019
,,,Autocuration,1,12054,B,H,,,,8,CHEMBL615134,,,20,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,16474,,,BAO_0000357
,,,Autocuration,1,12054,B,H,,,,8,CHEMBL615135,,,21,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,16474,,,BAO_0000357
,,,Autocuration,1,12054,B,H,,,,8,CHEMBL615136,,,22,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,16474,,,BAO_0000357
,,,Autocuration,1,12054,B,H,,,,8,CHEMBL615137,,,23,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,16474,,,BAO_0000357
