amount,inventory_id,rental_id,rental_date,rstaff_id,payment_date,return_date,customer_id,pstaff_id,payment_id
2.99,3021,76,2005-05-25 11:30:37,2,2005-05-25 11:30:37,2005-06-03 12:00:37,1,1,1
0.99,4020,573,2005-05-28 10:35:23,1,2005-05-28 10:35:23,2005-06-03 06:32:23,1,1,2
5.99,2785,1185,2005-06-15 00:54:12,2,2005-06-15 00:54:12,2005-06-23 02:42:12,1,1,3
0.99,1021,1422,2005-06-15 18:02:53,2,2005-06-15 18:02:53,2005-06-19 15:54:53,1,2,4
9.99,1407,1476,2005-06-15 21:08:46,1,2005-06-15 21:08:46,2005-06-25 02:26:46,1,2,5
4.99,726,1725,2005-06-16 15:18:57,1,2005-06-16 15:18:57,2005-06-17 21:05:57,1,1,6
4.99,197,2308,2005-06-18 08:41:48,2,2005-06-18 08:41:48,2005-06-22 03:36:48,1,1,7
0.99,3497,2363,2005-06-18 13:33:59,1,2005-06-18 13:33:59,2005-06-19 17:40:59,1,2,8
3.99,4566,3284,2005-06-21 06:24:45,1,2005-06-21 06:24:45,2005-06-28 03:28:45,1,1,9
5.99,1443,4526,2005-07-08 03:17:05,2,2005-07-08 03:17:05,2005-07-14 01:19:05,1,2,10
5.99,3486,4611,2005-07-08 07:33:56,2,2005-07-08 07:33:56,2005-07-12 13:25:56,1,1,11
4.99,3726,5244,2005-07-09 13:24:07,2,2005-07-09 13:24:07,2005-07-14 14:01:07,1,1,12
4.99,797,5326,2005-07-09 16:38:01,1,2005-07-09 16:38:01,2005-07-13 18:02:01,1,1,13
7.99,1330,6163,2005-07-11 10:13:46,2,2005-07-11 10:13:46,2005-07-19 13:15:46,1,1,14
2.99,2465,7273,2005-07-27 11:31:22,1,2005-07-27 11:31:22,2005-07-31 06:50:22,1,2,15
4.99,1092,7841,2005-07-28 09:04:45,2,2005-07-28 09:04:45,2005-07-30 12:37:45,1,1,16
4.99,4268,8033,2005-07-28 16:18:23,1,2005-07-28 16:18:23,2005-07-30 17:56:23,1,2,17
0.99,1558,8074,2005-07-28 17:33:39,1,2005-07-28 17:33:39,2005-07-29 20:17:39,1,1,18
0.99,4497,8116,2005-07-28 19:20:07,1,2005-07-28 19:20:07,2005-07-29 22:54:07,1,2,19
2.99,108,8326,2005-07-29 03:58:49,2,2005-07-29 03:58:49,2005-08-01 05:16:49,1,2,20
2.99,2219,9571,2005-07-31 02:42:18,2,2005-07-31 02:42:18,2005-08-02 23:26:18,1,2,21
4.99,14,10437,2005-08-01 08:51:04,1,2005-08-01 08:51:04,2005-08-10 12:12:04,1,2,22
3.99,3232,11299,2005-08-02 15:36:52,2,2005-08-02 15:36:52,2005-08-10 16:40:52,1,2,23
0.99,1440,11367,2005-08-02 18:01:38,1,2005-08-02 18:01:38,2005-08-04 13:19:38,1,1,24
4.99,2639,11824,2005-08-17 12:37:54,2,2005-08-17 12:37:54,2005-08-19 10:11:54,1,2,25
0.99,921,12250,2005-08-18 03:57:29,1,2005-08-18 03:57:29,2005-08-22 23:05:29,1,1,26
0.99,3019,13068,2005-08-19 09:55:16,2,2005-08-19 09:55:16,2005-08-20 14:44:16,1,2,27
2.99,2269,13176,2005-08-19 13:56:54,2,2005-08-19 13:56:54,2005-08-23 08:50:54,1,2,28
0.99,4249,14762,2005-08-21 23:33:57,1,2005-08-21 23:33:57,2005-08-23 01:30:57,1,1,29
1.99,1449,14825,2005-08-22 01:27:57,2,2005-08-22 01:27:57,2005-08-27 07:01:57,1,1,30
2.99,1446,15298,2005-08-22 19:41:37,1,2005-08-22 19:41:37,2005-08-28 22:49:37,1,2,31
5.99,312,15315,2005-08-22 20:03:46,2,2005-08-22 20:03:46,2005-08-30 01:51:46,1,1,32
4.99,1090,320,2005-05-27 00:09:24,2,2005-05-27 00:09:24,2005-05-28 04:30:24,2,1,33
2.99,352,2128,2005-06-17 20:54:58,2,2005-06-17 20:54:58,2005-06-24 00:41:58,2,1,34
2.99,4116,5636,2005-07-10 06:31:24,1,2005-07-10 06:31:24,2005-07-13 02:36:24,2,1,35
6.99,2760,5755,2005-07-10 12:38:56,1,2005-07-10 12:38:56,2005-07-19 17:02:56,2,1,36
4.99,741,7346,2005-07-27 14:30:42,1,2005-07-27 14:30:42,2005-08-02 16:48:42,2,2,37
5.99,488,7376,2005-07-27 15:23:02,2,2005-07-27 15:23:02,2005-08-04 10:35:02,2,1,38
5.99,2053,7459,2005-07-27 18:40:20,2,2005-07-27 18:40:20,2005-08-02 21:07:20,2,2,39
5.99,1937,8230,2005-07-29 00:12:59,2,2005-07-29 00:12:59,2005-08-06 19:52:59,2,2,40
2.99,626,8598,2005-07-29 12:56:59,2,2005-07-29 12:56:59,2005-08-01 08:39:59,2,1,41
5.99,4038,8705,2005-07-29 17:14:29,1,2005-07-29 17:14:29,2005-08-02 16:01:29,2,2,42
4.99,2377,9031,2005-07-30 06:06:10,2,2005-07-30 06:06:10,2005-08-04 10:45:10,2,1,43
10.99,4030,9236,2005-07-30 13:47:43,1,2005-07-30 13:47:43,2005-08-08 18:52:43,2,2,44
0.99,1382,9248,2005-07-30 14:14:11,1,2005-07-30 14:14:11,2005-08-05 11:19:11,2,2,45
6.99,4088,9296,2005-07-30 16:21:13,1,2005-07-30 16:21:13,2005-08-08 11:57:13,2,2,46
6.99,3084,9465,2005-07-30 22:39:53,2,2005-07-30 22:39:53,2005-08-06 16:43:53,2,2,47
2.99,3142,10136,2005-07-31 21:58:56,1,2005-07-31 21:58:56,2005-08-03 19:44:56,2,1,48
0.99,138,10466,2005-08-01 09:45:26,1,2005-08-01 09:45:26,2005-08-06 06:28:26,2,1,49
0.99,3418,10918,2005-08-02 02:10:56,1,2005-08-02 02:10:56,2005-08-02 21:23:56,2,1,50
5.99,654,11087,2005-08-02 07:41:41,2,2005-08-02 07:41:41,2005-08-10 10:37:41,2,1,51
6.99,1149,11177,2005-08-02 10:43:48,2,2005-08-02 10:43:48,2005-08-10 10:55:48,2,1,52
2.99,2060,11256,2005-08-02 13:44:53,1,2005-08-02 13:44:53,2005-08-04 16:39:53,2,2,53
2.99,805,11614,2005-08-17 03:52:18,1,2005-08-17 03:52:18,2005-08-20 07:04:18,2,1,54
2.99,1521,12963,2005-08-19 06:26:04,2,2005-08-19 06:26:04,2005-08-23 11:37:04,2,1,55
4.99,3164,14475,2005-08-21 13:24:32,2,2005-08-21 13:24:32,2005-08-27 08:59:32,2,1,56
5.99,4570,14743,2005-08-21 22:41:56,1,2005-08-21 22:41:56,2005-08-29 00:18:56,2,2,57
4.99,2179,15145,2005-08-22 13:53:04,1,2005-08-22 13:53:04,2005-08-31 15:51:04,2,2,58
4.99,2898,15907,2005-08-23 17:39:35,1,2005-08-23 17:39:35,2005-08-25 23:23:35,2,2,59
1.99,3328,435,2005-05-27 17:17:09,2,2005-05-27 17:17:09,2005-06-02 11:20:09,3,1,60
2.99,3464,830,2005-05-29 22:43:55,1,2005-05-29 22:43:55,2005-06-01 17:43:55,3,1,61
8.99,3913,1546,2005-06-16 01:34:05,1,2005-06-16 01:34:05,2005-06-24 04:27:05,3,1,62
6.99,116,1726,2005-06-16 15:19:10,2,2005-06-16 15:19:10,2005-06-25 11:39:10,3,1,63
6.99,910,1911,2005-06-17 05:15:15,2,2005-06-17 05:15:15,2005-06-24 11:05:15,3,2,64
2.99,3917,2628,2005-06-19 08:34:53,2,2005-06-19 08:34:53,2005-06-28 04:19:53,3,1,65
4.99,1704,4180,2005-07-07 10:23:25,1,2005-07-07 10:23:25,2005-07-10 13:18:25,3,1,66
4.99,2058,4725,2005-07-08 12:47:11,2,2005-07-08 12:47:11,2005-07-15 09:08:11,3,1,67
5.99,2575,7096,2005-07-27 04:54:42,2,2005-07-27 04:54:42,2005-08-03 01:42:42,3,1,68
10.99,579,7503,2005-07-27 20:23:12,2,2005-07-27 20:23:12,2005-08-05 18:46:12,3,2,69
7.99,2150,7703,2005-07-28 03:59:21,1,2005-07-28 03:59:21,2005-08-05 08:52:21,3,2,70
6.99,346,7724,2005-07-28 04:46:30,1,2005-07-28 04:46:30,2005-08-04 08:41:30,3,2,71
4.99,390,7911,2005-07-28 11:46:45,1,2005-07-28 11:46:45,2005-07-29 07:19:45,3,1,72
4.99,1182,8086,2005-07-28 18:17:14,2,2005-07-28 18:17:14,2005-07-30 18:22:14,3,2,73
2.99,3261,8545,2005-07-29 11:07:04,2,2005-07-29 11:07:04,2005-08-06 13:30:04,3,1,74
1.99,4315,9226,2005-07-30 13:31:20,1,2005-07-30 13:31:20,2005-08-06 16:42:20,3,1,75
3.99,1675,9443,2005-07-30 21:45:46,1,2005-07-30 21:45:46,2005-08-05 21:22:46,3,2,76
2.99,2829,9595,2005-07-31 03:27:58,1,2005-07-31 03:27:58,2005-08-03 05:58:58,3,1,77
4.99,4560,9816,2005-07-31 11:32:58,2,2005-07-31 11:32:58,2005-08-04 17:12:58,3,2,78
5.99,3292,10597,2005-08-01 14:19:48,1,2005-08-01 14:19:48,2005-08-08 20:01:48,3,2,79
