rating,length,release_year,description,title,rental_duration,replacement_cost,film_id,language_id,rental_rate,original_language_id
PG,86,2006,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,ACADEMY DINOSAUR,6,20.99,1,1,0.99,
G,48,2006,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,ACE GOLDFINGER,3,12.99,2,1,4.99,
NC-17,50,2006,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,ADAPTATION HOLES,7,18.99,3,1,2.99,
G,117,2006,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,AFFAIR PREJUDICE,5,26.99,4,1,2.99,
G,130,2006,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,AFRICAN EGG,6,22.99,5,1,2.99,
PG,169,2006,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,AGENT TRUMAN,3,17.99,6,1,2.99,
PG-13,62,2006,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,AIRPLANE SIERRA,6,28.99,7,1,4.99,
R,54,2006,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,AIRPORT POLLOCK,6,15.99,8,1,4.99,
PG-13,114,2006,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,ALABAMA DEVIL,3,21.99,9,1,2.99,
NC-17,63,2006,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,ALADDIN CALENDAR,6,24.99,10,1,4.99,
G,126,2006,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,ALAMO VIDEOTAPE,6,16.99,11,1,0.99,
PG,136,2006,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,ALASKA PHANTOM,6,22.99,12,1,0.99,
PG,150,2006,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,ALI FOREVER,4,21.99,13,1,4.99,
NC-17,94,2006,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,ALICE FANTASIA,6,23.99,14,1,0.99,
NC-17,46,2006,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,ALIEN CENTER,5,10.99,15,1,2.99,
NC-17,180,2006,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,ALLEY EVOLUTION,6,23.99,16,1,2.99,
