country_id,country
62,Morocco
108,Yugoslavia
18,Cambodia
90,Sweden
70,North Korea
14,Bolivia
64,Myanmar
6,Argentina
58,Malawi
85,South Africa
2,Algeria
46,Iran
99,Tuvalu
106,"Virgin Islands, U.S."
65,Nauru
72,Pakistan
19,Cameroon
44,India
93,Tanzania
109,Zambia
61,Moldova
96,Tunisia
83,Senegal
82,Saudi Arabia
8,Australia
59,Malaysia
37,Gambia
87,Spain
78,Romania
73,Paraguay
22,Chile
89,Sudan
107,Yemen
91,Switzerland
81,Saint Vincent and the Grenadines
48,Israel
84,Slovakia
68,New Zealand
25,"Congo, The Democratic Republic of the"
27,Dominican Republic
4,Angola
24,Colombia
43,Hungary
15,Brazil
63,Mozambique
12,Bangladesh
92,Taiwan
53,Kuwait
31,Ethiopia
97,Turkey
54,Latvia
35,French Guiana
34,France
38,Germany
7,Armenia
51,Kazakstan
76,Poland
86,South Korea
79,Réunion
56,Lithuania
103,United States
10,Azerbaijan
21,Chad
30,Estonia
47,Iraq
52,Kenya
32,Faroe Islands
66,Nepal
9,Austria
5,Anguilla
67,Netherlands
50,Japan
1,Afghanistan
33,Finland
13,Belarus
17,Bulgaria
102,United Kingdom
94,Thailand
100,Ukraine
39,Greece
104,Venezuela
26,Czech Republic
98,Turkmenistan
57,Madagascar
45,Indonesia
3,American Samoa
41,Holy See (Vatican City State)
16,Brunei
80,Russian Federation
29,Egypt
28,Ecuador
11,Bahrain
20,Canada
88,Sri Lanka
69,Nigeria
95,Tonga
105,Vietnam
23,China
75,Philippines
71,Oman
