assay_id,assay_organism,bao_format,tissue_id,variant_id,confidence_score,assay_tissue,chembl_id,assay_category,curated_by,assay_test_type,doc_id,src_assay_id,relationship_type,tid,src_id,description,assay_type,assay_tax_id
1,,BAO_0000019,,,8,,CHEMBL615117,,Autocuration,,11087,,H,12052,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,
2,,BAO_0000219,,,0,,CHEMBL615118,,Autocuration,,684,,U,22226,1,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,
3,,BAO_0000019,,,0,,CHEMBL615119,,Autocuration,,15453,,U,22226,1,,B,
4,Bos taurus,BAO_0000249,,,4,,CHEMBL615120,,Autocuration,,17841,,H,104729,1,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,9913.0
5,Homo sapiens,BAO_0000219,,,1,,CHEMBL615121,,Intermediate,,17430,,N,80001,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,9606.0
6,Homo sapiens,BAO_0000219,,,1,,CHEMBL615122,,Intermediate,,17430,,N,80001,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,9606.0
7,Mus musculus,BAO_0000219,,,1,,CHEMBL615123,,Intermediate,,13799,,N,80001,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,10090.0
8,Homo sapiens,BAO_0000219,,,1,,CHEMBL615124,,Expert,,17774,,N,80001,1,In vitro cell cytotoxicity was determined against 143B cell line,F,9606.0
9,Homo sapiens,BAO_0000219,,,1,,CHEMBL615125,,Intermediate,,3801,,N,80001,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,9606.0
10,Homo sapiens,BAO_0000219,,,1,,CHEMBL615126,,Intermediate,,17430,,N,80001,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,9606.0
11,Homo sapiens,BAO_0000219,,,1,,CHEMBL615127,,Intermediate,,17430,,N,80001,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,9606.0
