assays_assay_id,assays_variant_id,assays_assay_tissue,assays_src_assay_id,assays_src_id,assays_relationship_type,assays_tid,assays_tissue_id,assays_description,assays_confidence_score,assays_chembl_id,assays_assay_organism,assays_assay_subcellular_fraction,assays_assay_type,assays_assay_tax_id,assays_assay_test_type,assays_assay_cell_type,assays_curated_by,assays_cell_id,assays_bao_format
7524,,Kidney,,1,N,50597,2113.0,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,CHEMBL618647,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7525,,Kidney,,1,N,50597,2113.0,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,1,CHEMBL618648,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7526,,Kidney,,1,N,50597,2113.0,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,1,CHEMBL618649,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7527,,Liver,,1,N,50597,2107.0,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,CHEMBL618650,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7528,,Liver,,1,N,50597,2107.0,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,1,CHEMBL618651,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7529,,Liver,,1,N,50597,2107.0,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,1,CHEMBL876497,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7530,,Lung,,1,N,50597,2048.0,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,CHEMBL618652,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7531,,Lung,,1,N,50597,2048.0,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,1,CHEMBL618653,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7532,,Lung,,1,N,50597,2048.0,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,1,CHEMBL618654,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7533,,,,1,N,50597,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,1,CHEMBL618655,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
