miller2_FiscalYear,miller2_SectionID,miller2_BranchName,miller2_DisabilityIssues(marker),miller2_OrganisationSub-class,miller2_CountryRegionName,miller2_ProjectBrowserCountryID,miller2_SectorPercent,miller2_AmountSpent,miller2_EnviromentalSustainability(marker),miller2_Biodiversity(marker),miller2_FundCentreID,miller2_FSTCPercent,miller2_SectorName,miller2_SectionName,miller2_ChildrenIssues(marker),miller2_CIDABusinessDeliveryModel(old),miller2_BranchID,miller2_TradeDevelopment(marker),miller2_CountryRegionID,miller2_ProgrammingProcess(new),miller2_ProjectNumber,miller2_GenderEquality(marker),miller2_OrganisationID,miller2_IndigenousIssues(marker),miller2_Desertification(marker),miller2_ParticipatoryDevelopmentAndGoodGovernance,miller2_UrbanIssues(marker),miller2_YouthIssues(marker),miller2_ICTAsAToolForDevelopment(marker),miller2_KnowledgeForDevelopment(marker),miller2_OrganisationName,miller2_OrganisationType,miller2_OrganisationClass,miller2_ContinentID,miller2_ContinentName,miller2_CountryRegionPercent,miller2_SectorID
2009/2010,S5602,MFM Global Issues and Development,0,UNITED NATIONS,Asia MC,X3,0.14,75768.0,1,0,5291,0.0,Multilateral trade negotiations,MIO United Nations,0,Core Funding,B5100,0,X3,Uncoded: Pre-APP,M013170001,0,1005967,0,0,1,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,3,Asia,0.22,33140
2009/2010,S5602,MFM Global Issues and Development,0,UNITED NATIONS,Asia MC,X3,0.505,273306.0,1,0,5291,0.0,Sectors not specified,MIO United Nations,0,Core Funding,B5100,0,X3,Uncoded: Pre-APP,M013170001,0,1005967,0,0,1,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,3,Asia,0.22,99810
2009/2010,S5602,MFM Global Issues and Development,0,UNITED NATIONS,Europe MC,X4,0.268,210969.6,1,0,5291,0.0,Medical services,MIO United Nations,0,Core Funding,B5100,0,X4,Uncoded: Pre-APP,M013170001,0,1005967,0,0,1,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,5,Europe,0.32,12191
2009/2010,S5602,MFM Global Issues and Development,0,UNITED NATIONS,Europe MC,X4,0.047,36998.4,1,0,5291,0.0,Water resources conservation (including data collection),MIO United Nations,0,Core Funding,B5100,0,X4,Uncoded: Pre-APP,M013170001,0,1005967,0,0,1,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,5,Europe,0.32,14015
2009/2010,S5602,MFM Global Issues and Development,0,UNITED NATIONS,Europe MC,X4,0.04,31488.0,1,0,5291,0.0,Nuclear energy electric power plants,MIO United Nations,0,Core Funding,B5100,0,X4,Uncoded: Pre-APP,M013170001,0,1005967,0,0,1,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,5,Europe,0.32,23510
2009/2010,S5602,MFM Global Issues and Development,0,UNITED NATIONS,Europe MC,X4,0.14,110208.0,1,0,5291,0.0,Multilateral trade negotiations,MIO United Nations,0,Core Funding,B5100,0,X4,Uncoded: Pre-APP,M013170001,0,1005967,0,0,1,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,5,Europe,0.32,33140
2009/2010,S5602,MFM Global Issues and Development,0,UNITED NATIONS,Europe MC,X4,0.505,397536.0,1,0,5291,0.0,Sectors not specified,MIO United Nations,0,Core Funding,B5100,0,X4,Uncoded: Pre-APP,M013170001,0,1005967,0,0,1,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,5,Europe,0.32,99810
2009/2010,S5320,MFM Global Issues and Development,0,REGIONAL ORGANIZATION,El Salvador,SV,1.0,300000.0,0,0,5303,0.0,Material relief assistance and services,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,SV,Uncoded: Pre-APP,M013171001,0,1001300,0,0,0,0,0,0,0,PAHO - Pan American Health Organization,Foreign Non-Profit Making,Multilateral,1,America,1.0,72010
2009/2010,S5330,MFM Global Issues and Development,0,INTERNATIONAL NGO,Africa MC,X1,1.0,1500000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X1,Uncoded: Pre-APP,M013172001,1,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,2,Africa,0.5,72010
2009/2010,S5330,MFM Global Issues and Development,0,INTERNATIONAL NGO,Americas MC,X2,1.0,450000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X2,Uncoded: Pre-APP,M013172001,1,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,1,America,0.15,72010
