inventory_id,payment_date,payment_id,return_date,customer_id,pstaff_id,rental_date,rental_id,amount,rstaff_id
3021,2005-05-25 11:30:37,1,2005-06-03 12:00:37,1,1,2005-05-25 11:30:37,76,2.99,2
1021,2005-06-15 18:02:53,4,2005-06-19 15:54:53,1,2,2005-06-15 18:02:53,1422,0.99,2
726,2005-06-16 15:18:57,6,2005-06-17 21:05:57,1,1,2005-06-16 15:18:57,1725,4.99,1
197,2005-06-18 08:41:48,7,2005-06-22 03:36:48,1,1,2005-06-18 08:41:48,2308,4.99,2
3486,2005-07-08 07:33:56,11,2005-07-12 13:25:56,1,1,2005-07-08 07:33:56,4611,5.99,2
797,2005-07-09 16:38:01,13,2005-07-13 18:02:01,1,1,2005-07-09 16:38:01,5326,4.99,1
4497,2005-07-28 19:20:07,19,2005-07-29 22:54:07,1,2,2005-07-28 19:20:07,8116,0.99,1
2269,2005-08-19 13:56:54,28,2005-08-23 08:50:54,1,2,2005-08-19 13:56:54,13176,2.99,2
1449,2005-08-22 01:27:57,30,2005-08-27 07:01:57,1,1,2005-08-22 01:27:57,14825,1.99,2
1090,2005-05-27 00:09:24,33,2005-05-28 04:30:24,2,1,2005-05-27 00:09:24,320,4.99,2
2377,2005-07-30 06:06:10,43,2005-08-04 10:45:10,2,1,2005-07-30 06:06:10,9031,4.99,2
1382,2005-07-30 14:14:11,45,2005-08-05 11:19:11,2,2,2005-07-30 14:14:11,9248,0.99,1
138,2005-08-01 09:45:26,49,2005-08-06 06:28:26,2,1,2005-08-01 09:45:26,10466,0.99,1
3418,2005-08-02 02:10:56,50,2005-08-02 21:23:56,2,1,2005-08-02 02:10:56,10918,0.99,1
805,2005-08-17 03:52:18,54,2005-08-20 07:04:18,2,1,2005-08-17 03:52:18,11614,2.99,1
4570,2005-08-21 22:41:56,57,2005-08-29 00:18:56,2,2,2005-08-21 22:41:56,14743,5.99,1
2179,2005-08-22 13:53:04,58,2005-08-31 15:51:04,2,2,2005-08-22 13:53:04,15145,4.99,1
3464,2005-05-29 22:43:55,61,2005-06-01 17:43:55,3,1,2005-05-29 22:43:55,830,2.99,1
910,2005-06-17 05:15:15,64,2005-06-24 11:05:15,3,2,2005-06-17 05:15:15,1911,6.99,2
1704,2005-07-07 10:23:25,66,2005-07-10 13:18:25,3,1,2005-07-07 10:23:25,4180,4.99,1
2575,2005-07-27 04:54:42,68,2005-08-03 01:42:42,3,1,2005-07-27 04:54:42,7096,5.99,2
579,2005-07-27 20:23:12,69,2005-08-05 18:46:12,3,2,2005-07-27 20:23:12,7503,10.99,2
2150,2005-07-28 03:59:21,70,2005-08-05 08:52:21,3,2,2005-07-28 03:59:21,7703,7.99,1
3261,2005-07-29 11:07:04,74,2005-08-06 13:30:04,3,1,2005-07-29 11:07:04,8545,2.99,2
