actor_id,last_name,first_name
1,GUINESS,PENELOPE
2,WAHLBERG,NICK
3,CHASE,ED
4,DAVIS,JENNIFER
5,LOLLOBRIGIDA,JOHNNY
6,NICHOLSON,BETTE
7,MOSTEL,GRACE
8,JOHANSSON,MATTHEW
9,SWANK,JOE
10,GABLE,CHRISTIAN
11,CAGE,ZERO
12,BERRY,KARL
13,WOOD,UMA
14,BERGEN,VIVIEN
15,OLIVIER,CUBA
16,COSTNER,FRED
17,VOIGHT,HELEN
18,TORN,DAN
19,FAWCETT,BOB
20,TRACY,LUCILLE
21,PALTROW,KIRSTEN
22,MARX,ELVIS
23,KILMER,SANDRA
24,STREEP,CAMERON
25,BLOOM,KEVIN
26,CRAWFORD,RIP
27,MCQUEEN,JULIA
28,HOFFMAN,WOODY
29,WAYNE,ALEC
30,PECK,SANDRA
31,SOBIESKI,SISSY
32,HACKMAN,TIM
33,PECK,MILLA
34,OLIVIER,AUDREY
35,DEAN,JUDY
36,DUKAKIS,BURT
37,BOLGER,VAL
38,MCKELLEN,TOM
39,BRODY,GOLDIE
40,CAGE,JOHNNY
41,DEGENERES,JODIE
42,MIRANDA,TOM
43,JOVOVICH,KIRK
44,STALLONE,NICK
45,KILMER,REESE
46,GOLDBERG,PARKER
47,BARRYMORE,JULIA
48,DAY-LEWIS,FRANCES
49,CRONYN,ANNE
50,HOPKINS,NATALIE
51,PHOENIX,GARY
52,HUNT,CARMEN
53,TEMPLE,MENA
54,PINKETT,PENELOPE
55,KILMER,FAY
56,HARRIS,DAN
57,CRUISE,JUDE
58,AKROYD,CHRISTIAN
59,TAUTOU,DUSTIN
60,BERRY,HENRY
61,NEESON,CHRISTIAN
62,NEESON,JAYNE
63,WRAY,CAMERON
64,JOHANSSON,RAY
65,HUDSON,ANGELA
66,TANDY,MARY
67,BAILEY,JESSICA
68,WINSLET,RIP
69,PALTROW,KENNETH
70,MCCONAUGHEY,MICHELLE
71,GRANT,ADAM
72,WILLIAMS,SEAN
73,PENN,GARY
74,KEITEL,MILLA
75,POSEY,BURT
76,ASTAIRE,ANGELINA
77,MCCONAUGHEY,CARY
78,SINATRA,GROUCHO
79,HOFFMAN,MAE
80,CRUZ,RALPH
81,DAMON,SCARLETT
82,JOLIE,WOODY
83,WILLIS,BEN
84,PITT,JAMES
85,ZELLWEGER,MINNIE
86,CHAPLIN,GREG
87,PECK,SPENCER
88,PESCI,KENNETH
89,DENCH,CHARLIZE
90,GUINESS,SEAN
91,BERRY,CHRISTOPHER
92,AKROYD,KIRSTEN
93,PRESLEY,ELLEN
94,TORN,KENNETH
95,WAHLBERG,DARYL
96,WILLIS,GENE
97,HAWKE,MEG
98,BRIDGES,CHRIS
99,MOSTEL,JIM
100,DEPP,SPENCER
101,DAVIS,SUSAN
102,TORN,WALTER
103,LEIGH,MATTHEW
104,CRONYN,PENELOPE
105,CROWE,SIDNEY
106,DUNST,GROUCHO
107,DEGENERES,GINA
108,NOLTE,WARREN
109,DERN,SYLVESTER
110,DAVIS,SUSAN
111,ZELLWEGER,CAMERON
112,BACALL,RUSSELL
113,HOPKINS,MORGAN
114,MCDORMAND,MORGAN
115,BALE,HARRISON
116,STREEP,DAN
117,TRACY,RENEE
118,ALLEN,CUBA
119,JACKMAN,WARREN
120,MONROE,PENELOPE
121,BERGMAN,LIZA
122,NOLTE,SALMA
123,DENCH,JULIANNE
124,BENING,SCARLETT
125,NOLTE,ALBERT
126,TOMEI,FRANCES
127,GARLAND,KEVIN
128,MCQUEEN,CATE
129,CRAWFORD,DARYL
130,KEITEL,GRETA
131,JACKMAN,JANE
132,HOPPER,ADAM
133,PENN,RICHARD
134,HOPKINS,GENE
135,REYNOLDS,RITA
136,MANSFIELD,ED
137,WILLIAMS,MORGAN
138,DEE,LUCILLE
139,GOODING,EWAN
140,HURT,WHOOPI
141,HARRIS,CATE
142,RYDER,JADA
143,DEAN,RIVER
144,WITHERSPOON,ANGELA
145,ALLEN,KIM
146,JOHANSSON,ALBERT
147,WINSLET,FAY
148,DEE,EMILY
149,TEMPLE,RUSSELL
150,NOLTE,JAYNE
151,HESTON,GEOFFREY
152,HARRIS,BEN
153,KILMER,MINNIE
154,GIBSON,MERYL
155,TANDY,IAN
156,WOOD,FAY
157,MALDEN,GRETA
158,BASINGER,VIVIEN
159,BRODY,LAURA
160,DEPP,CHRIS
161,HOPE,HARVEY
162,KILMER,OPRAH
163,WEST,CHRISTOPHER
164,WILLIS,HUMPHREY
165,GARLAND,AL
166,DEGENERES,NICK
167,BULLOCK,LAURENCE
168,WILSON,WILL
169,HOFFMAN,KENNETH
170,HOPPER,MENA
171,PFEIFFER,OLYMPIA
172,WILLIAMS,GROUCHO
173,DREYFUSS,ALAN
174,BENING,MICHAEL
175,HACKMAN,WILLIAM
176,CHASE,JON
177,MCKELLEN,GENE
178,MONROE,LISA
179,GUINESS,ED
180,SILVERSTONE,JEFF
181,CARREY,MATTHEW
182,AKROYD,DEBBIE
183,CLOSE,RUSSELL
184,GARLAND,HUMPHREY
185,BOLGER,MICHAEL
186,ZELLWEGER,JULIA
187,BALL,RENEE
188,DUKAKIS,ROCK
189,BIRCH,CUBA
190,BAILEY,AUDREY
191,GOODING,GREGORY
192,SUVARI,JOHN
193,TEMPLE,BURT
194,ALLEN,MERYL
195,SILVERSTONE,JAYNE
196,WALKEN,BELA
197,WEST,REESE
198,KEITEL,MARY
199,FAWCETT,JULIA
200,TEMPLE,THORA
