rental_rate,length,language_id,rental_duration,film_id,replacement_cost,rating,description,release_year,original_language_id,title
0.99,86,1,6,1,20.99,PG,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,,ACADEMY DINOSAUR
4.99,48,1,3,2,12.99,G,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,,ACE GOLDFINGER
2.99,50,1,7,3,18.99,NC-17,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,,ADAPTATION HOLES
2.99,117,1,5,4,26.99,G,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,,AFFAIR PREJUDICE
2.99,130,1,6,5,22.99,G,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,,AFRICAN EGG
2.99,169,1,3,6,17.99,PG,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,,AGENT TRUMAN
4.99,62,1,6,7,28.99,PG-13,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,,AIRPLANE SIERRA
4.99,54,1,6,8,15.99,R,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,,AIRPORT POLLOCK
2.99,114,1,3,9,21.99,PG-13,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,,ALABAMA DEVIL
4.99,63,1,6,10,24.99,NC-17,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,,ALADDIN CALENDAR
0.99,126,1,6,11,16.99,G,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,,ALAMO VIDEOTAPE
0.99,136,1,6,12,22.99,PG,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,,ALASKA PHANTOM
4.99,150,1,4,13,21.99,PG,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,,ALI FOREVER
