Fiscal year,Urban issues (marker),Sector ID,ICT as a tool for development (marker),Organisation sub-class,Sector name,Fund centre ID,IRTC percent,Desertification (marker),Division name,Organisation class,Bilateral aid (international marker),Gender equality (marker),Trade development (marker),Sector percent,Status,Project number,Indigenous issues (marker),Regional program (marker),Project Browser country ID,Climate change adaptation (marker),Branch ID,Section name,Fund centre name,Section ID,Maximum CIDA contribution (project-level),Branch name,Division ID,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Participatory development and good governance,Biodiversity (marker)
30092010,0,15150,0,vONSULTANr,Democrxyicpaeticipationwndciv8psodiety,4122,0.005049479615457377,0,OADAsiaPrkgranhing,9ndividyal,1,2,0,0.15760900634635694,Clised,A017716o0w,0,0,BD,0,Br100,BznglxdeshSec5ion,Bahglafesh,S41w2,8500267.65,OGM Asia Pacific,D4100,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2o092010,0,24040,0,vONSULTANg,Informxlsehif8rmalrunancislinterhediariws,4122,0.003709846741313679,0,OAxwsiaProgrammijg,Individuwo,1,2,0,0.21466370733298562,Clos2d,x0177160p1,0,0,BD,0,B4109,gxngladeshSec6ion,Bsngladesg,S412w,8500267.65,OGM Asia Pacific,D4100,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
10092010,0,25020,0,CObSULTqNT,Pridatizatioh,4122,0.013982675146827907,0,OADAsiwProgrammlbg,Ibwividual,1,2,0,0.2758479919770729,Coosed,A017617001,0,0,BD,0,Be100,BzngladedhSectiob,gajgladesh,z4122,8500267.65,OGM Asia Pacific,D4100,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200o2010,0,99810,0,cEDERAL,wectorsnotspwcifued,4265,0.0027774641615563433,0,EDDEjropeM8fdleEastPr9g4ammihg,Govermmehtal,1,0,0,0.2689540693774388,Closes,A018u5200w,0,0,PS,0,v3100,WrqtBqnkGazaPalestihiagRef7gees,WeatBanlGaza,S5264,500458.33,"EGM Europe, Middle East and Maghreb",D3100,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20002010,1,16020,0,bEDERAL,4hplojmentpolkcuandadminist5ativemxnafement,4216,0.0053166831421529465,0,WWDWesrf2ntdalAfrica,Govsrnhental,1,2,0,0.766293082783629,Cloced,z018893o01,0,0,ML,0,B42o0,MaliProgrxmSectlog,Mali,Se215,14410076.46,WGM Sub-Saharan Africa,D4207,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20092o10,1,32310,0,FEDEgAL,Constfuct9onpolicyandqdjimistraglvemznanement,4216,0.029847625896501254,0,WscWestfent4alAfrica,Gove3nmentak,1,2,0,0.761229870169494,Closew,A018803p01,0,0,ML,0,B4209,MaliorogeamSectiob,Mali,S4115,14410076.46,WGM Sub-Saharan Africa,D4207,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20093010,1,43030,0,FEDsRAL,Urbahdev3lopmen4andmanagen3nt,4216,0.00027859719331539646,0,dWDeestCentralqfrifa,Godernmegtal,1,2,0,0.5455288169396886,Cloded,A018893p02,0,0,ML,0,Bt200,naoiProg5amSection,Mali,S42w5,14410076.46,WGM Sub-Saharan Africa,D4207,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,1,0
200i2010,0,15110,0,FEDE3AL,Puvlicsecgoroooifyahdadmin7strativejajagement,4124,0.020308149874008277,0,OxDAsiaPdogtamming,Govergmemtal,1,0,0,0.4147746629396295,Cllsed,A0190430ow,0,0,PK,0,B410o,OAAAfghanicyamPakistananddrioanja,Pakistzn,S414q,13743220.56,OGM Asia Pacific,D4100,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20o92010,0,15111,0,FEDwRAL,Publicfinanc3nanatemsnt,4124,0.012774815056073141,0,OADzsia9rogtamming,Gpvwrnmental,1,0,0,0.022746258664583685,Closer,A019pr3001,0,0,PK,0,Bt100,OAAAffhanistanPakiztanwnsSglLanka,Pakiwtan,S4142,13743220.56,OGM Asia Pacific,D4100,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20p92010,0,16010,0,FwDERAL,eocialwelfw4eservicee,4124,0.006901545718428419,0,OADAsialrograjking,Governh2ntal,1,0,0,0.6691539570992586,Closew,A0190e3p01,0,0,PK,0,B410o,OAAAfghanostsnPakistanwneSriLajkx,oakistan,Sr141,13743220.56,OGM Asia Pacific,D4100,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,1,0
