ASSI,CUB,ASTAI,ASSTT,SRI,TISI,ASSCA,Descr,RELATIT,ASSUBFR,CEI,Ti,CONSCO,SRASI,CHI,BFOR,VARII
1,Autocuration,,,1,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,H,,,12052,8,,CHEMBL615117,BAO_0000019,
2,Autocuration,,,1,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,U,,,22226,0,,CHEMBL615118,BAO_0000219,
3,Autocuration,,,1,,,,U,,,22226,0,,CHEMBL615119,BAO_0000019,
4,Autocuration,9913.0,,1,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,H,,,104729,4,,CHEMBL615120,BAO_0000249,
5,Intermediate,9606.0,,1,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,,163.0,80001,1,,CHEMBL615121,BAO_0000219,
6,Intermediate,9606.0,,1,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,,163.0,80001,1,,CHEMBL615122,BAO_0000219,
7,Intermediate,10090.0,,1,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,N,,163.0,80001,1,,CHEMBL615123,BAO_0000219,
8,Expert,9606.0,,1,,,In vitro cell cytotoxicity was determined against 143B cell line,N,,163.0,80001,1,,CHEMBL615124,BAO_0000219,
9,Intermediate,9606.0,,1,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,N,,163.0,80001,1,,CHEMBL615125,BAO_0000219,
10,Intermediate,9606.0,,1,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,,163.0,80001,1,,CHEMBL615126,BAO_0000219,
11,Intermediate,9606.0,,1,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,,163.0,80001,1,,CHEMBL615127,BAO_0000219,
12,Expert,9606.0,,1,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,N,,163.0,80001,1,,CHEMBL615128,BAO_0000219,
13,Intermediate,1280.0,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,,50185,1,,CHEMBL857900,BAO_0000218,
14,Intermediate,1280.0,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,,50185,1,,CHEMBL615129,BAO_0000218,
15,Intermediate,1280.0,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,,50185,1,,CHEMBL615130,BAO_0000218,
16,Intermediate,1280.0,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,,50185,1,,CHEMBL615131,BAO_0000218,
17,Expert,10116.0,,1,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,D,,,100122,9,,CHEMBL884521,BAO_0000357,
18,Autocuration,,,1,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),H,,,12054,8,,CHEMBL615132,BAO_0000357,
19,Autocuration,,,1,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,H,,,12054,8,,CHEMBL615133,BAO_0000019,
20,Autocuration,,,1,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,,,12054,8,,CHEMBL615134,BAO_0000357,
21,Autocuration,,,1,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),H,,,12054,8,,CHEMBL615135,BAO_0000357,
22,Autocuration,,,1,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,,,12054,8,,CHEMBL615136,BAO_0000357,
23,Autocuration,,,1,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,,,12054,8,,CHEMBL615137,BAO_0000357,
24,Autocuration,,,1,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,,,12054,8,,CHEMBL615138,BAO_0000357,
25,Autocuration,,,1,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",U,,,22226,0,,CHEMBL836324,BAO_0000219,
26,Autocuration,9986.0,,1,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,H,,,12054,8,,CHEMBL615139,BAO_0000357,
27,Autocuration,9986.0,,1,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),H,,,12054,8,,CHEMBL615140,BAO_0000357,
28,Autocuration,,,1,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,H,,,12426,8,,CHEMBL615141,BAO_0000219,
29,Autocuration,3847.0,,1,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,H,,,12054,8,,CHEMBL615142,BAO_0000357,
30,Autocuration,3847.0,,1,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,H,,,12054,8,,CHEMBL615143,BAO_0000357,
31,Autocuration,3847.0,,1,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,H,,,12054,8,,CHEMBL615144,BAO_0000357,
32,Autocuration,3847.0,,1,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,H,,,12054,8,,CHEMBL872867,BAO_0000357,
33,Autocuration,3847.0,,1,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,H,,,12054,8,,CHEMBL615145,BAO_0000357,
34,Autocuration,3847.0,,1,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,H,,,12054,8,,CHEMBL615146,BAO_0000357,
35,Autocuration,3847.0,,1,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,H,,,12054,8,,CHEMBL615147,BAO_0000357,
