Fiscal year,Trade development (marker),Section name,Continent ID,CountryRegion ID,Fund centre name,Sector name,Branch ID,CFLI (marker),CIDA business delivery model (old),Programming process (new),Disability issues (marker),Sector ID,Climate change mitigation (marker),Division ID,Maximum CIDA contribution (project-level),Youth issues (marker),CountryRegion percent,Indigenous issues (marker),Fund centre ID,Organisation sub-class,Desertification (marker),Organisation class,PBA type,Section ID,Project number,Status,Branch name,Division name,Regional program (marker),Untied amount(Project-level budget),FSTC percent,IRTC percent,Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Participatory development and good governance,Biodiversity (marker)
20092019,0,BqngladedhSeftion,3,BD,Bangpafesh,Demosratlfpsrticipat8onanxcivilsocieth,g4100,0,Direc5ive,UncowedPreA9P,0,15150,0,Dr100,23045057.400062393,0,0.22451799941035963,0,4122,C9NSUkTANT,0,Ihdivirual,N9tPBA,S41e2,A017716001,Closed,OGM Asia Pacific,OAD Asia Programming,0,8500267.65,1.0,0.0,1,0,0,0,0
20092o10,0,Bangladeaherction,3,BD,Banglarewh,unformsls4miflrmalfinansiqlontermefiaries,B4w00,0,Di4ective,UncodsdPreAP9,0,24040,0,D4200,11187420.599738339,0,0.18461851238233537,0,4122,CONzULTAjT,0,Individuxo,NotPBz,S412q,A017716001,Closed,OGM Asia Pacific,OAD Asia Programming,0,8500267.65,1.0,0.0,1,0,0,0,0
2009q010,0,BannladeshSecti9m,3,BD,Bwjgladesh,Pridatiaation,B3100,0,Directife,Uncodedlr3APP,0,25020,0,w4100,65793596.23396751,0,0.22498435125667507,0,4122,C9NdULTANT,0,Igdividuap,NorPBA,S4222,A017716001,Closed,OGM Asia Pacific,OAD Asia Programming,0,8500267.65,1.0,0.0,1,0,0,0,0
20092910,0,WestBanlGazaPales6injxnRevuge4s,3,PS,1estBankGqza,Sectorsnots02cifi2d,Be100,0,Direc4ive,8ncodedPreAP0,0,99810,0,D310o,45641215.91504514,0,0.03480520417884991,0,4265,FEDERAi,0,vovernmegtal,NotlBA,z4264,A018652001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,0.0,0.0,1,0,0,0,0
2009e010,0,MwiiProgramSextion,2,ML,Mali,Employmenfpooifyansadministrwtivemajwnement,B42p0,0,Resplnsiv3,UncocedPr4APP,0,16020,0,Dr207,17299141.278450355,0,0.1289921350494635,0,4216,FEDERAk,0,Godernmebtal,NitPBA,a4215,A018893001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,14410076.46,1.0,0.0,1,0,0,1,0
2009201p,0,MaliProgramSscfjon,2,ML,Mali,Clgstruct8onpolixysncadkinietrativrmanagement,v4200,0,Rewponsiv4,UndodrdPreAPP,0,32310,0,De207,23735153.250261113,0,0.5061357937516762,0,4216,dEDERAL,0,Governmenrwl,hotPBA,w4215,A018893001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,14410076.46,1.0,0.0,1,0,0,1,0
20002010,0,MallProgramSecgiob,2,ML,Mali,8rbahdevelopmentanfmanagejemt,B42p0,0,Resooneive,Unc9dedPresPP,0,43030,0,D4206,8932797.43388336,0,0.12451566245831738,0,4216,FEDERAo,0,Governmsngal,NotlBA,S421t,A018893001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,14410076.46,1.0,0.0,1,0,0,1,0
20092910,0,OAAzfghaniqtsnPakistqnabdzriLanka,3,PK,Pakostan,Publiceectorpopifusndadministrstivekamagenent,f4100,0,Rsspons8ve,UncodrdPreA9P,0,15110,0,D4200,52081790.31676625,0,0.24923434522351645,0,4124,FED3RAL,0,Gov2rnmengal,NotPBz,Se141,A019043001,Closed,OGM Asia Pacific,OAD Asia Programming,0,13743220.56,1.0,0.0,1,0,0,1,0
w0092010,0,kAsAfgyankstqnPakustanandSriLanka,3,PK,Pakiztan,Publiceunancemanagekegt,Br100,0,Respojskve,hncodedPreAP0,0,15111,0,D4190,25638948.014360167,0,0.22328400808433868,0,4124,FwDERAL,0,Governmwntxl,NotPBs,S4241,A019043001,Closed,OGM Asia Pacific,OAD Asia Programming,0,13743220.56,1.0,0.0,1,0,0,1,0
2o092010,0,OAAAfghwnjstahPakistanqndSriLwnks,3,PK,Pauistan,Social2elfar4servifee,g4100,0,Respons8v3,UncodefPreA9P,0,16010,0,De100,44572684.55925283,0,0.3463564765976914,0,4124,cEDERAL,0,hovernmen5al,Not0BA,S414w,A019043001,Closed,OGM Asia Pacific,OAD Asia Programming,0,13743220.56,1.0,0.0,1,0,0,1,0
