bao_format,curated_by,assay_test_type,cell_id,src_id,assay_category,assay_tissue,assay_cell_type,tissue_id,chembl_id,variant_id,assay_id,description,assay_tax_id,tid,assay_subcellular_fraction,assay_organism,confidence_score,doc_id,assay_strain,src_assay_id,relationship_type,assay_type
BAO_0000019,Autocuration,,,1,,,,,CHEMBL615117,,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,12052,,,8,11087,,,H,B
BAO_0000219,Autocuration,,,1,,,,,CHEMBL615118,,2,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,22226,,,0,684,,,U,F
BAO_0000019,Autocuration,,,1,,,,,CHEMBL615119,,3,,,22226,,,0,15453,,,U,B
BAO_0000249,Autocuration,,,1,,,,,CHEMBL615120,,4,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,9913.0,104729,,Bos taurus,4,17841,,,H,B
BAO_0000219,Intermediate,,163.0,1,,,143B,,CHEMBL615121,,5,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),9606.0,80001,,Homo sapiens,1,17430,,,N,F
BAO_0000219,Intermediate,,163.0,1,,,143B,,CHEMBL615122,,6,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),9606.0,80001,,Homo sapiens,1,17430,,,N,F
BAO_0000219,Intermediate,,163.0,1,,,143B,,CHEMBL615123,,7,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,10090.0,80001,,Mus musculus,1,13799,,,N,F
BAO_0000219,Expert,,163.0,1,,,143B,,CHEMBL615124,,8,In vitro cell cytotoxicity was determined against 143B cell line,9606.0,80001,,Homo sapiens,1,17774,,,N,F
BAO_0000219,Intermediate,,163.0,1,,,143B,,CHEMBL615125,,9,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,9606.0,80001,,Homo sapiens,1,3801,,,N,F
BAO_0000219,Intermediate,,163.0,1,,,143B,,CHEMBL615126,,10,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,9606.0,80001,,Homo sapiens,1,17430,,,N,F
BAO_0000219,Intermediate,,163.0,1,,,143B,,CHEMBL615127,,11,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,9606.0,80001,,Homo sapiens,1,17430,,,N,F
