assays_assay_id,assays_assay_organism,assays_tissue_id,assays_chembl_id,assays_description,assays_assay_test_type,assays_doc_id,assays_assay_tissue,assays_tid,assays_variant_id,assays_assay_category,assays_bao_format,assays_src_assay_id,assays_curated_by,assays_assay_subcellular_fraction,assays_assay_tax_id,assays_relationship_type,assays_confidence_score,assays_src_id,assays_cell_id
7524,Rattus norvegicus,2113.0,CHEMBL618647,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,9866,Kidney,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7525,Rattus norvegicus,2113.0,CHEMBL618648,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,In vivo,9866,Kidney,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7526,Rattus norvegicus,2113.0,CHEMBL618649,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,9866,Kidney,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7527,Rattus norvegicus,2107.0,CHEMBL618650,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,9866,Liver,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7528,Rattus norvegicus,2107.0,CHEMBL618651,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,In vivo,9866,Liver,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7529,Rattus norvegicus,2107.0,CHEMBL876497,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,9866,Liver,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7530,Rattus norvegicus,2048.0,CHEMBL618652,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,9866,Lung,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7531,Rattus norvegicus,2048.0,CHEMBL618653,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,In vivo,9866,Lung,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7532,Rattus norvegicus,2048.0,CHEMBL618654,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,9866,Lung,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7533,Rattus norvegicus,,CHEMBL618655,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,6351,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7534,Rattus norvegicus,,CHEMBL618656,Compound was tested for solubility in water,,1465,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7535,,,CHEMBL618657,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,5182,,22229,,,BAO_0000100,,Intermediate,,,U,0,1,
7536,Rattus norvegicus,,CHEMBL618658,Solubility was determined,,17847,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7537,Rattus norvegicus,,CHEMBL618659,solubility in water (ug/mL) at 37 degree C.,,15339,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7538,Rattus norvegicus,,CHEMBL618660,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,5202,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7539,Rattus norvegicus,,CHEMBL618661,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,1088,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7540,Rattus norvegicus,,CHEMBL873807,Half life in rats,,3169,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7541,Rattus norvegicus,,CHEMBL618662,Half life in Dawley rat,,5353,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7542,Rattus norvegicus,,CHEMBL618663,Half life period after 3 mg/kg iv administration,In vivo,2864,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7543,Rattus norvegicus,,CHEMBL618664,Half life period after 3 mg/kg iv administration in rat,In vivo,2864,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7544,Rattus norvegicus,,CHEMBL618665,Half life period after 3 mg/kg iv administration in the rat,In vivo,2864,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7545,Rattus norvegicus,,CHEMBL876498,Half life period in female Sprague-Dawley rats,,6362,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7546,Rattus norvegicus,,CHEMBL618666,Half life period in rat,,6249,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7547,Rattus norvegicus,,CHEMBL620440,Half-life in rats was determined,,3169,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7548,Rattus norvegicus,,CHEMBL620441,Half-life in rats with metabolic oxidation,,3169,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7549,Rattus norvegicus,,CHEMBL620442,Half-life in rats,,3169,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7550,Rattus norvegicus,,CHEMBL620443,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,In vivo,17260,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7551,Rattus norvegicus,,CHEMBL620444,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,In vivo,17260,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7552,Rattus norvegicus,,CHEMBL620445,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,In vivo,17260,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7553,Rattus norvegicus,,CHEMBL620446,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,In vivo,17260,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7554,Rattus norvegicus,1969.0,CHEMBL620447,Biological half-life measured in plasma of rat,,2879,Plasma,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7555,Rattus norvegicus,1969.0,CHEMBL621129,Biological half-life measured in plasma of rat; 22-25,,2879,Plasma,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7556,Rattus norvegicus,1969.0,CHEMBL621130,Biological half-life measured in plasma of rat; 9-16,,2879,Plasma,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7557,Rattus norvegicus,,CHEMBL873808,Compound was evaluated for its half life when administered intravenously in rat,In vivo,3184,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7558,Rattus norvegicus,,CHEMBL876598,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,In vivo,4891,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7559,Rattus norvegicus,,CHEMBL621131,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,In vivo,429,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7560,Rattus norvegicus,,CHEMBL621132,Half life (T1/2) after oral administration in rat,In vivo,5656,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7561,Rattus norvegicus,,CHEMBL621133,Half life of compound after iv administration of 20 mg/kg dose in rat,In vivo,4413,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7562,Rattus norvegicus,,CHEMBL621312,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,In vivo,3598,,50597,,,BAO_0000218,,Expert,,10116.0,N,1,1,
7563,Rattus norvegicus,,CHEMBL621313,Half life of compound was determined in rat,,17267,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7564,Rattus norvegicus,178.0,CHEMBL621314,Half life of compound was determined in rat blood,,4727,Blood,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7565,Rattus norvegicus,,CHEMBL621315,Half life at 1 mg/kg was determined in rat,In vivo,17651,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7566,Rattus norvegicus,,CHEMBL621316,Half life at 10 mg/kg was determined in rat,In vivo,17651,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7567,Rattus norvegicus,,CHEMBL621317,Half life in rats,,401,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7568,Rattus norvegicus,,CHEMBL621318,Half life in rats in hours,,4942,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7569,Rattus norvegicus,,CHEMBL621319,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,In vivo,17735,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7570,Rattus norvegicus,,CHEMBL621377,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,In vivo,6056,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7571,Rattus norvegicus,,CHEMBL621378,Half life was determined,,5213,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7572,Rattus norvegicus,,CHEMBL876599,Half life after i.v. administration,In vivo,6616,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7573,Rattus norvegicus,,CHEMBL621379,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,In vivo,5937,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7574,Rattus norvegicus,1969.0,CHEMBL621380,Half life in rat plasma,,5819,Plasma,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7575,Rattus norvegicus,1969.0,CHEMBL621381,Half life in rat plasma; Not detected,,5819,Plasma,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7576,Rattus norvegicus,,CHEMBL618515,Half life in rats,,6803,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7577,Rattus norvegicus,,CHEMBL618516,Half life period of compound was determined after peroral administration,In vivo,17804,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7578,Rattus norvegicus,,CHEMBL618517,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,In vivo,17804,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7579,Rattus norvegicus,,CHEMBL618518,Half life period in rat,,5948,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7580,Rattus norvegicus,,CHEMBL618519,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,In vivo,1916,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7581,Rattus norvegicus,,CHEMBL618698,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,In vivo,1916,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7582,Rattus norvegicus,,CHEMBL618862,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,In vivo,1916,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7583,Rattus norvegicus,,CHEMBL618863,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,In vivo,4890,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7584,Rattus norvegicus,,CHEMBL618864,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,In vivo,17764,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
7585,Rattus norvegicus,,CHEMBL618865,Half life time in rat the dose of 2 mg/kg,In vivo,4727,,50597,,,BAO_0000218,,Intermediate,,10116.0,N,1,1,
