assays_SASI,assays_CHEI,assays_ASI,assays_BFO,assays_AST,assays_ASSUBCFRAC,assays_VARII,assays_ASTI,assays_ASSTI,assays_ASOR,assays_ASST,assays_Descr,assays_CUB,assays_CONSC,assays_ASCETY,assays_RELT,assays_Ti,assays_TISI,assays_ASSCA,assays_DOI,assays_ASTTY,assays_CI,assays_SI
,CHEMBL618647,7524,BAO_0000218,A,,,10116.0,Kidney,Rattus norvegicus,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,1,,N,50597,2113.0,,9866,In vivo,,1
,CHEMBL618648,7525,BAO_0000218,A,,,10116.0,Kidney,Rattus norvegicus,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Intermediate,1,,N,50597,2113.0,,9866,In vivo,,1
,CHEMBL618649,7526,BAO_0000218,A,,,10116.0,Kidney,Rattus norvegicus,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,1,,N,50597,2113.0,,9866,In vivo,,1
,CHEMBL618650,7527,BAO_0000218,A,,,10116.0,Liver,Rattus norvegicus,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,1,,N,50597,2107.0,,9866,In vivo,,1
,CHEMBL618651,7528,BAO_0000218,A,,,10116.0,Liver,Rattus norvegicus,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Intermediate,1,,N,50597,2107.0,,9866,In vivo,,1
,CHEMBL876497,7529,BAO_0000218,A,,,10116.0,Liver,Rattus norvegicus,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,1,,N,50597,2107.0,,9866,In vivo,,1
,CHEMBL618652,7530,BAO_0000218,A,,,10116.0,Lung,Rattus norvegicus,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,1,,N,50597,2048.0,,9866,In vivo,,1
,CHEMBL618653,7531,BAO_0000218,A,,,10116.0,Lung,Rattus norvegicus,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Intermediate,1,,N,50597,2048.0,,9866,In vivo,,1
,CHEMBL618654,7532,BAO_0000218,A,,,10116.0,Lung,Rattus norvegicus,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,1,,N,50597,2048.0,,9866,In vivo,,1
,CHEMBL618655,7533,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Intermediate,1,,N,50597,,,6351,,,1
,CHEMBL618656,7534,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Compound was tested for solubility in water,Intermediate,1,,N,50597,,,1465,,,1
,CHEMBL618657,7535,BAO_0000100,P,,,,,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),Intermediate,0,,U,22229,,,5182,,,1
,CHEMBL618658,7536,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Solubility was determined,Intermediate,1,,N,50597,,,17847,,,1
,CHEMBL618659,7537,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,solubility in water (ug/mL) at 37 degree C.,Intermediate,1,,N,50597,,,15339,,,1
,CHEMBL618660,7538,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Intermediate,1,,N,50597,,,5202,,,1
,CHEMBL618661,7539,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,Intermediate,1,,N,50597,,,1088,,,1
,CHEMBL873807,7540,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life in rats,Intermediate,1,,N,50597,,,3169,,,1
,CHEMBL618662,7541,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life in Dawley rat,Intermediate,1,,N,50597,,,5353,,,1
,CHEMBL618663,7542,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period after 3 mg/kg iv administration,Intermediate,1,,N,50597,,,2864,In vivo,,1
,CHEMBL618664,7543,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period after 3 mg/kg iv administration in rat,Intermediate,1,,N,50597,,,2864,In vivo,,1
,CHEMBL618665,7544,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period after 3 mg/kg iv administration in the rat,Intermediate,1,,N,50597,,,2864,In vivo,,1
,CHEMBL876498,7545,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period in female Sprague-Dawley rats,Intermediate,1,,N,50597,,,6362,,,1
,CHEMBL618666,7546,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period in rat,Intermediate,1,,N,50597,,,6249,,,1
,CHEMBL620440,7547,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life in rats was determined,Intermediate,1,,N,50597,,,3169,,,1
,CHEMBL620441,7548,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life in rats with metabolic oxidation,Intermediate,1,,N,50597,,,3169,,,1
,CHEMBL620442,7549,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life in rats,Intermediate,1,,N,50597,,,3169,,,1
,CHEMBL620443,7550,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Intermediate,1,,N,50597,,,17260,In vivo,,1
,CHEMBL620444,7551,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Intermediate,1,,N,50597,,,17260,In vivo,,1
,CHEMBL620445,7552,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Intermediate,1,,N,50597,,,17260,In vivo,,1
,CHEMBL620446,7553,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Intermediate,1,,N,50597,,,17260,In vivo,,1
,CHEMBL620447,7554,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Biological half-life measured in plasma of rat,Intermediate,1,,N,50597,1969.0,,2879,,,1
,CHEMBL621129,7555,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Biological half-life measured in plasma of rat; 22-25,Intermediate,1,,N,50597,1969.0,,2879,,,1
,CHEMBL621130,7556,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Biological half-life measured in plasma of rat; 9-16,Intermediate,1,,N,50597,1969.0,,2879,,,1
,CHEMBL873808,7557,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Compound was evaluated for its half life when administered intravenously in rat,Intermediate,1,,N,50597,,,3184,In vivo,,1
,CHEMBL876598,7558,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,Intermediate,1,,N,50597,,,4891,In vivo,,1
,CHEMBL621131,7559,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,Intermediate,1,,N,50597,,,429,In vivo,,1
,CHEMBL621132,7560,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life (T1/2) after oral administration in rat,Intermediate,1,,N,50597,,,5656,In vivo,,1
,CHEMBL621133,7561,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life of compound after iv administration of 20 mg/kg dose in rat,Intermediate,1,,N,50597,,,4413,In vivo,,1
,CHEMBL621312,7562,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,Expert,1,,N,50597,,,3598,In vivo,,1
,CHEMBL621313,7563,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life of compound was determined in rat,Intermediate,1,,N,50597,,,17267,,,1
,CHEMBL621314,7564,BAO_0000218,A,,,10116.0,Blood,Rattus norvegicus,,Half life of compound was determined in rat blood,Intermediate,1,,N,50597,178.0,,4727,,,1
,CHEMBL621315,7565,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life at 1 mg/kg was determined in rat,Intermediate,1,,N,50597,,,17651,In vivo,,1
,CHEMBL621316,7566,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life at 10 mg/kg was determined in rat,Intermediate,1,,N,50597,,,17651,In vivo,,1
,CHEMBL621317,7567,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life in rats,Intermediate,1,,N,50597,,,401,,,1
,CHEMBL621318,7568,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life in rats in hours,Intermediate,1,,N,50597,,,4942,,,1
,CHEMBL621319,7569,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Intermediate,1,,N,50597,,,17735,In vivo,,1
,CHEMBL621377,7570,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,Intermediate,1,,N,50597,,,6056,In vivo,,1
,CHEMBL621378,7571,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life was determined,Intermediate,1,,N,50597,,,5213,,,1
,CHEMBL876599,7572,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life after i.v. administration,Intermediate,1,,N,50597,,,6616,In vivo,,1
