Fiscal year,Participatory development and good governance,Climate change adaptation (marker),CFLI (marker),Project number,Continent ID,Division ID,Organisation sub-class,Branch ID,Status,Continent name,Project Browser country ID,Organisation type,Children issues (marker),Knowledge for development (marker),Maximum CIDA contribution (project-level),Gender equality (marker),FSTC percent,ICT as a tool for development (marker),Bilateral aid (international marker),Enviromental sustainability (marker),IRTC percent,Sector percent,Sector name,Fund centre name,Regional program (marker),Section ID,PBA type,CIDA business delivery model (old),Branch name,Urban issues (marker),Organisation ID,Biodiversity (marker),Indigenous issues (marker),CountryRegion ID,Division name,Section name,Fund centre ID,Untied amount(Project-level budget),Programming process (new),Climate change mitigation (marker),Desertification (marker),Trade development (marker)
2009/2010,0,0,0,A017716001,3,D4100,CONSULTANT,B4100,Closed,Asia,BD,Canadian Profit Making,0,0,8500267.65,2,1.0,0,1,0,0.0,0.2,Democratic participation and civil society,Bangladesh,0,S4122,Not PBA,Directive,OGM Asia Pacific,0,Information not available,0,0,BD,OAD Asia Programming,Bangladesh Section,4122,8500267.65,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A017716001,3,D4100,CONSULTANT,B4100,Closed,Asia,BD,Canadian Profit Making,0,0,8500267.65,2,1.0,0,1,0,0.0,0.3,Informal/semi-formal financial intermediaries,Bangladesh,0,S4122,Not PBA,Directive,OGM Asia Pacific,0,Information not available,0,0,BD,OAD Asia Programming,Bangladesh Section,4122,8500267.65,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A017716001,3,D4100,CONSULTANT,B4100,Closed,Asia,BD,Canadian Profit Making,0,0,8500267.65,2,1.0,0,1,0,0.0,0.5,Privatization,Bangladesh,0,S4122,Not PBA,Directive,OGM Asia Pacific,0,Information not available,0,0,BD,OAD Asia Programming,Bangladesh Section,4122,8500267.65,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A018652001,3,D3100,FEDERAL,B3100,Closed,Asia,PS,Canadian Non-Profit Making,0,0,500458.33,0,0.0,0,1,0,0.0,1.0,Sectors not specified,West Bank Gaza,0,S4264,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,10050,0,0,PS,EDD Europe-Middle East Programming,West Bank Gaza & Palestinian Refugees,4265,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A018893001,2,D4207,FEDERAL,B4200,Closed,Africa,ML,Canadian Non-Profit Making,0,0,14410076.46,2,1.0,0,1,0,0.0,0.5,Employment policy and administrative management,Mali,0,S4215,Not PBA,Responsive,WGM Sub-Saharan Africa,1,10050,0,0,ML,WWD West & Central Africa,Mali Program Section,4216,14410076.46,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A018893001,2,D4207,FEDERAL,B4200,Closed,Africa,ML,Canadian Non-Profit Making,0,0,14410076.46,2,1.0,0,1,0,0.0,0.4,Construction policy and administrative management,Mali,0,S4215,Not PBA,Responsive,WGM Sub-Saharan Africa,1,10050,0,0,ML,WWD West & Central Africa,Mali Program Section,4216,14410076.46,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A018893001,2,D4207,FEDERAL,B4200,Closed,Africa,ML,Canadian Non-Profit Making,0,0,14410076.46,2,1.0,0,1,0,0.0,0.1,Urban development and management,Mali,0,S4215,Not PBA,Responsive,WGM Sub-Saharan Africa,1,10050,0,0,ML,WWD West & Central Africa,Mali Program Section,4216,14410076.46,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019043001,3,D4100,FEDERAL,B4100,Closed,Asia,PK,Canadian Non-Profit Making,0,0,13743220.56,0,1.0,0,1,0,0.0,0.4,Public sector policy and administrative management,Pakistan,0,S4141,Not PBA,Responsive,OGM Asia Pacific,0,10050,0,0,PK,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,13743220.56,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019043001,3,D4100,FEDERAL,B4100,Closed,Asia,PK,Canadian Non-Profit Making,0,0,13743220.56,0,1.0,0,1,0,0.0,0.4,Public finance management,Pakistan,0,S4141,Not PBA,Responsive,OGM Asia Pacific,0,10050,0,0,PK,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,13743220.56,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019043001,3,D4100,FEDERAL,B4100,Closed,Asia,PK,Canadian Non-Profit Making,0,0,13743220.56,0,1.0,0,1,0,0.0,0.2,Social/welfare services,Pakistan,0,S4141,Not PBA,Responsive,OGM Asia Pacific,0,10050,0,0,PK,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,13743220.56,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A019362001,1,D4400,CONSULTING SERVICES,B4400,Closed,America,JM,Canadian Profit Making,0,0,3441416.83,0,1.0,1,1,0,0.0,1.0,Informal/semi-formal financial intermediaries,Caribbean Regional - Jamaica,0,S4429,Not PBA,Responsive,NGM Americas,0,1000378,0,0,JM,NDD Americas Programming,Caricom - Adm,4439,3441416.83,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A019362001,1,D4400,CONSULTING SERVICES,B4400,Closed,America,JM,Canadian Profit Making,0,0,3441416.83,0,1.0,1,1,0,0.0,1.0,Informal/semi-formal financial intermediaries,Caribbean Regional - Jamaica,0,S4429,Not PBA,Responsive,NGM Americas,0,1001165,0,0,JM,NDD Americas Programming,Caricom - Adm,4439,3441416.83,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019608001,2,D3100,CONSULTING SERVICES,B3100,Closed,Africa,EG,Canadian Profit Making,0,0,16700508.62,0,1.0,1,1,1,0.0,0.2,Democratic participation and civil society,Egypt,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1000335,0,0,EG,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019608001,2,D3100,CONSULTING SERVICES,B3100,Closed,Africa,EG,Canadian Profit Making,0,0,16700508.62,0,1.0,1,1,1,0.0,0.05,Formal sector financial intermediaries,Egypt,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1000335,0,0,EG,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019608001,2,D3100,CONSULTING SERVICES,B3100,Closed,Africa,EG,Canadian Profit Making,0,0,16700508.62,0,1.0,1,1,1,0.0,0.05,Business support services and institutions,Egypt,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1000335,0,0,EG,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019608001,2,D3100,CONSULTING SERVICES,B3100,Closed,Africa,EG,Canadian Profit Making,0,0,16700508.62,0,1.0,1,1,1,0.0,0.05,Industrial policy and administrative management,Egypt,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1000335,0,0,EG,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019608001,2,D3100,CONSULTING SERVICES,B3100,Closed,Africa,EG,Canadian Profit Making,0,0,16700508.62,0,1.0,1,1,1,0.0,0.25,Small and medium-sized enterprises (SME) development,Egypt,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1000335,0,0,EG,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019608001,2,D3100,CONSULTING SERVICES,B3100,Closed,Africa,EG,Canadian Profit Making,0,0,16700508.62,0,1.0,1,1,1,0.0,0.15,Technological research and development,Egypt,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1000335,0,0,EG,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019608001,2,D3100,CONSULTING SERVICES,B3100,Closed,Africa,EG,Canadian Profit Making,0,0,16700508.62,0,1.0,1,1,1,0.0,0.05,Environmental policy and administrative management,Egypt,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1000335,0,0,EG,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A019608001,2,D3100,CONSULTING SERVICES,B3100,Closed,Africa,EG,Canadian Profit Making,0,0,16700508.62,0,1.0,1,1,1,0.0,0.2,Biosphere protection,Egypt,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1000335,0,0,EG,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020161001,2,D3100,FEDERAL,B3100,Closed,Africa,DZ,Canadian Non-Profit Making,0,0,328400.96,2,0.998334353,0,1,0,0.0,1.0,Multisector aid,*Algeria,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,10050,0,0,DZ,EDD Europe-Middle East Programming,Middle East and North Africa,4259,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020195001,1,D4400,FEDERAL,B4400,Closed,America,HT,Canadian Non-Profit Making,0,0,4610501.0,3,1.0,0,1,0,0.0,0.2,Democratic participation and civil society,Haiti,0,S4449,Not PBA,Directive,NGM Americas,0,10050,0,0,HT,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,4000000.0,Uncoded: Pre-APP,0,0,0
