film_id,costo_sostituzione,titolo,data_rilascio,lingua,durata,durata_noleggio,tariffa_noleggio,voto,lingua_originale_id,descrizione
1,20.99,ACADEMY DINOSAUR,2006,English,86,6,0.99,PG,,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies
2,12.99,ACE GOLDFINGER,2006,English,48,3,4.99,G,,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China
3,18.99,ADAPTATION HOLES,2006,English,50,7,2.99,NC-17,,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory
4,26.99,AFFAIR PREJUDICE,2006,English,117,5,2.99,G,,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank
6,17.99,AGENT TRUMAN,2006,English,169,3,2.99,PG,,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China
8,15.99,AIRPORT POLLOCK,2006,English,54,6,4.99,R,,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India
9,21.99,ALABAMA DEVIL,2006,English,114,3,2.99,PG-13,,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat
10,24.99,ALADDIN CALENDAR,2006,English,63,6,4.99,NC-17,,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China
11,16.99,ALAMO VIDEOTAPE,2006,English,126,6,0.99,G,,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention
12,22.99,ALASKA PHANTOM,2006,English,136,6,0.99,PG,,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia
13,21.99,ALI FOREVER,2006,English,150,4,4.99,PG,,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies
14,23.99,ALICE FANTASIA,2006,English,94,6,0.99,NC-17,,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia
15,10.99,ALIEN CENTER,2006,English,46,5,2.99,NC-17,,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention
16,23.99,ALLEY EVOLUTION,2006,English,180,6,2.99,NC-17,,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans
17,14.99,ALONE TRIP,2006,English,82,3,0.99,R,,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House
18,27.99,ALTER VICTORY,2006,English,57,6,0.99,PG-13,,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies
20,23.99,AMELIE HELLFIGHTERS,2006,English,79,4,4.99,R,,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon
21,17.99,AMERICAN CIRCUS,2006,English,129,3,4.99,R,,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank
22,10.99,AMISTAD MIDSUMMER,2006,English,85,6,2.99,G,,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California
23,9.99,ANACONDA CONFESSIONS,2006,English,92,3,0.99,R,,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia
24,19.99,ANALYZE HOOSIERS,2006,English,181,6,2.99,R,,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert
25,15.99,ANGELS LIFE,2006,English,74,3,2.99,G,,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin
26,15.99,ANNIE IDENTITY,2006,English,86,3,0.99,G,,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park
