cognome,attore_id,film_id,nome
HOPKINS,134,897,GENE
BERGEN,14,415,VIVIEN
HOFFMAN,169,849,KENNETH
STREEP,24,335,CAMERON
BULLOCK,167,626,LAURENCE
MIRANDA,42,648,TOM
BENING,174,809,MICHAEL
CRAWFORD,129,367,DARYL
WAHLBERG,2,105,NICK
NOLTE,125,557,ALBERT
NOLTE,122,654,SALMA
HAWKE,97,947,MEG
BIRCH,189,940,CUBA
NOLTE,122,795,SALMA
WOOD,156,775,FAY
TORN,102,631,WALTER
AKROYD,58,135,CHRISTIAN
NOLTE,122,470,SALMA
KILMER,45,219,REESE
KEITEL,198,1,MARY
BASINGER,158,601,VIVIEN
DEPP,100,967,SPENCER
DENCH,123,43,JULIANNE
BOLGER,37,694,VAL
JOHANSSON,146,571,ALBERT
PESCI,88,908,KENNETH
GOODING,139,540,EWAN
ZELLWEGER,111,643,CAMERON
DAVIS,110,650,SUSAN
DEPP,160,883,CHRIS
BAILEY,190,562,AUDREY
CAGE,11,429,ZERO
WEST,163,996,CHRISTOPHER
WOOD,13,966,UMA
HARRIS,56,226,DAN
CRUZ,80,619,RALPH
WILLIAMS,172,57,GROUCHO
GARLAND,165,779,AL
WAHLBERG,2,754,NICK
NICHOLSON,6,892,BETTE
TANDY,155,361,IAN
JOLIE,82,480,WOODY
AKROYD,58,698,CHRISTIAN
DUNST,106,108,GROUCHO
GOLDBERG,46,538,PARKER
MOSTEL,7,959,GRACE
SWANK,9,815,JOE
WINSLET,68,671,RIP
JOHANSSON,64,921,RAY
JOLIE,82,750,WOODY
WAHLBERG,2,481,NICK
TEMPLE,53,947,MENA
MALDEN,157,431,GRETA
WOOD,13,337,UMA
HACKMAN,32,309,TIM
KILMER,162,410,OPRAH
BERGMAN,121,479,LIZA
SILVERSTONE,195,738,JAYNE
COSTNER,16,267,FRED
KILMER,45,895,REESE
BOLGER,185,631,MICHAEL
HOFFMAN,28,14,WOODY
HARRIS,152,927,BEN
WAYNE,29,172,ALEC
JACKMAN,131,770,JANE
DEGENERES,41,912,JODIE
OLIVIER,34,182,AUDREY
BERGMAN,121,222,LIZA
BLOOM,25,86,KEVIN
TORN,18,842,DAN
SOBIESKI,31,793,SISSY
WILLIS,83,519,BEN
TEMPLE,193,412,BURT
KEITEL,198,264,MARY
ZELLWEGER,85,558,MINNIE
BERRY,91,859,CHRISTOPHER
DENCH,123,151,JULIANNE
RYDER,142,139,JADA
MCCONAUGHEY,70,53,MICHELLE
OLIVIER,15,886,CUBA
HACKMAN,32,523,TIM
BLOOM,25,213,KEVIN
BARRYMORE,47,25,JULIA
GIBSON,154,111,MERYL
DAVIS,110,912,SUSAN
ZELLWEGER,186,579,JULIA
HESTON,151,370,GEOFFREY
BENING,174,677,MICHAEL
HUDSON,65,735,ANGELA
REYNOLDS,135,814,RITA
MCCONAUGHEY,77,22,CARY
ALLEN,118,938,CUBA
OLIVIER,15,414,CUBA
BERGMAN,121,885,LIZA
MCQUEEN,27,854,JULIA
BALL,187,561,RENEE
CAGE,40,744,JOHNNY
HOPKINS,50,303,NATALIE
MARX,22,600,ELVIS
FAWCETT,199,67,JULIA
WAHLBERG,95,690,DARYL
SILVERSTONE,180,811,JEFF
BARRYMORE,47,273,JULIA
WILSON,168,32,WILL
BULLOCK,167,734,LAURENCE
PESCI,88,819,KENNETH
BLOOM,25,583,KEVIN
MARX,22,89,ELVIS
JOVOVICH,43,42,KIRK
NOLTE,125,324,ALBERT
ALLEN,145,692,KIM
NICHOLSON,6,112,BETTE
MONROE,120,898,PENELOPE
GOLDBERG,46,254,PARKER
STALLONE,44,58,NICK
CRAWFORD,26,340,RIP
BRIDGES,98,990,CHRIS
SINATRA,78,301,GROUCHO
TAUTOU,59,46,DUSTIN
MCDORMAND,114,538,MORGAN
GUINESS,1,939,PENELOPE
JOLIE,82,838,WOODY
ZELLWEGER,111,179,CAMERON
CRUZ,80,888,RALPH
KEITEL,74,704,MILLA
BERRY,60,142,HENRY
DENCH,89,529,CHARLIZE
GRANT,71,385,ADAM
GUINESS,179,924,ED
WOOD,156,262,FAY
BERRY,60,177,HENRY
DAY-LEWIS,48,922,FRANCES
LOLLOBRIGIDA,5,369,JOHNNY
ALLEN,118,151,CUBA
WINSLET,147,341,FAY
SILVERSTONE,180,820,JEFF
PENN,133,894,RICHARD
TEMPLE,193,689,BURT
NEESON,62,101,JAYNE
MARX,22,634,ELVIS
SILVERSTONE,195,769,JAYNE
DEGENERES,166,674,NICK
TRACY,20,231,LUCILLE
TORN,102,712,WALTER
KILMER,45,198,REESE
KEITEL,74,28,MILLA
DENCH,123,860,JULIANNE
WALKEN,196,684,BELA
GRANT,71,638,ADAM
BOLGER,185,665,MICHAEL
TANDY,66,143,MARY
TOMEI,126,199,FRANCES
PECK,33,56,MILLA
DAMON,81,692,SCARLETT
CROWE,105,377,SIDNEY
GRANT,71,874,ADAM
VOIGHT,17,959,HELEN
GUINESS,1,361,PENELOPE
STREEP,116,412,DAN
GUINESS,90,2,SEAN
TEMPLE,193,119,BURT
REYNOLDS,135,719,RITA
ALLEN,145,641,KIM
DUNST,106,763,GROUCHO
TEMPLE,200,945,THORA
HOFFMAN,28,287,WOODY
KILMER,162,574,OPRAH
BASINGER,158,967,VIVIEN
AKROYD,58,541,CHRISTIAN
SILVERSTONE,195,520,JAYNE
KEITEL,74,663,MILLA
BACALL,112,34,RUSSELL
CRAWFORD,129,640,DARYL
BERRY,60,830,HENRY
WILLIAMS,137,14,MORGAN
PHOENIX,51,990,GARY
HARRIS,141,395,CATE
DERN,109,174,SYLVESTER
MIRANDA,42,535,TOM
PITT,84,996,JAMES
DEGENERES,41,86,JODIE
HOFFMAN,169,954,KENNETH
DUKAKIS,36,81,BURT
TRACY,20,54,LUCILLE
JOVOVICH,43,89,KIRK
OLIVIER,34,846,AUDREY
CRONYN,104,926,PENELOPE
BULLOCK,167,672,LAURENCE
PENN,73,562,GARY
AKROYD,58,755,CHRISTIAN
STREEP,24,704,CAMERON
MCCONAUGHEY,77,13,CARY
PENN,73,77,GARY
STREEP,116,48,DAN
NOLTE,125,62,ALBERT
HOPKINS,134,655,GENE
WEST,197,724,REESE
BALL,187,499,RENEE
