ammontare,noleggio_id,data_pagamento,cliente_id,personale_id,pagamento_id
5.99,1185,2005-06-15 00:54:12,1,1,3
4.99,2308,2005-06-18 08:41:48,1,1,7
3.99,3284,2005-06-21 06:24:45,1,1,9
4.99,5244,2005-07-09 13:24:07,1,1,12
2.99,9571,2005-07-31 02:42:18,1,2,21
4.99,11824,2005-08-17 12:37:54,1,2,25
5.99,15315,2005-08-22 20:03:46,1,1,32
6.99,5755,2005-07-10 12:38:56,2,1,36
10.99,9236,2005-07-30 13:47:43,2,2,44
5.99,11087,2005-08-02 07:41:41,2,1,51
6.99,11177,2005-08-02 10:43:48,2,1,52
4.99,14475,2005-08-21 13:24:32,2,1,56
8.99,1546,2005-06-16 01:34:05,3,1,62
6.99,1911,2005-06-17 05:15:15,3,2,64
7.99,7703,2005-07-28 03:59:21,3,2,70
4.99,1297,2005-06-15 09:31:28,4,1,86
2.99,1707,2005-06-16 14:01:27,4,2,88
2.99,11110,2005-08-02 08:20:31,4,1,98
1.99,15635,2005-08-23 07:43:00,4,2,107
2.99,2570,2005-06-19 04:20:13,5,2,114
4.99,3677,2005-07-06 09:11:58,5,2,116
4.99,6685,2005-07-12 12:16:28,5,2,124
4.99,10609,2005-08-01 14:48:45,5,2,132
0.99,10625,2005-08-01 15:27:10,5,1,133
4.99,11001,2005-08-02 04:56:45,5,2,134
6.99,14053,2005-08-20 22:13:59,5,2,141
2.99,14494,2005-08-21 14:02:50,5,2,143
2.99,1841,2005-06-16 23:44:13,6,2,150
5.99,6211,2005-07-11 12:39:01,6,2,156
2.99,7136,2005-07-27 06:38:25,6,2,160
2.99,10271,2005-08-01 03:13:39,6,1,162
0.99,11853,2005-08-17 13:39:32,6,1,167
6.99,13451,2005-08-20 00:18:25,6,2,169
0.99,15603,2005-08-23 06:41:32,6,2,173
2.99,2250,2005-06-18 05:03:36,7,1,180
5.99,4787,2005-07-08 16:16:04,7,2,186
4.99,4856,2005-07-08 18:47:38,7,1,187
8.99,5441,2005-07-09 21:52:05,7,1,188
3.99,6761,2005-07-12 15:17:42,7,2,192
4.99,10644,2005-08-01 15:52:00,7,2,198
7.99,11542,2005-08-17 00:51:32,7,2,200
2.99,12730,2005-08-18 21:55:01,7,1,202
2.99,13373,2005-08-19 21:23:31,7,2,203
4.99,3114,2005-06-20 17:57:47,8,2,210
5.99,3475,2005-07-05 23:01:21,8,1,211
2.99,11284,2005-08-02 14:42:45,8,2,225
7.99,15374,2005-08-22 22:09:09,8,1,228
4.99,350,2005-05-27 05:01:28,9,2,231
0.99,4748,2005-07-08 13:59:38,9,2,237
1.99,4796,2005-07-08 16:35:44,9,1,238
2.99,5659,2005-07-10 07:45:40,9,1,239
5.99,6165,2005-07-11 10:17:29,9,1,241
2.99,7801,2005-07-28 07:51:56,9,1,243
7.99,14489,2005-08-21 13:53:59,9,2,252
4.99,1801,2005-06-16 20:21:53,10,1,255
4.99,4042,2005-07-07 03:06:40,10,2,261
2.99,7738,2005-07-28 05:21:42,10,1,267
4.99,8188,2005-07-28 22:34:12,10,2,269
4.99,13316,2005-08-19 19:23:30,10,2,276
2.99,13917,2005-08-20 16:43:28,10,2,277
5.99,15370,2005-08-22 21:59:29,10,1,278
6.99,6146,2005-07-11 09:09:59,11,2,286
4.99,7314,2005-07-27 13:13:32,11,1,287
0.99,15120,2005-08-22 12:42:47,11,1,300
2.99,15240,2005-08-22 17:46:41,11,2,301
5.99,1752,2005-06-16 17:02:55,12,2,305
5.99,2500,2005-06-18 23:07:12,12,2,307
0.99,3411,2005-06-21 16:31:27,12,1,310
3.99,3870,2005-07-06 17:57:54,12,1,311
0.99,11497,2005-08-16 22:52:30,12,2,325
4.99,12604,2005-08-18 16:58:48,12,1,326
2.99,6568,2005-07-12 05:45:47,13,1,337
0.99,6870,2005-07-12 20:13:45,13,1,338
2.99,7916,2005-07-28 11:49:53,13,1,340
9.99,9260,2005-07-30 14:38:22,13,2,343
0.99,9664,2005-07-31 06:12:08,13,1,345
4.99,10003,2005-07-31 17:48:51,13,1,347
0.99,11315,2005-08-02 16:05:17,13,2,349
9.99,14252,2005-08-21 05:44:07,13,1,355
0.99,815,2005-05-29 20:24:28,14,2,362
6.99,10526,2005-08-01 11:55:33,14,2,377
4.99,11480,2005-08-02 22:18:24,14,1,378
5.99,4127,2005-07-07 07:26:19,15,1,390
0.99,8193,2005-07-28 22:50:50,15,1,394
2.99,11118,2005-08-02 08:44:18,15,1,398
2.99,11307,2005-08-02 15:48:08,15,2,400
2.99,12635,2005-08-18 18:00:23,15,1,405
4.99,13541,2005-08-20 03:41:41,15,1,409
3.99,13677,2005-08-20 08:34:41,15,2,410
0.99,14569,2005-08-21 16:31:22,15,2,411
8.99,14872,2005-08-22 03:23:41,15,2,413
0.99,15178,2005-08-22 15:36:04,15,1,414
4.99,15897,2005-08-23 17:12:31,15,1,415
2.99,593,2005-05-28 13:33:23,16,1,419
7.99,1944,2005-06-17 07:50:53,16,1,423
0.99,3348,2005-06-21 11:16:42,16,2,426
0.99,3548,2005-07-06 02:23:39,16,1,427
4.99,4517,2005-07-08 02:45:19,16,2,430
4.99,6100,2005-07-11 06:40:31,16,1,431
2.99,10687,2005-08-01 17:53:02,16,2,437
2.99,12104,2005-08-17 22:53:00,16,2,440
6.99,13480,2005-08-20 01:10:27,16,1,445
8.99,14511,2005-08-21 14:45:34,16,1,446
5.99,2175,2005-06-18 00:17:58,17,2,450
5.99,3269,2005-06-21 05:06:30,17,2,452
3.99,5883,2005-07-10 19:25:21,17,1,454
8.99,9092,2005-07-30 08:30:56,17,2,458
2.99,9138,2005-07-30 10:11:52,17,1,459
3.99,4724,2005-07-08 12:46:30,18,2,476
1.99,10721,2005-08-01 19:05:18,18,2,485
4.99,11094,2005-08-02 08:03:02,18,2,486
6.99,179,2005-05-26 04:26:06,19,1,492
2.99,337,2005-05-27 03:22:30,19,1,493
