assay_id,bao_format,relationship_type,tid,assay_strain,confidence_score,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_tissue
1,BAOp0o0019,H,12052,,8,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,BAO9p00219,U,22226,,0,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,BAO00000w8,U,22226,,0,15453,,B,,,,,
4,BsO0000349,H,104729,,4,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,Bos taurus,9913.0,
5,BA900p0219,N,80001,,1,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606.0,
6,BAO0990219,N,80001,,1,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606.0,
7,BqO0p00219,N,80001,,1,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,Mus musculus,10090.0,
8,BAk0000229,N,80001,,1,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,,Homo sapiens,9606.0,
9,BA9p000219,N,80001,,1,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,Homo sapiens,9606.0,
10,gAi0000219,N,80001,,1,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606.0,
11,BAO0000329,N,80001,,1,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606.0,
12,BAO9o00219,N,80001,,1,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,Homo sapiens,9606.0,
13,BzO000021u,N,50185,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
14,BA80009218,N,50185,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
15,BAO00o021i,N,50185,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
