inventory_id,film_id,store_id
2533,556,1
2402,525,1
3849,843,1
1172,260,2
1074,239,2
2451,535,1
1822,396,2
130,26,1
200,44,2
4391,959,1
4464,975,2
3121,686,1
2468,540,1
1505,329,2
514,114,1
154,32,2
3310,728,2
3950,861,2
3646,796,2
1723,376,1
944,209,1
91,18,2
4218,917,1
3782,828,2
900,200,1
3826,838,1
1485,326,1
3688,806,2
1306,288,2
4393,960,2
1014,227,2
1997,434,2
3989,869,2
3178,697,2
2554,560,1
4426,967,2
2512,552,2
441,97,2
738,162,1
4187,911,2
288,65,2
3585,784,2
3404,746,2
3490,764,2
3696,809,2
2672,586,2
2755,604,2
734,160,2
1052,234,2
366,80,1
1872,408,2
1154,255,1
963,215,1
3847,842,2
3548,776,1
416,91,2
4576,1000,1
770,167,2
4523,987,2
1358,300,1
654,142,1
1454,319,1
3617,790,1
4151,901,2
3336,733,2
2788,611,2
1955,426,2
1946,424,1
867,191,1
1135,251,2
2553,559,2
2653,581,1
989,220,2
851,187,2
3159,694,1
2881,632,1
3053,670,2
700,153,1
3918,855,2
2033,443,1
815,177,2
688,150,2
2895,636,1
4111,894,1
1645,358,2
378,83,2
603,131,1
3225,708,2
4020,875,2
2498,549,1
86,17,2
2574,563,2
2465,539,1
3348,735,2
833,182,1
2838,623,1
3103,681,2
328,73,1
3263,718,2
3245,714,2
4375,956,1
1199,266,2
4246,923,2
3156,693,2
319,71,2
479,105,2
2328,505,2
2147,464,1
1598,350,1
2183,471,2
4031,878,2
228,51,1
297,67,2
3117,685,2
4193,912,2
1826,397,1
837,183,2
2410,526,2
4323,941,2
1040,232,2
2709,595,1
769,167,2
3128,687,2
3912,854,2
2731,599,1
1556,341,2
1339,295,2
2786,611,1
3258,717,1
1057,235,2
4488,980,2
1983,432,2
2428,530,1
3604,788,1
3209,705,1
557,121,2
3167,696,1
1192,266,1
1413,309,2
1630,356,1
272,61,1
464,102,2
3420,749,1
3874,847,2
4294,936,1
3089,679,1
4140,899,1
2953,648,1
1490,326,2
2316,503,1
2492,546,2
2191,473,2
1999,435,1
743,162,2
4368,952,1
3040,667,1
4574,1000,1
4547,993,1
4098,892,2
2613,573,1
4572,999,2
3365,738,2
4006,872,2
215,48,2
187,42,2
2411,526,2
1991,434,1
4163,905,1
1003,225,1
531,116,2
2802,615,2
428,95,1
1503,329,1
255,57,1
1033,231,2
889,199,1
1940,422,2
2903,638,1
2552,559,2
2121,460,1
768,167,2
691,151,1
3664,800,2
2625,575,2
3041,667,1
2045,444,2
627,136,1
3449,756,2
3933,857,2
1651,361,1
719,158,1
1013,227,1
3394,745,1
4472,977,2
3073,676,2
3100,681,1
600,131,1
1678,366,2
47,10,1
3544,775,1
2537,556,2
4028,877,2
563,122,1
4012,873,2
3425,750,1
1177,262,2
2115,458,2
3320,730,2
3412,748,1
1803,391,2
3594,786,1
2970,651,1
1699,370,1
3463,759,2
631,137,2
189,43,1
3773,826,2
4044,880,2
4079,889,1
4290,934,2
3252,715,2
3734,816,2
848,186,1
4137,898,2
430,95,2
2871,629,2
1572,345,1
750,164,2
1866,407,1
1641,358,1
3381,741,2
4556,994,1
1627,356,1
969,216,1
4216,916,2
323,72,1
3064,673,2
2530,555,2
2418,527,2
758,166,1
306,69,1
4325,942,1
3417,748,2
509,113,2
3552,776,2
1724,376,1
414,91,1
3972,865,1
4017,875,1
2021,439,2
497,111,2
3980,867,1
2937,645,1
3363,738,1
1683,367,1
2277,492,1
1867,408,1
1181,263,1
4068,887,1
2200,476,1
1578,346,2
2415,527,1
1605,351,1
340,75,2
4152,902,1
619,135,1
3026,664,2
2837,622,2
2915,641,1
4159,903,2
396,88,2
1573,345,2
647,140,2
533,117,1
1015,227,2
4438,970,2
528,116,2
3047,668,2
3562,778,1
1771,384,2
1047,233,2
3373,740,2
1685,367,2
1615,353,1
2370,516,2
4196,913,1
2392,522,2
3888,849,2
863,190,2
1865,407,1
2808,616,2
3355,737,1
493,110,1
2546,559,1
3399,745,2
3020,663,1
3465,760,1
3592,785,2
3110,683,1
4398,961,2
1354,299,1
711,155,2
2177,470,1
2459,537,2
3839,841,1
3457,758,2
417,91,2
782,170,2
1468,321,1
2508,551,2
571,123,2
4313,939,2
2896,637,1
1022,228,2
1205,267,2
4270,929,1
361,79,2
3961,863,2
766,167,1
3772,825,1
1871,408,2
1504,329,2
4181,911,1
2996,657,1
803,175,1
1689,368,1
2612,573,1
3958,863,1
3763,823,2
4092,891,2
2906,638,2
2987,655,1
920,204,2
141,28,1
3195,702,1
1160,256,2
3877,847,2
1126,249,2
4007,873,1
3340,734,2
4205,914,2
270,60,1
