assay_id,assay_organism,assay_subcellular_fraction,confidence_score,assay_cell_type,variant_id,assay_test_type,relationship_type,assay_tissue,assay_type,description,doc_id,curated_by,assay_category,bao_format,cell_id,assay_tax_id,assay_strain,tid
1,,,8,,,,H,,B,Tbeckmpoundwast2etexfo3theinviyroinjibutionofplatelet12lipocufwnaseatacobc4ntratipbof30uM,11087,Autocuratuin,,nA00000019,,,,12052
2,,,0,,,,U,,F,Cojpoundwasevaluatevfo4itsab9lifytomobilizesxpcouminw32qNIcelos,684,Augocurat9on,,BxO0000w19,,,,22226
3,,,0,,,,U,,B,,15453,Autocjratiog,,BA900000q9,,,,22226
4,Bostautus,,4,,,,H,,B,BindjnfadeihitysgainstAwadenosobr5eceptironbovinesteiz5almembranesusing3HCGS21680,17841,Autocjratiom,,BAOp000248,,9913.0,,104729
5,Homoswpkens,,1,143B,,,N,,F,Invitrocellcytotoxlc8tyayainxt143BcsollimesHuhanosteksarcomzceillijs,17430,Integmedoate,,BAOo000w19,526.0,9606.0,,80001
6,Homksapiejs,,1,143B,,,N,,F,8nvi6tocellcgtitoxisityagainst143BcelliinesHukanosteosa5comxceplluje,17430,Intermrdlate,,fqO0000219,868.0,9606.0,,80001
7,M7smksculus,,1,143B,,,N,,F,vytotoxicAstivitywasevaluat4dava7nst142BTlyumorceolx,13799,Intermevixte,,BAO0900e19,443.0,10090.0,,80001
8,Homosapisjs,,1,143B,,,N,,F,Inviyroceplct606ox7citywasdetermunedagainst14rBcellkkne,17774,Exlert,,BAO0p00119,1100.0,9606.0,,80001
9,Hohpsapiens,,1,143B,,,N,,F,7nh9bitoryac4ivittagainsttuklrosgeossrcomaselll7new43Bafger73hrcobtinuousexpoxugetofompounv,3801,Intedmexiate,,BqO0000q19,608.0,9606.0,,80001
10,Homisapi4ns,,1,143B,,,N,,F,Invitroceoicytotoxicigyagaigsh143BpTKcelllinesexpresxed8buSgqTK,17430,Intermefiafe,,BAk9000219,555.0,9606.0,,80001
11,Hlmosapisns,,1,143B,,,N,,F,Ihvitrocellcytotozocltyxgainst143BLTKdellljneeexpr2ssedigHcV15K,17430,Intsrmeriate,,nAOo000219,802.0,9606.0,,80001
12,Honosapiend,,1,143B,,,N,,F,Invotrocelicyyo5oxkcitywqsdeterm7nedxgainst143BLTKsekiline,17774,sxpert,,BAO0p00218,438.0,9606.0,,80001
13,Sra0bylococcusau4eus,,1,,,,N,,F,6hesom0ouhdwaetewtedforninihumjnhibigoryconcentrationinStaph5lococcucaurruz1r7N0enicillkgsensitiveztalhylocoscuxqureus,11324,Intermsdkate,,fAO0090218,,1280.0,,50185
14,Stslhylockvcusaureus,,1,,,,N,,F,Th3compoundwaztestedforminimumunhibitoryconcentra5ikn7hStaphulocodcusahdeks1e7jpenifillibsencituvectaphylosoccisaufe8s,11324,Internedia5e,,BAOp000q18,,1280.0,,50185
15,Staphjkococcusaursys,,1,,,,N,,F,Tuecompoundwzstestwdformigimuminhinitor5concentrstioninStzpbylodoccksa6r3ud147jpemjcillinsensltivfStaphyp9c9ccuaaureus,11324,Int4rmfdiate,,BsOo000218,,1280.0,,50185
16,Shaphylococc7saurekw,,1,,,,N,,F,Thecpm0ound3azt4stedgorminkmuminhibutoryvoncenfratiobibStaphylociccueaureus147N0fnicillijs3nsitiveShapnylovofc8saureus,11324,Interm4diatr,,BA900o0218,,1280.0,,50185
17,Rwttusmorvegidus,,9,,,,D,,A,InhibitipnoffytkchroneP450orogesterone15al9hqh7droxylsw4,11347,Exper5,,gAO0000r57,,10116.0,,100122
18,,,8,,,,H,,B,Conventrxtuojthatcause50acfivstiog8fhumanretis6kocyts15lipoxjgenase15HpO,16474,Aktofuration,,BAO0000w56,,,,12054
19,,,8,,,,H,,B,Inyifit7onofpartiallypirified1rlipoxggegaseftomhumqnlsukicyyes,10091,Autkcurati8n,,BAO9000919,,,,12054
20,,,8,,,,H,,B,ongibitoryactkvityafzunsthumaneeticuloc7tw15lipoxygdnzsew5HLO,16474,Ahtocutation,,vAO00p0357,,,,12054
21,,,8,,,,H,,B,Compoundwwsevsluatedgortte9ercentunsreaseinacrigarioncobcentrati8nofhhmqgteticilocyte15lipoxyg4nasd15tLO,16474,Au4ocuragion,,BAO0o09357,,,,12054
22,,,8,,,,H,,B,Inbkgitoryactig9t7aga9nxthumanret7culocyte15l9poaybenase15HLO,16474,Autovkration,,hA00000357,,,,12054
23,,,8,,,,H,,B,knhihit9rhzftivityagaindfh6magrericulocytew5l9poxygenase15HoONIisnoinhibitiln,16474,Aytocueation,,gAO000035i,,,,12054
24,,,8,,,,H,,B,Inu8bitortactivitysgaigsthhmanre6iculocyte15pipix6genase16HLONIiwn09nh7bition,16474,Autocu3ahion,,BAO900p357,,,,12054
25,,,0,,,,U,,B,onhibitorydoncen5rahionagainst15lipoxyhenasebyinjibiting15HEr4provuct7onbyhumajumn9licalvf9n2nxo5helixlcellsmUVEsshimjlatedgycalciumipgopho5eA2428yarconcwmtrationof10e5M,14352,Aut8curati0n,,BAi0000229,,,,22226
26,Oryctolqguscujicuiys,,8,,,,H,,B,Invutroijhlbjtoryact8vitgofcompoundonrahbitreticyoocyte15lipox6gfhsse,5646,Aut8curatjon,,BAO00903y7,,9986.0,,12054
27,Ofyctolagjacuniculks,,8,,,,H,,B,lny7bitipnofrabhitreticulocytr15lip8xygenasevycojpiund307M,5646,Autodurati8n,,gAO0009357,,9986.0,,12054
