ASI,Des,CI,BFO,CURAB,ASSSUBCELFR,ASCT,T,RELAT,CONFSC,SRI,SASSI,CHEI,TISI,VAI
1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,BAO_0000019,Autocuration,,,12052,H,8,1,,CHEMBL615117,,
2,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,BAO_0000219,Autocuration,,,22226,U,0,1,,CHEMBL615118,,
3,,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615119,,
4,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,BAO_0000249,Autocuration,,,104729,H,4,1,,CHEMBL615120,,
5,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),163.0,BAO_0000219,Intermediate,,143B,80001,N,1,1,,CHEMBL615121,,
6,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),163.0,BAO_0000219,Intermediate,,143B,80001,N,1,1,,CHEMBL615122,,
7,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,163.0,BAO_0000219,Intermediate,,143B,80001,N,1,1,,CHEMBL615123,,
8,In vitro cell cytotoxicity was determined against 143B cell line,163.0,BAO_0000219,Expert,,143B,80001,N,1,1,,CHEMBL615124,,
9,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,163.0,BAO_0000219,Intermediate,,143B,80001,N,1,1,,CHEMBL615125,,
10,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,163.0,BAO_0000219,Intermediate,,143B,80001,N,1,1,,CHEMBL615126,,
11,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,163.0,BAO_0000219,Intermediate,,143B,80001,N,1,1,,CHEMBL615127,,
12,In vitro cell cytotoxicity was determined against 143B-LTK cell line,163.0,BAO_0000219,Expert,,143B,80001,N,1,1,,CHEMBL615128,,
13,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,Intermediate,,,50185,N,1,1,,CHEMBL857900,,
14,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,Intermediate,,,50185,N,1,1,,CHEMBL615129,,
15,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,Intermediate,,,50185,N,1,1,,CHEMBL615130,,
16,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,Intermediate,,,50185,N,1,1,,CHEMBL615131,,
17,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,BAO_0000357,Expert,,,100122,D,9,1,,CHEMBL884521,,
18,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615132,,
19,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,BAO_0000019,Autocuration,,,12054,H,8,1,,CHEMBL615133,,
20,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615134,,
21,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615135,,
22,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615136,,
23,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615137,,
24,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615138,,
25,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,BAO_0000219,Autocuration,,,22226,U,0,1,,CHEMBL836324,,
26,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615139,,
27,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615140,,
28,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,BAO_0000219,Autocuration,,,12426,H,8,1,,CHEMBL615141,,
29,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615142,,
30,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615143,,
