assays_chembl_id,assays_doc_id,assays_assay_category,assays_assay_id,assays_assay_cell_type,assays_assay_tax_id,assays_assay_test_type,assays_tid,assays_assay_strain,assays_assay_type,assays_assay_organism,assays_bao_format,assays_description,assays_cell_id,assays_src_assay_id,assays_relationship_type,assays_confidence_score,assays_curated_by,assays_assay_tissue,assays_src_id,assays_variant_id,assays_tissue_id,assays_assay_subcellular_fraction
CHEMBL618647,9866,,7524,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,N,1,Intermediate,Kidney,1,,2113.0,
CHEMBL618648,9866,,7525,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,,N,1,Intermediate,Kidney,1,,2113.0,
CHEMBL618649,9866,,7526,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,,N,1,Intermediate,Kidney,1,,2113.0,
CHEMBL618650,9866,,7527,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,N,1,Intermediate,Liver,1,,2107.0,
CHEMBL618651,9866,,7528,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,,N,1,Intermediate,Liver,1,,2107.0,
CHEMBL876497,9866,,7529,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,,N,1,Intermediate,Liver,1,,2107.0,
CHEMBL618652,9866,,7530,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,N,1,Intermediate,Lung,1,,2048.0,
CHEMBL618653,9866,,7531,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,,N,1,Intermediate,Lung,1,,2048.0,
CHEMBL618654,9866,,7532,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,,N,1,Intermediate,Lung,1,,2048.0,
CHEMBL618655,6351,,7533,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,,N,1,Intermediate,,1,,,
