miller2_FiYe,miller2_OrgCl,miller2_OrganT,miller2_TrDev,miller2_Biodiv,miller2_ContiID,miller2_FCeID,miller2_OrgaSu,miller2_KnowFoDev,miller2_BilaAiMar,miller2_IndIss,miller2_AmoSp,miller2_ICTAATFDev,miller2_SeN,miller2_ContiNa,miller2_OrgID,miller2_ClimChaMiti,miller2_ChiIss,miller2_CoRePe,miller2_SecPer,miller2_MaxCIDAContr,miller2_IRTCPe,miller2_CliChAdap,miller2_CouReNa,miller2_UrIs,miller2_ProPr,miller2_PBATy,miller2_EnviSustain,miller2_Dese,miller2_PartDeveAGoGove,miller2_YoIs,miller2_DisIss,miller2_GenEqu,miller2_OrganiN,miller2_PrBroCoID,miller2_CounRegID,miller2_SecID,miller2_SecN
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,3,5291,UNITED NATIONS,1,0,0,75768.0,1,MIO United Nations,Asia,1005967,0,0,0.22,0.14,2460000.0,0.0,0,Asia MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,X3,X3,33140,Multilateral trade negotiations
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,3,5291,UNITED NATIONS,1,0,0,273306.0,1,MIO United Nations,Asia,1005967,0,0,0.22,0.505,2460000.0,0.0,0,Asia MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,X3,X3,99810,Sectors not specified
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,5,5291,UNITED NATIONS,1,0,0,210969.6,1,MIO United Nations,Europe,1005967,0,0,0.32,0.268,2460000.0,0.0,0,Europe MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,X4,X4,12191,Medical services
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,5,5291,UNITED NATIONS,1,0,0,36998.4,1,MIO United Nations,Europe,1005967,0,0,0.32,0.047,2460000.0,0.0,0,Europe MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,X4,X4,14015,Water resources conservation (including data collection)
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,5,5291,UNITED NATIONS,1,0,0,31488.0,1,MIO United Nations,Europe,1005967,0,0,0.32,0.04,2460000.0,0.0,0,Europe MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,X4,X4,23510,Nuclear energy electric power plants
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,5,5291,UNITED NATIONS,1,0,0,110208.0,1,MIO United Nations,Europe,1005967,0,0,0.32,0.14,2460000.0,0.0,0,Europe MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,X4,X4,33140,Multilateral trade negotiations
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,5,5291,UNITED NATIONS,1,0,0,397536.0,1,MIO United Nations,Europe,1005967,0,0,0.32,0.505,2460000.0,0.0,0,Europe MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,X4,X4,99810,Sectors not specified
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,1,5303,REGIONAL ORGANIZATION,0,1,0,300000.0,0,MHI International Humanitarian Assis ops,America,1001300,0,0,1.0,1.0,300000.0,0.0,0,El Salvador,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,0,PAHO - Pan American Health Organization,SV,SV,72010,Material relief assistance and services
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,5311,INTERNATIONAL NGO,0,1,0,1500000.0,0,MHO Huma Organization & Food Assistance,Africa,1014663,0,0,0.5,1.0,3000000.0,0.0,0,Africa MC,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,ICRC Appeals via CRCS,X1,X1,72010,Material relief assistance and services
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,1,5311,INTERNATIONAL NGO,0,1,0,450000.0,0,MHO Huma Organization & Food Assistance,America,1014663,0,0,0.15,1.0,3000000.0,0.0,0,Americas MC,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,ICRC Appeals via CRCS,X2,X2,72010,Material relief assistance and services
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,3,5311,INTERNATIONAL NGO,0,1,0,900000.0,0,MHO Huma Organization & Food Assistance,Asia,1014663,0,0,0.3,1.0,3000000.0,0.0,0,Asia MC,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,ICRC Appeals via CRCS,X3,X3,72010,Material relief assistance and services
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,5,5311,INTERNATIONAL NGO,0,1,0,150000.0,0,MHO Huma Organization & Food Assistance,Europe,1014663,0,0,0.05,1.0,3000000.0,0.0,0,Europe MC,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,ICRC Appeals via CRCS,X4,X4,72010,Material relief assistance and services
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,5311,INTERNATIONAL NGO,0,1,0,1500000.0,0,MHO Huma Organization & Food Assistance,Africa,1014663,0,0,0.5,1.0,3000000.0,0.0,0,Africa MC,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,ICRC Appeals via CRCS,X1,X1,72010,Material relief assistance and services
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,1,5311,INTERNATIONAL NGO,0,1,0,450000.0,0,MHO Huma Organization & Food Assistance,America,1014663,0,0,0.15,1.0,3000000.0,0.0,0,Americas MC,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,ICRC Appeals via CRCS,X2,X2,72010,Material relief assistance and services
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,3,5311,INTERNATIONAL NGO,0,1,0,900000.0,0,MHO Huma Organization & Food Assistance,Asia,1014663,0,0,0.3,1.0,3000000.0,0.0,0,Asia MC,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,ICRC Appeals via CRCS,X3,X3,72010,Material relief assistance and services
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,5,5311,INTERNATIONAL NGO,0,1,0,150000.0,0,MHO Huma Organization & Food Assistance,Europe,1014663,0,0,0.05,1.0,3000000.0,0.0,0,Europe MC,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,ICRC Appeals via CRCS,X4,X4,72010,Material relief assistance and services
2009/2010,Civil Society,Foreign Non-Profit Making,0,0,3,5303,NGO,0,1,0,500000.0,0,MHI International Humanitarian Assis ops,Asia,1015332,0,0,1.0,1.0,500000.0,0.0,0,Sri Lanka,0,Uncoded: Pre-APP,Not PBA,1,0,0,0,0,0,Mines Advisory Group,LK,LK,72010,Material relief assistance and services
2009/2010,Civil Society,Foreign Non-Profit Making,0,0,3,5303,NGO,0,1,0,500000.0,0,MHI International Humanitarian Assis ops,Asia,1015331,0,0,1.0,1.0,500000.0,0.0,0,Sri Lanka,0,Uncoded: Pre-APP,Not PBA,1,0,0,0,0,0,The Halo Trust,LK,LK,72010,Material relief assistance and services
2009/2010,Civil Society,Foreign Non-Profit Making,0,0,2,5230,NGO,1,1,0,150000.0,0,MHO Huma Organization & Food Assistance,Africa,1002035,0,0,0.5,1.0,600000.0,0.0,0,Africa MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,International Crisis Group,X1,X1,72050,Relief co-ordination; protection and support services
2009/2010,Civil Society,Foreign Non-Profit Making,0,0,1,5230,NGO,1,1,0,30000.0,0,MHO Huma Organization & Food Assistance,America,1002035,0,0,0.1,1.0,600000.0,0.0,0,Americas MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,International Crisis Group,X2,X2,72050,Relief co-ordination; protection and support services
2009/2010,Civil Society,Foreign Non-Profit Making,0,0,3,5230,NGO,1,1,0,90000.0,0,MHO Huma Organization & Food Assistance,Asia,1002035,0,0,0.3,1.0,600000.0,0.0,0,Asia MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,International Crisis Group,X3,X3,72050,Relief co-ordination; protection and support services
2009/2010,Civil Society,Foreign Non-Profit Making,0,0,5,5230,NGO,1,1,0,30000.0,0,MHO Huma Organization & Food Assistance,Europe,1002035,0,0,0.1,1.0,600000.0,0.0,0,Europe MC,0,Uncoded: Pre-APP,Not PBA,1,0,1,0,0,0,International Crisis Group,X4,X4,72050,Relief co-ordination; protection and support services
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,3,5309,UNITED NATIONS,0,1,0,500000.0,0,MHI International Humanitarian Assis ops,Asia,1001721,0,0,1.0,1.0,1800000.0,0.0,0,Yemen,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,0,WFP - World Food Programme,YE,YE,72040,Emergency food aid
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,1,5309,UNITED NATIONS,0,1,0,1500000.0,0,MHI International Humanitarian Assis ops,America,1001721,0,0,1.0,1.0,3000000.0,0.0,0,Colombia,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,0,WFP - World Food Programme,CO,CO,72040,Emergency food aid
2009/2010,Multilateral,Foreign Non-Profit Making,0,0,2,5309,UNITED NATIONS,0,1,0,6500000.0,0,MHI International Humanitarian Assis ops,Africa,1001721,0,0,1.0,1.0,6500000.0,0.0,0,Chad,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0,1,WFP - World Food Programme,TD,TD,72040,Emergency food aid
