assays_ASSI,assays_CONSC,assays_VARI,assays_TISI,assays_RELATIT,assays_CURAB,assays_ASSTIS,assays_ASSCET,assays_ASSSUBCELFR,assays_Ti,assays_SI,assays_SRASI,assays_CHEI,assays_CEI,assays_BFO
7524,1,,2113.0,N,Intermediate,Kidney,,,50597,1,,CHEMBL618647,,BAO_0000218
7525,1,,2113.0,N,Intermediate,Kidney,,,50597,1,,CHEMBL618648,,BAO_0000218
7526,1,,2113.0,N,Intermediate,Kidney,,,50597,1,,CHEMBL618649,,BAO_0000218
7527,1,,2107.0,N,Intermediate,Liver,,,50597,1,,CHEMBL618650,,BAO_0000218
7528,1,,2107.0,N,Intermediate,Liver,,,50597,1,,CHEMBL618651,,BAO_0000218
7529,1,,2107.0,N,Intermediate,Liver,,,50597,1,,CHEMBL876497,,BAO_0000218
7530,1,,2048.0,N,Intermediate,Lung,,,50597,1,,CHEMBL618652,,BAO_0000218
7531,1,,2048.0,N,Intermediate,Lung,,,50597,1,,CHEMBL618653,,BAO_0000218
7532,1,,2048.0,N,Intermediate,Lung,,,50597,1,,CHEMBL618654,,BAO_0000218
7533,1,,,N,Intermediate,,,,50597,1,,CHEMBL618655,,BAO_0000218
7534,1,,,N,Intermediate,,,,50597,1,,CHEMBL618656,,BAO_0000218
7535,0,,,U,Intermediate,,,,22229,1,,CHEMBL618657,,BAO_0000100
7536,1,,,N,Intermediate,,,,50597,1,,CHEMBL618658,,BAO_0000218
7537,1,,,N,Intermediate,,,,50597,1,,CHEMBL618659,,BAO_0000218
7538,1,,,N,Intermediate,,,,50597,1,,CHEMBL618660,,BAO_0000218
7539,1,,,N,Intermediate,,,,50597,1,,CHEMBL618661,,BAO_0000218
7540,1,,,N,Intermediate,,,,50597,1,,CHEMBL873807,,BAO_0000218
7541,1,,,N,Intermediate,,,,50597,1,,CHEMBL618662,,BAO_0000218
7542,1,,,N,Intermediate,,,,50597,1,,CHEMBL618663,,BAO_0000218
7543,1,,,N,Intermediate,,,,50597,1,,CHEMBL618664,,BAO_0000218
7544,1,,,N,Intermediate,,,,50597,1,,CHEMBL618665,,BAO_0000218
7545,1,,,N,Intermediate,,,,50597,1,,CHEMBL876498,,BAO_0000218
7546,1,,,N,Intermediate,,,,50597,1,,CHEMBL618666,,BAO_0000218
7547,1,,,N,Intermediate,,,,50597,1,,CHEMBL620440,,BAO_0000218
7548,1,,,N,Intermediate,,,,50597,1,,CHEMBL620441,,BAO_0000218
7549,1,,,N,Intermediate,,,,50597,1,,CHEMBL620442,,BAO_0000218
7550,1,,,N,Intermediate,,,,50597,1,,CHEMBL620443,,BAO_0000218
7551,1,,,N,Intermediate,,,,50597,1,,CHEMBL620444,,BAO_0000218
7552,1,,,N,Intermediate,,,,50597,1,,CHEMBL620445,,BAO_0000218
7553,1,,,N,Intermediate,,,,50597,1,,CHEMBL620446,,BAO_0000218
7554,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL620447,,BAO_0000218
7555,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL621129,,BAO_0000218
7556,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL621130,,BAO_0000218
7557,1,,,N,Intermediate,,,,50597,1,,CHEMBL873808,,BAO_0000218
7558,1,,,N,Intermediate,,,,50597,1,,CHEMBL876598,,BAO_0000218
7559,1,,,N,Intermediate,,,,50597,1,,CHEMBL621131,,BAO_0000218
7560,1,,,N,Intermediate,,,,50597,1,,CHEMBL621132,,BAO_0000218
7561,1,,,N,Intermediate,,,,50597,1,,CHEMBL621133,,BAO_0000218
7562,1,,,N,Expert,,,,50597,1,,CHEMBL621312,,BAO_0000218
7563,1,,,N,Intermediate,,,,50597,1,,CHEMBL621313,,BAO_0000218
7564,1,,178.0,N,Intermediate,Blood,,,50597,1,,CHEMBL621314,,BAO_0000218
7565,1,,,N,Intermediate,,,,50597,1,,CHEMBL621315,,BAO_0000218
7566,1,,,N,Intermediate,,,,50597,1,,CHEMBL621316,,BAO_0000218
7567,1,,,N,Intermediate,,,,50597,1,,CHEMBL621317,,BAO_0000218
7568,1,,,N,Intermediate,,,,50597,1,,CHEMBL621318,,BAO_0000218
7569,1,,,N,Intermediate,,,,50597,1,,CHEMBL621319,,BAO_0000218
7570,1,,,N,Intermediate,,,,50597,1,,CHEMBL621377,,BAO_0000218
7571,1,,,N,Intermediate,,,,50597,1,,CHEMBL621378,,BAO_0000218
7572,1,,,N,Intermediate,,,,50597,1,,CHEMBL876599,,BAO_0000218
7573,1,,,N,Intermediate,,,,50597,1,,CHEMBL621379,,BAO_0000218
7574,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL621380,,BAO_0000218
7575,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL621381,,BAO_0000218
7576,1,,,N,Intermediate,,,,50597,1,,CHEMBL618515,,BAO_0000218
7577,1,,,N,Intermediate,,,,50597,1,,CHEMBL618516,,BAO_0000218
7578,1,,,N,Intermediate,,,,50597,1,,CHEMBL618517,,BAO_0000218
7579,1,,,N,Intermediate,,,,50597,1,,CHEMBL618518,,BAO_0000218
7580,1,,,N,Intermediate,,,,50597,1,,CHEMBL618519,,BAO_0000218
7581,1,,,N,Intermediate,,,,50597,1,,CHEMBL618698,,BAO_0000218
7582,1,,,N,Intermediate,,,,50597,1,,CHEMBL618862,,BAO_0000218
7583,1,,,N,Intermediate,,,,50597,1,,CHEMBL618863,,BAO_0000218
7584,1,,,N,Intermediate,,,,50597,1,,CHEMBL618864,,BAO_0000218
7585,1,,,N,Intermediate,,,,50597,1,,CHEMBL618865,,BAO_0000218
7586,1,,,N,Intermediate,,,,50597,1,,CHEMBL618866,,BAO_0000218
7587,1,,,N,Intermediate,,,,50597,1,,CHEMBL618867,,BAO_0000218
7588,1,,,N,Intermediate,,,,50597,1,,CHEMBL875828,,BAO_0000218
7589,1,,,N,Intermediate,,,,50597,1,,CHEMBL618868,,BAO_0000218
7590,1,,,N,Intermediate,,,,50597,1,,CHEMBL618869,,BAO_0000218
7591,1,,,N,Intermediate,,,,50597,1,,CHEMBL618870,,BAO_0000218
7592,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL618871,,BAO_0000218
7593,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL618872,,BAO_0000218
7594,1,,,N,Intermediate,,,,50597,1,,CHEMBL873816,,BAO_0000218
7595,0,,,U,Autocuration,,,,22224,1,,CHEMBL618873,,BAO_0000218
7596,0,,,U,Autocuration,,,,22224,1,,CHEMBL621602,,BAO_0000019
7597,0,,,U,Autocuration,,,,22224,1,,CHEMBL621603,,BAO_0000218
7598,0,,,U,Autocuration,,,,22224,1,,CHEMBL621604,,BAO_0000218
7599,0,,,U,Autocuration,,,,22224,1,,CHEMBL621605,,BAO_0000218
7600,0,,,U,Autocuration,,,,22224,1,,CHEMBL621606,,BAO_0000218
7601,0,,,U,Autocuration,,,,22224,1,,CHEMBL621607,,BAO_0000218
7602,0,,,U,Autocuration,,,,22224,1,,CHEMBL621608,,BAO_0000218
7603,0,,,U,Autocuration,,,,22224,1,,CHEMBL621609,,BAO_0000019
7604,0,,,U,Autocuration,,,,22224,1,,CHEMBL621610,,BAO_0000218
7605,1,,,N,Intermediate,,,,50597,1,,CHEMBL621611,,BAO_0000218
7606,1,,,N,Intermediate,,,,50597,1,,CHEMBL621612,,BAO_0000218
7607,1,,,N,Intermediate,,,,50597,1,,CHEMBL622308,,BAO_0000218
7608,1,,,N,Intermediate,,,,50597,1,,CHEMBL622309,,BAO_0000218
7609,1,,,N,Intermediate,,,,50597,1,,CHEMBL622310,,BAO_0000218
7610,1,,,N,Intermediate,,,,50597,1,,CHEMBL622311,,BAO_0000218
7611,1,,,N,Intermediate,,,,50597,1,,CHEMBL622312,,BAO_0000218
7612,1,,,N,Intermediate,,,,50597,1,,CHEMBL622931,,BAO_0000218
7613,1,,,N,Intermediate,,,,50597,1,,CHEMBL622932,,BAO_0000218
7614,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL622736,,BAO_0000218
7615,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL622737,,BAO_0000218
7616,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL622738,,BAO_0000218
7617,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL622739,,BAO_0000218
7618,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL622740,,BAO_0000218
7619,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL622741,,BAO_0000218
7620,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL622742,,BAO_0000218
7621,1,,1969.0,N,Intermediate,Plasma,,,50597,1,,CHEMBL622743,,BAO_0000218
7622,1,,1969.0,N,Intermediate,Plasma,,,50594,1,,CHEMBL622744,,BAO_0000218
7623,0,,,U,Autocuration,,,,22224,1,,CHEMBL624134,,BAO_0000019
7624,0,,,U,Autocuration,,,,22224,1,,CHEMBL624135,,BAO_0000019
7625,1,,,N,Intermediate,,,,50597,1,,CHEMBL624136,,BAO_0000218
7626,1,,,N,Intermediate,,,,50597,1,,CHEMBL624137,,BAO_0000218
7627,1,,,N,Intermediate,,,,50597,1,,CHEMBL624320,,BAO_0000218
7628,1,,,N,Intermediate,,,,50588,1,,CHEMBL624321,,BAO_0000218
7629,1,,,N,Intermediate,,,,50597,1,,CHEMBL624322,,BAO_0000218
7630,1,,,N,Intermediate,,,,50597,1,,CHEMBL624323,,BAO_0000218
7631,1,,,N,Intermediate,,,,50597,1,,CHEMBL624324,,BAO_0000218
7632,1,,,N,Intermediate,,,,50597,1,,CHEMBL624325,,BAO_0000218
7633,1,,,N,Intermediate,,,,50597,1,,CHEMBL624326,,BAO_0000218
7634,1,,,N,Intermediate,,,,50597,1,,CHEMBL624327,,BAO_0000218
7635,1,,,N,Intermediate,,,,50597,1,,CHEMBL624328,,BAO_0000218
7636,1,,,N,Intermediate,,,,50588,1,,CHEMBL627848,,BAO_0000218
7637,1,,,N,Intermediate,,,,50597,1,,CHEMBL627849,,BAO_0000218
7638,1,,,N,Intermediate,,,,50597,1,,CHEMBL627850,,BAO_0000218
7639,1,,,N,Intermediate,,,,50597,1,,CHEMBL627851,,BAO_0000218
7640,1,,,N,Intermediate,,,,50594,1,,CHEMBL627852,,BAO_0000218
7641,1,,,N,Intermediate,,,,50594,1,,CHEMBL627853,,BAO_0000218
7642,1,,,N,Intermediate,,,,50594,1,,CHEMBL627854,,BAO_0000218
7643,1,,,N,Intermediate,,,,50594,1,,CHEMBL627855,,BAO_0000218
7644,1,,,N,Intermediate,,,,50594,1,,CHEMBL627856,,BAO_0000218
7645,1,,,N,Intermediate,,,,50594,1,,CHEMBL875339,,BAO_0000218
7646,1,,,N,Intermediate,,,,50594,1,,CHEMBL627857,,BAO_0000218
7647,1,,2106.0,N,Intermediate,Spleen,,,50597,1,,CHEMBL627858,,BAO_0000218
7648,1,,178.0,N,Intermediate,Blood,,,50597,1,,CHEMBL627859,,BAO_0000218
7649,1,,955.0,N,Intermediate,Brain,,,50597,1,,CHEMBL627860,,BAO_0000218
7650,1,,948.0,N,Intermediate,Heart,,,50597,1,,CHEMBL627019,,BAO_0000218
7651,1,,2107.0,N,Intermediate,Liver,,,50597,1,,CHEMBL627020,,BAO_0000218
7652,1,,2048.0,N,Intermediate,Lung,,,50597,1,,CHEMBL627021,,BAO_0000218
7653,1,,2385.0,N,Intermediate,Muscle tissue,,,50597,1,,CHEMBL627022,,BAO_0000218
7654,1,,,N,Intermediate,,,,50597,1,,CHEMBL627023,,BAO_0000218
7655,1,,2106.0,N,Intermediate,Spleen,,,50597,1,,CHEMBL627024,,BAO_0000218
7656,1,,2046.0,N,Intermediate,Thyroid gland,,,50597,1,,CHEMBL627025,,BAO_0000218
7657,1,,2113.0,N,Intermediate,Kidney,,,50597,1,,CHEMBL627026,,BAO_0000218
7658,1,,178.0,N,Intermediate,Blood,,,50597,1,,CHEMBL627027,,BAO_0000218
7659,1,,955.0,N,Intermediate,Brain,,,50597,1,,CHEMBL627028,,BAO_0000218
7660,1,,948.0,N,Intermediate,Heart,,,50597,1,,CHEMBL627029,,BAO_0000218
7661,1,,2113.0,N,Intermediate,Kidney,,,50597,1,,CHEMBL627030,,BAO_0000218
7662,1,,2107.0,N,Intermediate,Liver,,,50597,1,,CHEMBL627031,,BAO_0000218
7663,1,,2048.0,N,Intermediate,Lung,,,50597,1,,CHEMBL627032,,BAO_0000218
7664,1,,2385.0,N,Intermediate,Muscle tissue,,,50597,1,,CHEMBL627033,,BAO_0000218
7665,1,,,N,Intermediate,,,,50597,1,,CHEMBL627034,,BAO_0000218
7666,1,,2106.0,N,Intermediate,Spleen,,,50597,1,,CHEMBL627035,,BAO_0000218
7667,1,,2046.0,N,Intermediate,Thyroid gland,,,50597,1,,CHEMBL627036,,BAO_0000218
7668,1,,178.0,N,Intermediate,Blood,,,50597,1,,CHEMBL875340,,BAO_0000218
7669,1,,948.0,N,Intermediate,Heart,,,50597,1,,CHEMBL627037,,BAO_0000218
7670,1,,2113.0,N,Intermediate,Kidney,,,50597,1,,CHEMBL627038,,BAO_0000218
7671,1,,2107.0,N,Intermediate,Liver,,,50597,1,,CHEMBL627039,,BAO_0000218
