ASTY,SI,SRASSI,CEI,RELATTY,CUB,ASTIS,ASCETY,ASSCAT,Ti,Descri,ASSTETY,CHI,CONFSCO,BAFOR,ASI,DOI,ASSSUBCFR,ASSTI,TII,VAI,ASST,ASORGA
A,1,,,N,Intermediate,Kidney,,,50597,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,CHEMBL618647,1,BAO_0000218,7524,9866,,10116.0,2113.0,,,Rattus norvegicus
A,1,,,N,Intermediate,Kidney,,,50597,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,In vivo,CHEMBL618648,1,BAO_0000218,7525,9866,,10116.0,2113.0,,,Rattus norvegicus
A,1,,,N,Intermediate,Kidney,,,50597,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,CHEMBL618649,1,BAO_0000218,7526,9866,,10116.0,2113.0,,,Rattus norvegicus
A,1,,,N,Intermediate,Liver,,,50597,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,CHEMBL618650,1,BAO_0000218,7527,9866,,10116.0,2107.0,,,Rattus norvegicus
A,1,,,N,Intermediate,Liver,,,50597,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,In vivo,CHEMBL618651,1,BAO_0000218,7528,9866,,10116.0,2107.0,,,Rattus norvegicus
A,1,,,N,Intermediate,Liver,,,50597,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,CHEMBL876497,1,BAO_0000218,7529,9866,,10116.0,2107.0,,,Rattus norvegicus
A,1,,,N,Intermediate,Lung,,,50597,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,CHEMBL618652,1,BAO_0000218,7530,9866,,10116.0,2048.0,,,Rattus norvegicus
A,1,,,N,Intermediate,Lung,,,50597,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,In vivo,CHEMBL618653,1,BAO_0000218,7531,9866,,10116.0,2048.0,,,Rattus norvegicus
A,1,,,N,Intermediate,Lung,,,50597,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,CHEMBL618654,1,BAO_0000218,7532,9866,,10116.0,2048.0,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,CHEMBL618655,1,BAO_0000218,7533,6351,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Compound was tested for solubility in water,,CHEMBL618656,1,BAO_0000218,7534,1465,,10116.0,,,,Rattus norvegicus
P,1,,,U,Intermediate,,,,22229,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,CHEMBL618657,0,BAO_0000100,7535,5182,,,,,,
A,1,,,N,Intermediate,,,,50597,Solubility was determined,,CHEMBL618658,1,BAO_0000218,7536,17847,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,solubility in water (ug/mL) at 37 degree C.,,CHEMBL618659,1,BAO_0000218,7537,15339,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,CHEMBL618660,1,BAO_0000218,7538,5202,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,CHEMBL618661,1,BAO_0000218,7539,1088,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Half life in rats,,CHEMBL873807,1,BAO_0000218,7540,3169,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Half life in Dawley rat,,CHEMBL618662,1,BAO_0000218,7541,5353,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Half life period after 3 mg/kg iv administration,In vivo,CHEMBL618663,1,BAO_0000218,7542,2864,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Half life period after 3 mg/kg iv administration in rat,In vivo,CHEMBL618664,1,BAO_0000218,7543,2864,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Half life period after 3 mg/kg iv administration in the rat,In vivo,CHEMBL618665,1,BAO_0000218,7544,2864,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Half life period in female Sprague-Dawley rats,,CHEMBL876498,1,BAO_0000218,7545,6362,,10116.0,,,,Rattus norvegicus
A,1,,,N,Intermediate,,,,50597,Half life period in rat,,CHEMBL618666,1,BAO_0000218,7546,6249,,10116.0,,,,Rattus norvegicus
