assay_id,assay_organism,tid,assay_category,assay_tissue,src_id,assay_type,tissue_id,variant_id,cell_id,chembl_id,assay_tax_id,src_assay_id,doc_id,assay_strain,assay_cell_type,description,assay_test_type,assay_subcellular_fraction
1,,12052,,,1,B,,,,CHEMBL615117,,,11087,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,
2,,22226,,,1,F,,,,CHEMBL615118,,,684,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,
3,,22226,,,1,B,,,,CHEMBL615119,,,15453,,,,,
4,Bos taurus,104729,,,1,B,,,,CHEMBL615120,9913.0,,17841,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,
5,Homo sapiens,80001,,,1,F,,,163.0,CHEMBL615121,9606.0,,17430,,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,
6,Homo sapiens,80001,,,1,F,,,163.0,CHEMBL615122,9606.0,,17430,,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,
7,Mus musculus,80001,,,1,F,,,163.0,CHEMBL615123,10090.0,,13799,,143B,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,
8,Homo sapiens,80001,,,1,F,,,163.0,CHEMBL615124,9606.0,,17774,,143B,In vitro cell cytotoxicity was determined against 143B cell line,,
9,Homo sapiens,80001,,,1,F,,,163.0,CHEMBL615125,9606.0,,3801,,143B,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,
10,Homo sapiens,80001,,,1,F,,,163.0,CHEMBL615126,9606.0,,17430,,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,
11,Homo sapiens,80001,,,1,F,,,163.0,CHEMBL615127,9606.0,,17430,,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,
12,Homo sapiens,80001,,,1,F,,,163.0,CHEMBL615128,9606.0,,17774,,143B,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,
13,Staphylococcus aureus,50185,,,1,F,,,,CHEMBL857900,1280.0,,11324,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,
14,Staphylococcus aureus,50185,,,1,F,,,,CHEMBL615129,1280.0,,11324,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,
15,Staphylococcus aureus,50185,,,1,F,,,,CHEMBL615130,1280.0,,11324,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,
16,Staphylococcus aureus,50185,,,1,F,,,,CHEMBL615131,1280.0,,11324,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,
17,Rattus norvegicus,100122,,,1,A,,,,CHEMBL884521,10116.0,,11347,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,
