assays_ASI,assays_SRASSI,assays_Descri,assays_ASSCA,assays_BAFO,assays_CHEI,assays_DOI,assays_ASSTI,assays_CURB,assays_SRI,assays_CI,assays_ASSUBCEFR,assays_Ti,assays_RELATY,assays_CONFSCO,assays_TISI,assays_VARII
7524,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,BAO_0000218,CHEMBL618647,9866,10116.0,Intermediate,1,,,50597,N,1,2113.0,
7525,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,BAO_0000218,CHEMBL618648,9866,10116.0,Intermediate,1,,,50597,N,1,2113.0,
7526,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,BAO_0000218,CHEMBL618649,9866,10116.0,Intermediate,1,,,50597,N,1,2113.0,
7527,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,BAO_0000218,CHEMBL618650,9866,10116.0,Intermediate,1,,,50597,N,1,2107.0,
7528,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,BAO_0000218,CHEMBL618651,9866,10116.0,Intermediate,1,,,50597,N,1,2107.0,
7529,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,BAO_0000218,CHEMBL876497,9866,10116.0,Intermediate,1,,,50597,N,1,2107.0,
7530,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,BAO_0000218,CHEMBL618652,9866,10116.0,Intermediate,1,,,50597,N,1,2048.0,
7531,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,BAO_0000218,CHEMBL618653,9866,10116.0,Intermediate,1,,,50597,N,1,2048.0,
7532,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,BAO_0000218,CHEMBL618654,9866,10116.0,Intermediate,1,,,50597,N,1,2048.0,
7533,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,BAO_0000218,CHEMBL618655,6351,10116.0,Intermediate,1,,,50597,N,1,,
7534,,Compound was tested for solubility in water,,BAO_0000218,CHEMBL618656,1465,10116.0,Intermediate,1,,,50597,N,1,,
7535,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,BAO_0000100,CHEMBL618657,5182,,Intermediate,1,,,22229,U,0,,
7536,,Solubility was determined,,BAO_0000218,CHEMBL618658,17847,10116.0,Intermediate,1,,,50597,N,1,,
7537,,solubility in water (ug/mL) at 37 degree C.,,BAO_0000218,CHEMBL618659,15339,10116.0,Intermediate,1,,,50597,N,1,,
7538,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,BAO_0000218,CHEMBL618660,5202,10116.0,Intermediate,1,,,50597,N,1,,
7539,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,BAO_0000218,CHEMBL618661,1088,10116.0,Intermediate,1,,,50597,N,1,,
7540,,Half life in rats,,BAO_0000218,CHEMBL873807,3169,10116.0,Intermediate,1,,,50597,N,1,,
7541,,Half life in Dawley rat,,BAO_0000218,CHEMBL618662,5353,10116.0,Intermediate,1,,,50597,N,1,,
7542,,Half life period after 3 mg/kg iv administration,,BAO_0000218,CHEMBL618663,2864,10116.0,Intermediate,1,,,50597,N,1,,
7543,,Half life period after 3 mg/kg iv administration in rat,,BAO_0000218,CHEMBL618664,2864,10116.0,Intermediate,1,,,50597,N,1,,
7544,,Half life period after 3 mg/kg iv administration in the rat,,BAO_0000218,CHEMBL618665,2864,10116.0,Intermediate,1,,,50597,N,1,,
7545,,Half life period in female Sprague-Dawley rats,,BAO_0000218,CHEMBL876498,6362,10116.0,Intermediate,1,,,50597,N,1,,
7546,,Half life period in rat,,BAO_0000218,CHEMBL618666,6249,10116.0,Intermediate,1,,,50597,N,1,,
7547,,Half-life in rats was determined,,BAO_0000218,CHEMBL620440,3169,10116.0,Intermediate,1,,,50597,N,1,,
7548,,Half-life in rats with metabolic oxidation,,BAO_0000218,CHEMBL620441,3169,10116.0,Intermediate,1,,,50597,N,1,,
7549,,Half-life in rats,,BAO_0000218,CHEMBL620442,3169,10116.0,Intermediate,1,,,50597,N,1,,
7550,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,BAO_0000218,CHEMBL620443,17260,10116.0,Intermediate,1,,,50597,N,1,,
7551,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,BAO_0000218,CHEMBL620444,17260,10116.0,Intermediate,1,,,50597,N,1,,
7552,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,BAO_0000218,CHEMBL620445,17260,10116.0,Intermediate,1,,,50597,N,1,,
