ss_d,ss_sbclllr_frctn,cnfdnc_scr,dscrptn,ss_rgnsm,ss_strn,vrnt_d,ss_tss,tss_d,cll_d,src_d,ss_tx_d,ss_tp,chmbl_d,td,ss_ctgr,rltnshp_tp,crtd_b,src_ss_d,b_frmt
7524,,1,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,,Kidney,2113.0,,1,10116.0,A,CHEMBL618647,50597,,N,Intermediate,,BAO_0000218
7525,,1,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,,Kidney,2113.0,,1,10116.0,A,CHEMBL618648,50597,,N,Intermediate,,BAO_0000218
7526,,1,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,,Kidney,2113.0,,1,10116.0,A,CHEMBL618649,50597,,N,Intermediate,,BAO_0000218
7527,,1,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,,Liver,2107.0,,1,10116.0,A,CHEMBL618650,50597,,N,Intermediate,,BAO_0000218
7528,,1,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,,Liver,2107.0,,1,10116.0,A,CHEMBL618651,50597,,N,Intermediate,,BAO_0000218
7529,,1,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,,Liver,2107.0,,1,10116.0,A,CHEMBL876497,50597,,N,Intermediate,,BAO_0000218
7530,,1,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,,Lung,2048.0,,1,10116.0,A,CHEMBL618652,50597,,N,Intermediate,,BAO_0000218
7531,,1,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,,Lung,2048.0,,1,10116.0,A,CHEMBL618653,50597,,N,Intermediate,,BAO_0000218
7532,,1,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,,Lung,2048.0,,1,10116.0,A,CHEMBL618654,50597,,N,Intermediate,,BAO_0000218
7533,,1,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Rattus norvegicus,,,,,,1,10116.0,A,CHEMBL618655,50597,,N,Intermediate,,BAO_0000218
7534,,1,Compound was tested for solubility in water,Rattus norvegicus,,,,,,1,10116.0,A,CHEMBL618656,50597,,N,Intermediate,,BAO_0000218
7535,,0,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,,,,,,1,,P,CHEMBL618657,22229,,U,Intermediate,,BAO_0000100
7536,,1,Solubility was determined,Rattus norvegicus,,,,,,1,10116.0,A,CHEMBL618658,50597,,N,Intermediate,,BAO_0000218
7537,,1,solubility in water (ug/mL) at 37 degree C.,Rattus norvegicus,,,,,,1,10116.0,A,CHEMBL618659,50597,,N,Intermediate,,BAO_0000218
7538,,1,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Rattus norvegicus,,,,,,1,10116.0,A,CHEMBL618660,50597,,N,Intermediate,,BAO_0000218
