CURB,ASCTY,AST,DI,ASSTT,ASSCAT,SRI,VAI,ASSSUBCEFRAC,RELATY,CI,ASSI,BAFO,ASSST,CONSCO,SRASSI,ASSTAI,TII,Ti,Des,ASSORG,CHEI,ASTI
Intermediate,,A,9866,In vivo,,1,,,N,,7524,BAO_0000218,,1,,10116.0,2113.0,50597,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,CHEMBL618647,Kidney
Intermediate,,A,9866,In vivo,,1,,,N,,7525,BAO_0000218,,1,,10116.0,2113.0,50597,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,CHEMBL618648,Kidney
Intermediate,,A,9866,In vivo,,1,,,N,,7526,BAO_0000218,,1,,10116.0,2113.0,50597,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,CHEMBL618649,Kidney
Intermediate,,A,9866,In vivo,,1,,,N,,7527,BAO_0000218,,1,,10116.0,2107.0,50597,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,CHEMBL618650,Liver
Intermediate,,A,9866,In vivo,,1,,,N,,7528,BAO_0000218,,1,,10116.0,2107.0,50597,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,CHEMBL618651,Liver
Intermediate,,A,9866,In vivo,,1,,,N,,7529,BAO_0000218,,1,,10116.0,2107.0,50597,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,CHEMBL876497,Liver
Intermediate,,A,9866,In vivo,,1,,,N,,7530,BAO_0000218,,1,,10116.0,2048.0,50597,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,CHEMBL618652,Lung
Intermediate,,A,9866,In vivo,,1,,,N,,7531,BAO_0000218,,1,,10116.0,2048.0,50597,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,CHEMBL618653,Lung
Intermediate,,A,9866,In vivo,,1,,,N,,7532,BAO_0000218,,1,,10116.0,2048.0,50597,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,CHEMBL618654,Lung
Intermediate,,A,6351,,,1,,,N,,7533,BAO_0000218,,1,,10116.0,,50597,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Rattus norvegicus,CHEMBL618655,
Intermediate,,A,1465,,,1,,,N,,7534,BAO_0000218,,1,,10116.0,,50597,Compound was tested for solubility in water,Rattus norvegicus,CHEMBL618656,
Intermediate,,P,5182,,,1,,,U,,7535,BAO_0000100,,0,,,,22229,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,CHEMBL618657,
Intermediate,,A,17847,,,1,,,N,,7536,BAO_0000218,,1,,10116.0,,50597,Solubility was determined,Rattus norvegicus,CHEMBL618658,
Intermediate,,A,15339,,,1,,,N,,7537,BAO_0000218,,1,,10116.0,,50597,solubility in water (ug/mL) at 37 degree C.,Rattus norvegicus,CHEMBL618659,
Intermediate,,A,5202,,,1,,,N,,7538,BAO_0000218,,1,,10116.0,,50597,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Rattus norvegicus,CHEMBL618660,
Intermediate,,A,1088,,,1,,,N,,7539,BAO_0000218,,1,,10116.0,,50597,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,Rattus norvegicus,CHEMBL618661,
Intermediate,,A,3169,,,1,,,N,,7540,BAO_0000218,,1,,10116.0,,50597,Half life in rats,Rattus norvegicus,CHEMBL873807,
Intermediate,,A,5353,,,1,,,N,,7541,BAO_0000218,,1,,10116.0,,50597,Half life in Dawley rat,Rattus norvegicus,CHEMBL618662,
Intermediate,,A,2864,In vivo,,1,,,N,,7542,BAO_0000218,,1,,10116.0,,50597,Half life period after 3 mg/kg iv administration,Rattus norvegicus,CHEMBL618663,
Intermediate,,A,2864,In vivo,,1,,,N,,7543,BAO_0000218,,1,,10116.0,,50597,Half life period after 3 mg/kg iv administration in rat,Rattus norvegicus,CHEMBL618664,
Intermediate,,A,2864,In vivo,,1,,,N,,7544,BAO_0000218,,1,,10116.0,,50597,Half life period after 3 mg/kg iv administration in the rat,Rattus norvegicus,CHEMBL618665,
Intermediate,,A,6362,,,1,,,N,,7545,BAO_0000218,,1,,10116.0,,50597,Half life period in female Sprague-Dawley rats,Rattus norvegicus,CHEMBL876498,
Intermediate,,A,6249,,,1,,,N,,7546,BAO_0000218,,1,,10116.0,,50597,Half life period in rat,Rattus norvegicus,CHEMBL618666,
Intermediate,,A,3169,,,1,,,N,,7547,BAO_0000218,,1,,10116.0,,50597,Half-life in rats was determined,Rattus norvegicus,CHEMBL620440,
Intermediate,,A,3169,,,1,,,N,,7548,BAO_0000218,,1,,10116.0,,50597,Half-life in rats with metabolic oxidation,Rattus norvegicus,CHEMBL620441,
Intermediate,,A,3169,,,1,,,N,,7549,BAO_0000218,,1,,10116.0,,50597,Half-life in rats,Rattus norvegicus,CHEMBL620442,
Intermediate,,A,17260,In vivo,,1,,,N,,7550,BAO_0000218,,1,,10116.0,,50597,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Rattus norvegicus,CHEMBL620443,
Intermediate,,A,17260,In vivo,,1,,,N,,7551,BAO_0000218,,1,,10116.0,,50597,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Rattus norvegicus,CHEMBL620444,
Intermediate,,A,17260,In vivo,,1,,,N,,7552,BAO_0000218,,1,,10116.0,,50597,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Rattus norvegicus,CHEMBL620445,
Intermediate,,A,17260,In vivo,,1,,,N,,7553,BAO_0000218,,1,,10116.0,,50597,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Rattus norvegicus,CHEMBL620446,
Intermediate,,A,2879,,,1,,,N,,7554,BAO_0000218,,1,,10116.0,1969.0,50597,Biological half-life measured in plasma of rat,Rattus norvegicus,CHEMBL620447,Plasma
Intermediate,,A,2879,,,1,,,N,,7555,BAO_0000218,,1,,10116.0,1969.0,50597,Biological half-life measured in plasma of rat; 22-25,Rattus norvegicus,CHEMBL621129,Plasma
Intermediate,,A,2879,,,1,,,N,,7556,BAO_0000218,,1,,10116.0,1969.0,50597,Biological half-life measured in plasma of rat; 9-16,Rattus norvegicus,CHEMBL621130,Plasma
