ss_d,chmbl_d,crtd_b,ss_tss,tss_d,ss_sbclllr_frctn,dc_d,cll_d,b_frmt,vrnt_d,ss_cll_tp,ss_strn,td,rltnshp_tp,cnfdnc_scr,src_d,src_ss_d
1,CHEMBL615117,Autocuration,,,,11087,,BAO_0000019,,,,12052,H,8,1,
2,CHEMBL615118,Autocuration,,,,684,,BAO_0000219,,,,22226,U,0,1,
3,CHEMBL615119,Autocuration,,,,15453,,BAO_0000019,,,,22226,U,0,1,
4,CHEMBL615120,Autocuration,,,,17841,,BAO_0000249,,,,104729,H,4,1,
5,CHEMBL615121,Intermediate,,,,17430,163.0,BAO_0000219,,143B,,80001,N,1,1,
6,CHEMBL615122,Intermediate,,,,17430,163.0,BAO_0000219,,143B,,80001,N,1,1,
7,CHEMBL615123,Intermediate,,,,13799,163.0,BAO_0000219,,143B,,80001,N,1,1,
8,CHEMBL615124,Expert,,,,17774,163.0,BAO_0000219,,143B,,80001,N,1,1,
9,CHEMBL615125,Intermediate,,,,3801,163.0,BAO_0000219,,143B,,80001,N,1,1,
10,CHEMBL615126,Intermediate,,,,17430,163.0,BAO_0000219,,143B,,80001,N,1,1,
11,CHEMBL615127,Intermediate,,,,17430,163.0,BAO_0000219,,143B,,80001,N,1,1,
12,CHEMBL615128,Expert,,,,17774,163.0,BAO_0000219,,143B,,80001,N,1,1,
13,CHEMBL857900,Intermediate,,,,11324,,BAO_0000218,,,,50185,N,1,1,
14,CHEMBL615129,Intermediate,,,,11324,,BAO_0000218,,,,50185,N,1,1,
15,CHEMBL615130,Intermediate,,,,11324,,BAO_0000218,,,,50185,N,1,1,
16,CHEMBL615131,Intermediate,,,,11324,,BAO_0000218,,,,50185,N,1,1,
17,CHEMBL884521,Expert,,,,11347,,BAO_0000357,,,,100122,D,9,1,
18,CHEMBL615132,Autocuration,,,,16474,,BAO_0000357,,,,12054,H,8,1,
19,CHEMBL615133,Autocuration,,,,10091,,BAO_0000019,,,,12054,H,8,1,
20,CHEMBL615134,Autocuration,,,,16474,,BAO_0000357,,,,12054,H,8,1,
21,CHEMBL615135,Autocuration,,,,16474,,BAO_0000357,,,,12054,H,8,1,
22,CHEMBL615136,Autocuration,,,,16474,,BAO_0000357,,,,12054,H,8,1,
23,CHEMBL615137,Autocuration,,,,16474,,BAO_0000357,,,,12054,H,8,1,
24,CHEMBL615138,Autocuration,,,,16474,,BAO_0000357,,,,12054,H,8,1,
25,CHEMBL836324,Autocuration,,,,14352,,BAO_0000219,,,,22226,U,0,1,
26,CHEMBL615139,Autocuration,,,,5646,,BAO_0000357,,,,12054,H,8,1,
27,CHEMBL615140,Autocuration,,,,5646,,BAO_0000357,,,,12054,H,8,1,
28,CHEMBL615141,Autocuration,,,,10997,,BAO_0000219,,,,12426,H,8,1,
29,CHEMBL615142,Autocuration,,,,6309,,BAO_0000357,,,,12054,H,8,1,
30,CHEMBL615143,Autocuration,,,,167,,BAO_0000357,,,,12054,H,8,1,
31,CHEMBL615144,Autocuration,,,,167,,BAO_0000357,,,,12054,H,8,1,
32,CHEMBL872867,Autocuration,,,,11087,,BAO_0000357,,,,12054,H,8,1,
33,CHEMBL615145,Autocuration,,,,11087,,BAO_0000357,,,,12054,H,8,1,
34,CHEMBL615146,Autocuration,,,,13622,,BAO_0000357,,,,12054,H,8,1,
