attore_id,film_id,titolo,descrizione,data_rilascio,lingua_id,lingua_originale_id,durata_noleggio,tariffa_noleggio,durata,costo_sostituzione,voto,lingua,nome,cognome
176,320,FLAMINGOS CONNECTICUT,A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert,2006,1,,4,4.99,80,28.99,PG-13,English,JON,CHASE
176,839,STALLION SUNDANCE,A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia,2006,1,,5,0.99,130,23.99,PG-13,English,JON,CHASE
176,73,BINGO TALENTED,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,2006,1,,5,2.99,150,22.99,PG-13,English,JON,CHASE
176,252,DREAM PICKUP,A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico,2006,1,,6,2.99,135,18.99,PG,English,JON,CHASE
42,320,FLAMINGOS CONNECTICUT,A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert,2006,1,,4,4.99,80,28.99,PG-13,English,TOM,MIRANDA
42,867,SUPER WYOMING,A Action-Packed Saga of a Pastry Chef And a Explorer who must Discover a A Shark in The Outback,2006,1,,5,4.99,58,10.99,PG,English,TOM,MIRANDA
42,24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,1,,6,2.99,181,19.99,R,English,TOM,MIRANDA
42,876,TARZAN VIDEOTAPE,A Fast-Paced Display of a Lumberjack And a Mad Scientist who must Succumb a Sumo Wrestler in The Sahara Desert,2006,1,,3,2.99,91,11.99,PG-13,English,TOM,MIRANDA
42,865,SUNRISE LEAGUE,A Beautiful Epistle of a Madman And a Butler who must Face a Crocodile in A Manhattan Penthouse,2006,1,,3,4.99,135,19.99,PG-13,English,TOM,MIRANDA
42,665,PATTON INTERVIEW,A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin,2006,1,,4,2.99,175,22.99,PG,English,TOM,MIRANDA
42,932,VALLEY PACKER,A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin,2006,1,,3,0.99,73,21.99,G,English,TOM,MIRANDA
42,527,LOLA AGENT,A Astounding Tale of a Mad Scientist And a Husband who must Redeem a Database Administrator in Ancient Japan,2006,1,,4,4.99,85,24.99,PG,English,TOM,MIRANDA
42,713,RAINBOW SHOCK,A Action-Packed Story of a Hunter And a Boy who must Discover a Lumberjack in Ancient India,2006,1,,3,4.99,74,14.99,PG,English,TOM,MIRANDA
42,922,UNDEFEATED DALMATIONS,A Unbelieveable Display of a Crocodile And a Feminist who must Overcome a Moose in An Abandoned Amusement Park,2006,1,,7,4.99,107,22.99,PG-13,English,TOM,MIRANDA
42,738,ROCKETEER MOTHER,A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank,2006,1,,3,0.99,178,27.99,PG-13,English,TOM,MIRANDA
