assays_ASSI,assays_CI,assays_CURAB,assays_TII,assays_ASSSUBCEFRAC,assays_ASSTY,assays_SASSI,assays_ASSTI,assays_ASORG,assays_VARI,assays_CONFSCO,assays_DOI,assays_SRI,assays_BFO,assays_CHI,assays_ASST,assays_ASTI,assays_ASCET,assays_T,assays_RELATITY
7524,,Intermediate,2113.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL618647,,Kidney,,50597,N
7525,,Intermediate,2113.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL618648,,Kidney,,50597,N
7526,,Intermediate,2113.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL618649,,Kidney,,50597,N
7527,,Intermediate,2107.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL618650,,Liver,,50597,N
7528,,Intermediate,2107.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL618651,,Liver,,50597,N
7529,,Intermediate,2107.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL876497,,Liver,,50597,N
7530,,Intermediate,2048.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL618652,,Lung,,50597,N
7531,,Intermediate,2048.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL618653,,Lung,,50597,N
7532,,Intermediate,2048.0,,A,,10116.0,Rattus norvegicus,,1,9866,1,BAO_0000218,CHEMBL618654,,Lung,,50597,N
7533,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,6351,1,BAO_0000218,CHEMBL618655,,,,50597,N
7534,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,1465,1,BAO_0000218,CHEMBL618656,,,,50597,N
7535,,Intermediate,,,P,,,,,0,5182,1,BAO_0000100,CHEMBL618657,,,,22229,U
7536,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,17847,1,BAO_0000218,CHEMBL618658,,,,50597,N
7537,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,15339,1,BAO_0000218,CHEMBL618659,,,,50597,N
7538,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,5202,1,BAO_0000218,CHEMBL618660,,,,50597,N
7539,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,1088,1,BAO_0000218,CHEMBL618661,,,,50597,N
7540,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,3169,1,BAO_0000218,CHEMBL873807,,,,50597,N
7541,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,5353,1,BAO_0000218,CHEMBL618662,,,,50597,N
7542,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,2864,1,BAO_0000218,CHEMBL618663,,,,50597,N
7543,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,2864,1,BAO_0000218,CHEMBL618664,,,,50597,N
7544,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,2864,1,BAO_0000218,CHEMBL618665,,,,50597,N
7545,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,6362,1,BAO_0000218,CHEMBL876498,,,,50597,N
7546,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,6249,1,BAO_0000218,CHEMBL618666,,,,50597,N
7547,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,3169,1,BAO_0000218,CHEMBL620440,,,,50597,N
7548,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,3169,1,BAO_0000218,CHEMBL620441,,,,50597,N
7549,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,3169,1,BAO_0000218,CHEMBL620442,,,,50597,N
7550,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,17260,1,BAO_0000218,CHEMBL620443,,,,50597,N
7551,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,17260,1,BAO_0000218,CHEMBL620444,,,,50597,N
7552,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,17260,1,BAO_0000218,CHEMBL620445,,,,50597,N
7553,,Intermediate,,,A,,10116.0,Rattus norvegicus,,1,17260,1,BAO_0000218,CHEMBL620446,,,,50597,N
