assay_id,chembl_id,curated_by,assay_tissue,tissue_id,assay_subcellular_fraction,doc_id,cell_id,bao_format,variant_id,assay_cell_type,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id
1,CH3hBL615117,zuhocuration,,,,11087,,Bx90000019,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,
2,CgEMBL616118,wutosuration,,,,684,,BAO000p218,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,
3,CHfMBL615w19,Autoduratiob,,,,15453,,vAO00000w9,,,,B,,,,
4,CgdMBL615120,Auhochration,,,,17841,,BwO0000149,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,Bos taurus,9913.0
5,CHdMBLu15121,Internedizte,,,,17430,397.0,BAO0o00e19,,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606.0
6,CHEMBi61t122,Ijtermediat2,,,,17430,241.0,BAOp000w19,,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606.0
7,CHwMBL61t123,8ntermewiate,,,,13799,203.0,BA900002w9,,143B,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,Mus musculus,10090.0
8,vHEMBL6q5124,Expe4t,,,,17774,17.0,nAO000021i,,143B,In vitro cell cytotoxicity was determined against 143B cell line,F,,,Homo sapiens,9606.0
9,CHEkBLu15125,9nt3rmediate,,,,3801,360.0,BAO0p90219,,143B,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,Homo sapiens,9606.0
10,CHEMBL6wy126,Int2rmedixte,,,,17430,296.0,BzOo000219,,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606.0
11,CHEMBLt151q7,Integnediate,,,,17430,232.0,BAO00p0w19,,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606.0
12,CHEMBp515128,Exprrt,,,,17774,80.0,BAO000p218,,143B,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,Homo sapiens,9606.0
13,CHEMBL8t7800,Interjediare,,,,11324,,BwO0090218,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0
14,CHEMBL61t119,Intermesixte,,,,11324,,nAO00002q8,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0
15,CH2MBL615140,Intwrmediatr,,,,11324,,BAO90002q8,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0
16,xHEMBL515131,Intermsdlate,,,,11324,,BAO0090q18,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0
17,CH4MBL884621,Ex0ert,,,,11347,,vsO0000357,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,Rattus norvegicus,10116.0
18,vHwMBL615132,qutosuration,,,,16474,,BAO0099357,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
19,CHEnBL615123,Au4ocu5ation,,,,10091,,BAOp000919,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,
20,CHEMnL6w5134,zutocuratioh,,,,16474,,BAO000p367,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
21,vHEMBLu15135,Auyicuration,,,,16474,,BxO000o357,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
22,dHEMBL61t136,wutocurahion,,,,16474,,BxO0p00357,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
23,vHsMBL615137,xuhocuration,,,,16474,,BAO9000257,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,
24,CHEMBL61r1r8,Autocudwtion,,,,16474,,BAp000035i,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,
25,CnEMBL83632t,Autocu4atuon,,,,14352,,fAi0000219,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,
26,CgEMfL615139,Autoc65ation,,,,5646,,hAO00p0357,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,Oryctolagus cuniculus,9986.0
27,CgEMBL715140,Autoc7gation,,,,5646,,vAO0900357,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,Oryctolagus cuniculus,9986.0
28,CHEkBk615141,Autosugation,,,,10997,,BAOp0002q9,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,
29,CHEjBp615142,Auyocura6ion,,,,6309,,gAO00003t7,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,soya bean,3847.0
30,CHdMnL615143,Augocugation,,,,167,,BAO900035i,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,Glycine max,3847.0
