rental_rate,film_id,length,original_language_id,rating,language,description,replacement_cost,title,release_year,rental_duration
0.99,1,86,,PG,English,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,20.99,ACADEMY DINOSAUR,2006,6
4.99,2,48,,G,English,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,12.99,ACE GOLDFINGER,2006,3
2.99,3,50,,NC-17,English,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,18.99,ADAPTATION HOLES,2006,7
2.99,4,117,,G,English,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,26.99,AFFAIR PREJUDICE,2006,5
2.99,5,130,,G,English,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,22.99,AFRICAN EGG,2006,6
2.99,6,169,,PG,English,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,17.99,AGENT TRUMAN,2006,3
4.99,7,62,,PG-13,English,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,28.99,AIRPLANE SIERRA,2006,6
4.99,8,54,,R,English,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,15.99,AIRPORT POLLOCK,2006,6
2.99,9,114,,PG-13,English,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,21.99,ALABAMA DEVIL,2006,3
4.99,10,63,,NC-17,English,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,24.99,ALADDIN CALENDAR,2006,6
0.99,11,126,,G,English,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,16.99,ALAMO VIDEOTAPE,2006,6
0.99,12,136,,PG,English,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,22.99,ALASKA PHANTOM,2006,6
4.99,13,150,,PG,English,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,21.99,ALI FOREVER,2006,4
0.99,14,94,,NC-17,English,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,23.99,ALICE FANTASIA,2006,6
2.99,15,46,,NC-17,English,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,10.99,ALIEN CENTER,2006,5
2.99,16,180,,NC-17,English,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,23.99,ALLEY EVOLUTION,2006,6
0.99,17,82,,R,English,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,14.99,ALONE TRIP,2006,3
