first_name,actor_id,last_name
PENELOPE,1,GUINESS
NICK,2,WAHLBERG
ED,3,CHASE
JENNIFER,4,DAVIS
JOHNNY,5,LOLLOBRIGIDA
BETTE,6,NICHOLSON
GRACE,7,MOSTEL
MATTHEW,8,JOHANSSON
JOE,9,SWANK
CHRISTIAN,10,GABLE
ZERO,11,CAGE
KARL,12,BERRY
UMA,13,WOOD
VIVIEN,14,BERGEN
CUBA,15,OLIVIER
FRED,16,COSTNER
HELEN,17,VOIGHT
DAN,18,TORN
BOB,19,FAWCETT
LUCILLE,20,TRACY
KIRSTEN,21,PALTROW
ELVIS,22,MARX
SANDRA,23,KILMER
CAMERON,24,STREEP
KEVIN,25,BLOOM
RIP,26,CRAWFORD
JULIA,27,MCQUEEN
WOODY,28,HOFFMAN
ALEC,29,WAYNE
SANDRA,30,PECK
SISSY,31,SOBIESKI
TIM,32,HACKMAN
MILLA,33,PECK
AUDREY,34,OLIVIER
JUDY,35,DEAN
BURT,36,DUKAKIS
VAL,37,BOLGER
TOM,38,MCKELLEN
GOLDIE,39,BRODY
JOHNNY,40,CAGE
JODIE,41,DEGENERES
TOM,42,MIRANDA
KIRK,43,JOVOVICH
NICK,44,STALLONE
REESE,45,KILMER
PARKER,46,GOLDBERG
JULIA,47,BARRYMORE
FRANCES,48,DAY-LEWIS
ANNE,49,CRONYN
NATALIE,50,HOPKINS
GARY,51,PHOENIX
CARMEN,52,HUNT
MENA,53,TEMPLE
PENELOPE,54,PINKETT
FAY,55,KILMER
DAN,56,HARRIS
JUDE,57,CRUISE
CHRISTIAN,58,AKROYD
DUSTIN,59,TAUTOU
HENRY,60,BERRY
CHRISTIAN,61,NEESON
JAYNE,62,NEESON
CAMERON,63,WRAY
RAY,64,JOHANSSON
ANGELA,65,HUDSON
MARY,66,TANDY
JESSICA,67,BAILEY
RIP,68,WINSLET
KENNETH,69,PALTROW
MICHELLE,70,MCCONAUGHEY
ADAM,71,GRANT
SEAN,72,WILLIAMS
GARY,73,PENN
MILLA,74,KEITEL
BURT,75,POSEY
ANGELINA,76,ASTAIRE
CARY,77,MCCONAUGHEY
GROUCHO,78,SINATRA
MAE,79,HOFFMAN
RALPH,80,CRUZ
SCARLETT,81,DAMON
WOODY,82,JOLIE
BEN,83,WILLIS
JAMES,84,PITT
MINNIE,85,ZELLWEGER
GREG,86,CHAPLIN
SPENCER,87,PECK
KENNETH,88,PESCI
CHARLIZE,89,DENCH
SEAN,90,GUINESS
CHRISTOPHER,91,BERRY
KIRSTEN,92,AKROYD
ELLEN,93,PRESLEY
KENNETH,94,TORN
DARYL,95,WAHLBERG
GENE,96,WILLIS
MEG,97,HAWKE
CHRIS,98,BRIDGES
JIM,99,MOSTEL
SPENCER,100,DEPP
SUSAN,101,DAVIS
WALTER,102,TORN
MATTHEW,103,LEIGH
PENELOPE,104,CRONYN
SIDNEY,105,CROWE
GROUCHO,106,DUNST
GINA,107,DEGENERES
WARREN,108,NOLTE
SYLVESTER,109,DERN
SUSAN,110,DAVIS
CAMERON,111,ZELLWEGER
RUSSELL,112,BACALL
MORGAN,113,HOPKINS
MORGAN,114,MCDORMAND
HARRISON,115,BALE
DAN,116,STREEP
RENEE,117,TRACY
CUBA,118,ALLEN
WARREN,119,JACKMAN
PENELOPE,120,MONROE
LIZA,121,BERGMAN
SALMA,122,NOLTE
JULIANNE,123,DENCH
SCARLETT,124,BENING
ALBERT,125,NOLTE
FRANCES,126,TOMEI
KEVIN,127,GARLAND
CATE,128,MCQUEEN
DARYL,129,CRAWFORD
GRETA,130,KEITEL
JANE,131,JACKMAN
ADAM,132,HOPPER
RICHARD,133,PENN
GENE,134,HOPKINS
RITA,135,REYNOLDS
ED,136,MANSFIELD
MORGAN,137,WILLIAMS
LUCILLE,138,DEE
EWAN,139,GOODING
WHOOPI,140,HURT
CATE,141,HARRIS
JADA,142,RYDER
RIVER,143,DEAN
ANGELA,144,WITHERSPOON
KIM,145,ALLEN
ALBERT,146,JOHANSSON
FAY,147,WINSLET
EMILY,148,DEE
RUSSELL,149,TEMPLE
JAYNE,150,NOLTE
GEOFFREY,151,HESTON
BEN,152,HARRIS
MINNIE,153,KILMER
MERYL,154,GIBSON
IAN,155,TANDY
FAY,156,WOOD
GRETA,157,MALDEN
VIVIEN,158,BASINGER
LAURA,159,BRODY
CHRIS,160,DEPP
HARVEY,161,HOPE
OPRAH,162,KILMER
CHRISTOPHER,163,WEST
HUMPHREY,164,WILLIS
AL,165,GARLAND
NICK,166,DEGENERES
LAURENCE,167,BULLOCK
WILL,168,WILSON
KENNETH,169,HOFFMAN
MENA,170,HOPPER
OLYMPIA,171,PFEIFFER
GROUCHO,172,WILLIAMS
ALAN,173,DREYFUSS
MICHAEL,174,BENING
WILLIAM,175,HACKMAN
JON,176,CHASE
GENE,177,MCKELLEN
LISA,178,MONROE
ED,179,GUINESS
JEFF,180,SILVERSTONE
MATTHEW,181,CARREY
DEBBIE,182,AKROYD
RUSSELL,183,CLOSE
HUMPHREY,184,GARLAND
MICHAEL,185,BOLGER
JULIA,186,ZELLWEGER
RENEE,187,BALL
ROCK,188,DUKAKIS
CUBA,189,BIRCH
AUDREY,190,BAILEY
GREGORY,191,GOODING
JOHN,192,SUVARI
BURT,193,TEMPLE
MERYL,194,ALLEN
JAYNE,195,SILVERSTONE
BELA,196,WALKEN
REESE,197,WEST
MARY,198,KEITEL
JULIA,199,FAWCETT
THORA,200,TEMPLE
