voto,costo_sostituzione,titolo,tariffa_noleggio,durata,descrizione,lingua_originale_id,durata_noleggio,film_id,lingua_id,data_rilascio
NC-17,10.99,ALIEN CENTER,2.99,46,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,,5,15,1,2006
R,29.99,LOATHING LEGALLY,0.99,140,A Boring Epistle of a Pioneer And a Mad Scientist who must Escape a Frisbee in The Gulf of Mexico,,4,525,1,2006
PG-13,10.99,EVOLUTION ALTER,0.99,174,A Fanciful Character Study of a Feminist And a Madman who must Find a Explorer in A Baloon Factory,,5,291,1,2006
G,29.99,EXTRAORDINARY CONQUERER,2.99,122,A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin,,6,297,1,2006
NC-17,28.99,ROMAN PUNK,0.99,81,A Thoughtful Panorama of a Mad Cow And a Student who must Battle a Forensic Psychologist in Berlin,,7,741,1,2006
PG,14.99,LADY STAGE,4.99,67,A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat,,4,506,1,2006
NC-17,26.99,BIKINI BORROWERS,4.99,142,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,,7,70,1,2006
PG,10.99,KENTUCKIAN GIANT,2.99,169,A Stunning Yarn of a Woman And a Frisbee who must Escape a Waitress in A U-Boat,,5,495,1,2006
PG,23.99,HELLFIGHTERS SIERRA,2.99,75,A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia,,3,414,1,2006
NC-17,24.99,ALADDIN CALENDAR,4.99,63,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,,6,10,1,2006
PG-13,13.99,SPY MILE,2.99,112,A Thrilling Documentary of a Feminist And a Feminist who must Confront a Feminist in A Baloon,,6,835,1,2006
NC-17,16.99,APACHE DIVINE,4.99,92,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,,5,31,1,2006
PG-13,16.99,MILLION ACE,4.99,142,A Brilliant Documentary of a Womanizer And a Squirrel who must Find a Technical Writer in The Sahara Desert,,4,578,1,2006
NC-17,9.99,JASON TRAP,2.99,130,A Thoughtful Tale of a Woman And a A Shark who must Conquer a Dog in A Monastery,,5,476,1,2006
PG-13,28.99,RIDGEMONT SUBMARINE,0.99,46,A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan,,3,730,1,2006
NC-17,13.99,GROOVE FICTION,0.99,111,A Unbelieveable Reflection of a Moose And a A Shark who must Defeat a Lumberjack in An Abandoned Mine Shaft,,6,383,1,2006
PG-13,24.99,ARACHNOPHOBIA ROLLERCOASTER,2.99,147,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,,4,35,1,2006
R,12.99,UNFAITHFUL KILL,2.99,78,A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans,,7,923,1,2006
R,14.99,VELVET TERMINATOR,4.99,173,A Lacklusture Tale of a Pastry Chef And a Technical Writer who must Confront a Crocodile in An Abandoned Amusement Park,,3,938,1,2006
NC-17,21.99,VANISHING ROCKY,2.99,123,A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention,,3,936,1,2006
G,18.99,BREAKFAST GOLDFINGER,4.99,123,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,,5,95,1,2006
G,25.99,CONNECTION MICROCOSMOS,0.99,115,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,,6,178,1,2006
G,23.99,OPERATION OPERATION,2.99,156,A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China,,7,638,1,2006
R,21.99,BEVERLY OUTLAW,2.99,85,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,,3,69,1,2006
R,25.99,HORROR REIGN,0.99,139,A Touching Documentary of a A Shark And a Car who must Build a Husband in Nigeria,,3,434,1,2006
G,21.99,VALLEY PACKER,0.99,73,A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin,,3,932,1,2006
PG-13,28.99,HUNCHBACK IMPOSSIBLE,4.99,151,A Touching Yarn of a Frisbee And a Dentist who must Fight a Composer in Ancient Japan,,4,439,1,2006
R,10.99,HIGHBALL POTTER,0.99,110,A Action-Packed Saga of a Husband And a Dog who must Redeem a Database Administrator in The Sahara Desert,,6,416,1,2006
PG-13,23.99,ROSES TREASURE,4.99,162,A Astounding Panorama of a Monkey And a Secret Agent who must Defeat a Woman in The First Manned Space Station,,5,745,1,2006
G,25.99,NEWSIES STORY,0.99,159,A Action-Packed Character Study of a Dog And a Lumberjack who must Outrace a Moose in The Gulf of Mexico,,4,622,1,2006
PG,17.99,GABLES METROPOLIS,0.99,161,A Fateful Display of a Cat And a Pioneer who must Challenge a Pastry Chef in A Baloon Factory,,3,345,1,2006
PG-13,16.99,CASPER DRAGONFLY,4.99,163,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,,3,124,1,2006
NC-17,25.99,BANG KWAI,2.99,87,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,,5,53,1,2006
G,19.99,COLOR PHILADELPHIA,2.99,149,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,,6,166,1,2006
PG-13,23.99,STALLION SUNDANCE,0.99,130,A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia,,5,839,1,2006
NC-17,10.99,BALLOON HOMEWARD,2.99,75,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,,5,51,1,2006
R,16.99,FREAKY POCUS,2.99,126,A Fast-Paced Documentary of a Pastry Chef And a Crocodile who must Chase a Squirrel in The Gulf of Mexico,,7,333,1,2006
PG,11.99,MASSAGE IMAGE,2.99,161,A Fateful Drama of a Frisbee And a Crocodile who must Vanquish a Dog in The First Manned Space Station,,4,564,1,2006
NC-17,27.99,VOLCANO TEXAS,0.99,157,A Awe-Inspiring Yarn of a Hunter And a Feminist who must Challenge a Dentist in The Outback,,6,949,1,2006
R,23.99,AMELIE HELLFIGHTERS,4.99,79,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,,4,20,1,2006
PG-13,17.99,RUSHMORE MERMAID,2.99,150,A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank,,6,754,1,2006
PG,9.99,MAIDEN HOME,4.99,138,A Lacklusture Saga of a Moose And a Teacher who must Kill a Forensic Psychologist in A MySQL Convention,,3,551,1,2006
PG-13,11.99,CHICAGO NORTH,4.99,185,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,,6,141,1,2006
PG,23.99,SANTA PARIS,2.99,154,A Emotional Documentary of a Moose And a Car who must Redeem a Mad Cow in A Baloon Factory,,7,761,1,2006
R,14.99,OZ LIAISONS,2.99,85,A Epic Yarn of a Mad Scientist And a Cat who must Confront a Womanizer in A Baloon Factory,,4,649,1,2006
PG-13,18.99,MANNEQUIN WORST,2.99,71,A Astounding Saga of a Mad Cow And a Pastry Chef who must Discover a Husband in Ancient India,,3,558,1,2006
PG-13,25.99,MOONSHINE CABIN,4.99,171,A Thoughtful Display of a Astronaut And a Feminist who must Chase a Frisbee in A Jet Boat,,4,596,1,2006
R,24.99,TUXEDO MILE,2.99,152,A Boring Drama of a Man And a Forensic Psychologist who must Face a Frisbee in Ancient India,,3,917,1,2006
PG,11.99,RECORDS ZORRO,4.99,182,A Amazing Drama of a Mad Scientist And a Composer who must Build a Husband in The Outback,,7,719,1,2006
PG,27.99,DAWN POND,4.99,57,A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin,,4,215,1,2006
PG-13,21.99,HOMICIDE PEACH,2.99,141,A Astounding Documentary of a Hunter And a Boy who must Confront a Boy in A MySQL Convention,,6,428,1,2006
PG,20.99,EGG IGBY,2.99,67,A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station,,4,274,1,2006
PG-13,27.99,ROCKETEER MOTHER,0.99,178,A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank,,3,738,1,2006
PG-13,19.99,LOVERBOY ATTACKS,0.99,162,A Boring Story of a Car And a Butler who must Build a Girl in Soviet Georgia,,7,538,1,2006
NC-17,22.99,DECEIVER BETRAYED,0.99,122,A Taut Story of a Moose And a Squirrel who must Build a Husband in Ancient India,,7,218,1,2006
NC-17,21.99,INDEPENDENCE HOTEL,0.99,157,A Thrilling Tale of a Technical Writer And a Boy who must Face a Pioneer in A Monastery,,5,457,1,2006
R,21.99,LIGHTS DEER,0.99,174,A Unbelieveable Epistle of a Dog And a Woman who must Confront a Moose in The Gulf of Mexico,,7,523,1,2006
PG-13,25.99,CONFESSIONS MAGUIRE,4.99,65,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,,7,173,1,2006
R,21.99,TOMORROW HUSTLER,2.99,142,A Thoughtful Story of a Moose And a Husband who must Face a Secret Agent in The Sahara Desert,,3,895,1,2006
R,13.99,COMMANDMENTS EXPRESS,4.99,59,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,,6,171,1,2006
NC-17,17.99,DUMBO LUST,0.99,119,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,,5,262,1,2006
G,15.99,ATLANTIS CAUSE,2.99,170,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,,6,43,1,2006
R,13.99,PRIX UNDEFEATED,2.99,115,A Stunning Saga of a Mad Scientist And a Boat who must Overcome a Dentist in Ancient China,,4,700,1,2006
