cognome,nome,attore_id
ZELLWEGER,MINNIE,85
ASTAIRE,ANGELINA,76
MIRANDA,TOM,42
TRACY,RENEE,117
WEST,REESE,197
STREEP,CAMERON,24
PECK,MILLA,33
HOPE,HARVEY,161
VOIGHT,HELEN,17
GUINESS,ED,179
BRODY,LAURA,159
TANDY,IAN,155
PFEIFFER,OLYMPIA,171
NOLTE,ALBERT,125
PECK,SANDRA,30
WILLIS,HUMPHREY,164
CRAWFORD,DARYL,129
DAY-LEWIS,FRANCES,48
TEMPLE,THORA,200
BRODY,GOLDIE,39
GOODING,EWAN,139
RYDER,JADA,142
DEE,LUCILLE,138
ALLEN,MERYL,194
DUKAKIS,ROCK,188
DUNST,GROUCHO,106
TRACY,LUCILLE,20
WALKEN,BELA,196
HACKMAN,WILLIAM,175
MCCONAUGHEY,CARY,77
BACALL,RUSSELL,112
JOLIE,WOODY,82
CAGE,ZERO,11
BERGMAN,LIZA,121
DAVIS,JENNIFER,4
BOLGER,VAL,37
WILLIAMS,MORGAN,137
WILSON,WILL,168
CRUISE,JUDE,57
GIBSON,MERYL,154
WAYNE,ALEC,29
JOHANSSON,ALBERT,146
DAMON,SCARLETT,81
HOFFMAN,KENNETH,169
HURT,WHOOPI,140
BERRY,HENRY,60
DEGENERES,GINA,107
GARLAND,KEVIN,127
DEPP,CHRIS,160
BULLOCK,LAURENCE,167
WILLIS,BEN,83
GOLDBERG,PARKER,46
MANSFIELD,ED,136
POSEY,BURT,75
NEESON,CHRISTIAN,61
DAVIS,SUSAN,110
MCCONAUGHEY,MICHELLE,70
PESCI,KENNETH,88
TOMEI,FRANCES,126
BAILEY,AUDREY,190
TORN,WALTER,102
CRUZ,RALPH,80
WEST,CHRISTOPHER,163
GRANT,ADAM,71
KILMER,MINNIE,153
JOVOVICH,KIRK,43
WOOD,UMA,13
DAVIS,SUSAN,101
PINKETT,PENELOPE,54
HUNT,CARMEN,52
DERN,SYLVESTER,109
DEGENERES,NICK,166
TORN,DAN,18
DENCH,CHARLIZE,89
CHASE,JON,176
MCQUEEN,CATE,128
KEITEL,GRETA,130
JOHANSSON,RAY,64
MCKELLEN,GENE,177
DEAN,JUDY,35
DEAN,RIVER,143
REYNOLDS,RITA,135
ZELLWEGER,CAMERON,111
WINSLET,RIP,68
BALE,HARRISON,115
WAHLBERG,NICK,2
FAWCETT,JULIA,199
HARRIS,DAN,56
STREEP,DAN,116
PRESLEY,ELLEN,93
DUKAKIS,BURT,36
NOLTE,SALMA,122
TORN,KENNETH,94
BAILEY,JESSICA,67
KILMER,OPRAH,162
MONROE,PENELOPE,120
OLIVIER,AUDREY,34
WILLIS,GENE,96
SUVARI,JOHN,192
LEIGH,MATTHEW,103
GARLAND,AL,165
JOHANSSON,MATTHEW,8
MCKELLEN,TOM,38
BRIDGES,CHRIS,98
STALLONE,NICK,44
BIRCH,CUBA,189
HOPPER,MENA,170
PENN,GARY,73
DEGENERES,JODIE,41
WITHERSPOON,ANGELA,144
CRONYN,ANNE,49
JACKMAN,JANE,131
HAWKE,MEG,97
DREYFUSS,ALAN,173
OLIVIER,CUBA,15
TAUTOU,DUSTIN,59
AKROYD,CHRISTIAN,58
MARX,ELVIS,22
FAWCETT,BOB,19
CLOSE,RUSSELL,183
TEMPLE,MENA,53
CRONYN,PENELOPE,104
WINSLET,FAY,147
PHOENIX,GARY,51
HOPKINS,MORGAN,113
NICHOLSON,BETTE,6
KILMER,FAY,55
HOPKINS,NATALIE,50
PECK,SPENCER,87
WRAY,CAMERON,63
CHASE,ED,3
WILLIAMS,SEAN,72
NEESON,JAYNE,62
KEITEL,MARY,198
BASINGER,VIVIEN,158
BENING,SCARLETT,124
PALTROW,KENNETH,69
BERGEN,VIVIEN,14
PENN,RICHARD,133
BALL,RENEE,187
CHAPLIN,GREG,86
PITT,JAMES,84
GARLAND,HUMPHREY,184
JACKMAN,WARREN,119
HARRIS,CATE,141
ALLEN,CUBA,118
HOFFMAN,MAE,79
WILLIAMS,GROUCHO,172
BERRY,CHRISTOPHER,91
DEE,EMILY,148
KILMER,REESE,45
BLOOM,KEVIN,25
HARRIS,BEN,152
KILMER,SANDRA,23
DEPP,SPENCER,100
ALLEN,KIM,145
KEITEL,MILLA,74
BENING,MICHAEL,174
SILVERSTONE,JEFF,180
WOOD,FAY,156
BOLGER,MICHAEL,185
NOLTE,WARREN,108
PALTROW,KIRSTEN,21
HUDSON,ANGELA,65
DENCH,JULIANNE,123
MALDEN,GRETA,157
CROWE,SIDNEY,105
SOBIESKI,SISSY,31
ZELLWEGER,JULIA,186
GUINESS,PENELOPE,1
TEMPLE,RUSSELL,149
AKROYD,DEBBIE,182
MONROE,LISA,178
LOLLOBRIGIDA,JOHNNY,5
CARREY,MATTHEW,181
CRAWFORD,RIP,26
SINATRA,GROUCHO,78
NOLTE,JAYNE,150
GOODING,GREGORY,191
HESTON,GEOFFREY,151
MOSTEL,JIM,99
MCDORMAND,MORGAN,114
HOPPER,ADAM,132
MCQUEEN,JULIA,27
HACKMAN,TIM,32
HOPKINS,GENE,134
SILVERSTONE,JAYNE,195
SWANK,JOE,9
MOSTEL,GRACE,7
TEMPLE,BURT,193
AKROYD,KIRSTEN,92
GUINESS,SEAN,90
BERRY,KARL,12
BARRYMORE,JULIA,47
HOFFMAN,WOODY,28
GABLE,CHRISTIAN,10
WAHLBERG,DARYL,95
CAGE,JOHNNY,40
COSTNER,FRED,16
TANDY,MARY,66
