data_noleggio,cliente_id,data_pagamento,data_restituzione,ppersonale_id,ammontare,npersonale_id,pagamento_id,inventario_id,noleggio_id
2005-08-22 02:15:26,177,2005-08-22 02:15:26,2005-08-28 00:56:26,2,2.99,2,4821,3354,14849
2005-08-21 21:43:53,395,2005-08-21 21:43:53,2005-08-25 18:21:53,2,0.99,1,10709,3617,14720
2005-07-27 09:53:43,164,2005-07-27 09:53:43,2005-08-05 09:36:43,1,6.99,2,4462,791,7227
2005-08-18 06:59:41,75,2005-08-18 06:59:41,2005-08-23 01:36:41,1,1.99,1,2054,2484,12336
2005-06-20 11:18:11,106,2005-06-20 11:18:11,2005-06-21 12:43:11,1,4.99,1,2853,4304,3023
2005-05-28 03:33:20,382,2005-05-28 03:33:20,2005-05-31 04:23:20,1,2.99,1,10343,3195,522
2005-08-18 06:51:05,235,2005-08-18 06:51:05,2005-08-20 04:28:05,2,2.99,2,6338,627,12332
2005-08-20 19:19:30,246,2005-08-20 19:19:30,2005-08-23 15:37:30,1,4.99,2,6674,1443,13987
2005-07-12 20:03:44,312,2005-07-12 20:03:44,2005-07-15 01:55:44,1,2.99,1,8466,2481,6866
2005-06-17 12:52:58,169,2005-06-17 12:52:58,2005-06-23 11:07:58,1,4.99,1,4584,787,2023
2005-07-10 03:08:55,79,2005-07-10 03:08:55,2005-07-11 01:36:55,1,2.99,2,2155,2551,5555
2005-06-19 23:47:24,52,2005-06-19 23:47:24,2005-06-23 03:39:24,1,2.99,2,1428,4260,2862
2005-08-17 00:05:05,599,2005-08-17 00:05:05,2005-08-24 04:56:05,2,3.99,1,16043,2033,11522
2005-07-06 02:48:39,292,2005-07-06 02:48:39,2005-07-08 22:52:39,2,0.99,2,7900,3832,3557
2005-07-31 04:05:01,550,2005-07-31 04:05:01,2005-08-05 00:10:01,1,2.99,1,14763,1210,9616
2005-08-01 07:42:10,334,2005-08-01 07:42:10,2005-08-09 02:29:10,1,4.99,2,9031,4144,10408
2005-08-18 11:19:47,46,2005-08-18 11:19:47,2005-08-22 16:08:47,2,4.99,2,1282,4478,12455
2005-07-11 08:02:27,200,2005-07-11 08:02:27,2005-07-15 08:58:27,1,0.99,2,5428,1354,6123
2005-08-02 00:27:50,84,2005-08-02 00:27:50,2005-08-06 20:34:50,1,2.99,2,2291,2470,10872
2005-08-20 02:05:57,536,2005-08-20 02:05:57,2005-08-23 05:52:57,2,4.99,1,14449,914,13505
