actor_id,film_id,title,description,release_year,language,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,first_name,last_name
190,234,DISTURBING SCARFACE,A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat,2006,English,,6,2.99,94,27.99,R,AUDREY,BAILEY
190,806,SLEEPY JAPANESE,A Emotional Epistle of a Moose And a Composer who must Fight a Technical Writer in The Outback,2006,English,,4,2.99,137,25.99,PG,AUDREY,BAILEY
190,87,BOONDOCK BALLROOM,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,2006,English,,7,0.99,76,14.99,NC-17,AUDREY,BAILEY
190,802,SKY MIRACLE,A Epic Drama of a Mad Scientist And a Explorer who must Succumb a Waitress in An Abandoned Fun House,2006,English,,7,2.99,132,15.99,PG,AUDREY,BAILEY
190,874,TADPOLE PARK,A Beautiful Tale of a Frisbee And a Moose who must Vanquish a Dog in An Abandoned Amusement Park,2006,English,,6,2.99,155,13.99,PG,AUDREY,BAILEY
190,549,MAGNOLIA FORRESTER,A Thoughtful Documentary of a Composer And a Explorer who must Conquer a Dentist in New Orleans,2006,English,,4,0.99,171,28.99,PG-13,AUDREY,BAILEY
190,54,BANGER PINOCCHIO,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,English,,5,0.99,113,15.99,R,AUDREY,BAILEY
190,62,BED HIGHBALL,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,2006,English,,5,2.99,106,23.99,NC-17,AUDREY,BAILEY
190,173,CONFESSIONS MAGUIRE,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,2006,English,,7,4.99,65,25.99,PG-13,AUDREY,BAILEY
190,411,HEAVENLY GUN,A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat,2006,English,,5,4.99,49,13.99,NC-17,AUDREY,BAILEY
190,623,NEWTON LABYRINTH,A Intrepid Character Study of a Moose And a Waitress who must Find a A Shark in Ancient India,2006,English,,4,0.99,75,9.99,PG,AUDREY,BAILEY
190,426,HOME PITY,A Touching Panorama of a Man And a Secret Agent who must Challenge a Teacher in A MySQL Convention,2006,English,,7,4.99,185,15.99,R,AUDREY,BAILEY
190,679,PILOT HOOSIERS,A Awe-Inspiring Reflection of a Crocodile And a Sumo Wrestler who must Meet a Forensic Psychologist in An Abandoned Mine Shaft,2006,English,,6,2.99,50,17.99,PG,AUDREY,BAILEY
190,253,DRIFTER COMMANDMENTS,A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat,2006,English,,5,4.99,61,18.99,PG-13,AUDREY,BAILEY
190,693,POTTER CONNECTICUT,A Thrilling Epistle of a Frisbee And a Cat who must Fight a Technical Writer in Berlin,2006,English,,5,2.99,115,16.99,PG,AUDREY,BAILEY
190,374,GRAFFITI LOVE,A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Build a Composer in Berlin,2006,English,,3,0.99,117,29.99,PG,AUDREY,BAILEY
190,38,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,2006,English,,6,0.99,68,25.99,NC-17,AUDREY,BAILEY
190,705,PURPLE MOVIE,A Boring Display of a Pastry Chef And a Sumo Wrestler who must Discover a Frisbee in An Abandoned Amusement Park,2006,English,,4,2.99,88,9.99,R,AUDREY,BAILEY
190,959,WARLOCK WEREWOLF,A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback,2006,English,,6,2.99,83,10.99,G,AUDREY,BAILEY
190,562,MASKED BUBBLE,A Fanciful Documentary of a Pioneer And a Boat who must Pursue a Pioneer in An Abandoned Mine Shaft,2006,English,,6,0.99,151,12.99,PG-13,AUDREY,BAILEY
190,310,FEVER EMPIRE,A Insightful Panorama of a Cat And a Boat who must Defeat a Boat in The Gulf of Mexico,2006,English,,5,4.99,158,20.99,R,AUDREY,BAILEY
76,234,DISTURBING SCARFACE,A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat,2006,English,,6,2.99,94,27.99,R,ANGELINA,ASTAIRE
76,348,GANDHI KWAI,A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin,2006,English,,7,0.99,86,9.99,PG-13,ANGELINA,ASTAIRE
76,912,TROJAN TOMORROW,A Astounding Panorama of a Husband And a Sumo Wrestler who must Pursue a Boat in Ancient India,2006,English,,3,2.99,52,9.99,PG,ANGELINA,ASTAIRE
76,760,SAMURAI LION,A Fast-Paced Story of a Pioneer And a Astronaut who must Reach a Boat in A Baloon,2006,English,,5,2.99,110,21.99,G,ANGELINA,ASTAIRE
76,650,PACIFIC AMISTAD,A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse,2006,English,,3,0.99,144,27.99,G,ANGELINA,ASTAIRE
76,498,KILLER INNOCENT,A Fanciful Character Study of a Student And a Explorer who must Succumb a Composer in An Abandoned Mine Shaft,2006,English,,7,2.99,161,11.99,R,ANGELINA,ASTAIRE
76,781,SEVEN SWARM,A Unbelieveable Character Study of a Dog And a Mad Cow who must Kill a Monkey in Berlin,2006,English,,4,4.99,127,15.99,R,ANGELINA,ASTAIRE
76,862,SUMMER SCARFACE,A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank,2006,English,,5,0.99,53,25.99,G,ANGELINA,ASTAIRE
76,223,DESIRE ALIEN,A Fast-Paced Tale of a Dog And a Forensic Psychologist who must Meet a Astronaut in The First Manned Space Station,2006,English,,7,2.99,76,24.99,NC-17,ANGELINA,ASTAIRE
76,444,HUSTLER PARTY,A Emotional Reflection of a Sumo Wrestler And a Monkey who must Conquer a Robot in The Sahara Desert,2006,English,,3,4.99,83,22.99,NC-17,ANGELINA,ASTAIRE
76,642,ORDER BETRAYED,A Amazing Saga of a Dog And a A Shark who must Challenge a Cat in The Sahara Desert,2006,English,,7,2.99,120,13.99,PG-13,ANGELINA,ASTAIRE
76,606,MUMMY CREATURES,A Fateful Character Study of a Crocodile And a Monkey who must Meet a Dentist in Australia,2006,English,,3,0.99,160,15.99,NC-17,ANGELINA,ASTAIRE
76,850,STORY SIDE,A Lacklusture Saga of a Boy And a Cat who must Sink a Dentist in An Abandoned Mine Shaft,2006,English,,7,0.99,163,27.99,R,ANGELINA,ASTAIRE
76,568,MEMENTO ZOOLANDER,A Touching Epistle of a Squirrel And a Explorer who must Redeem a Pastry Chef in The Sahara Desert,2006,English,,4,4.99,77,11.99,NC-17,ANGELINA,ASTAIRE
76,474,JADE BUNCH,A Insightful Panorama of a Squirrel And a Mad Cow who must Confront a Student in The First Manned Space Station,2006,English,,6,2.99,174,21.99,NC-17,ANGELINA,ASTAIRE
76,648,OUTLAW HANKY,A Thoughtful Story of a Astronaut And a Composer who must Conquer a Dog in The Sahara Desert,2006,English,,7,4.99,148,17.99,PG-13,ANGELINA,ASTAIRE
76,709,RACER EGG,A Emotional Display of a Monkey And a Waitress who must Reach a Secret Agent in California,2006,English,,7,2.99,147,19.99,NC-17,ANGELINA,ASTAIRE
76,870,SWARM GOLD,A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention,2006,English,,4,0.99,123,12.99,PG-13,ANGELINA,ASTAIRE
76,958,WARDROBE PHANTOM,A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India,2006,English,,6,2.99,178,19.99,G,ANGELINA,ASTAIRE
76,604,MULAN MOON,A Emotional Saga of a Womanizer And a Pioneer who must Overcome a Dentist in A Baloon,2006,English,,4,0.99,160,10.99,G,ANGELINA,ASTAIRE
76,68,BETRAYED REAR,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,2006,English,,5,4.99,122,26.99,NC-17,ANGELINA,ASTAIRE
76,935,VANISHED GARDEN,A Intrepid Character Study of a Squirrel And a A Shark who must Kill a Lumberjack in California,2006,English,,5,0.99,142,17.99,R,ANGELINA,ASTAIRE
76,464,INTENTIONS EMPIRE,A Astounding Epistle of a Cat And a Cat who must Conquer a Mad Cow in A U-Boat,2006,English,,3,2.99,107,13.99,PG-13,ANGELINA,ASTAIRE
76,765,SATURN NAME,A Fateful Epistle of a Butler And a Boy who must Redeem a Teacher in Berlin,2006,English,,7,4.99,182,18.99,R,ANGELINA,ASTAIRE
123,234,DISTURBING SCARFACE,A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat,2006,English,,6,2.99,94,27.99,R,JULIANNE,DENCH
123,725,REQUIEM TYCOON,A Unbelieveable Character Study of a Cat And a Database Administrator who must Pursue a Teacher in A Monastery,2006,English,,6,4.99,167,25.99,R,JULIANNE,DENCH
123,988,WORKER TARZAN,A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station,2006,English,,7,2.99,139,26.99,R,JULIANNE,DENCH
123,786,SHEPHERD MIDSUMMER,A Thoughtful Drama of a Robot And a Womanizer who must Kill a Lumberjack in A Baloon,2006,English,,7,0.99,113,14.99,R,JULIANNE,DENCH
123,223,DESIRE ALIEN,A Fast-Paced Tale of a Dog And a Forensic Psychologist who must Meet a Astronaut in The First Manned Space Station,2006,English,,7,2.99,76,24.99,NC-17,JULIANNE,DENCH
123,3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,English,,7,2.99,50,18.99,NC-17,JULIANNE,DENCH
123,576,MIGHTY LUCK,A Astounding Epistle of a Mad Scientist And a Pioneer who must Escape a Database Administrator in A MySQL Convention,2006,English,,7,2.99,122,13.99,PG,JULIANNE,DENCH
123,730,RIDGEMONT SUBMARINE,A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan,2006,English,,3,0.99,46,28.99,PG-13,JULIANNE,DENCH
123,480,JEEPERS WEDDING,A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia,2006,English,,3,2.99,84,29.99,R,JULIANNE,DENCH
123,151,CINCINATTI WHISPERER,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,2006,English,,5,4.99,143,26.99,NC-17,JULIANNE,DENCH
123,43,ATLANTIS CAUSE,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,2006,English,,6,2.99,170,15.99,G,JULIANNE,DENCH
123,479,JEDI BENEATH,A Astounding Reflection of a Explorer And a Dentist who must Pursue a Student in Nigeria,2006,English,,7,0.99,128,12.99,PG,JULIANNE,DENCH
123,67,BERETS AGENT,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,2006,English,,5,2.99,77,24.99,PG-13,JULIANNE,DENCH
123,148,CHOCOLATE DUCK,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,2006,English,,3,2.99,132,13.99,R,JULIANNE,DENCH
123,494,KARATE MOON,A Astounding Yarn of a Womanizer And a Dog who must Reach a Waitress in A MySQL Convention,2006,English,,4,0.99,120,21.99,PG-13,JULIANNE,DENCH
123,892,TITANIC BOONDOCK,A Brilliant Reflection of a Feminist And a Dog who must Fight a Boy in A Baloon Factory,2006,English,,3,4.99,104,18.99,R,JULIANNE,DENCH
123,926,UNTOUCHABLES SUNRISE,A Amazing Documentary of a Woman And a Astronaut who must Outrace a Teacher in An Abandoned Fun House,2006,English,,5,2.99,120,11.99,NC-17,JULIANNE,DENCH
123,530,LORD ARIZONA,A Action-Packed Display of a Frisbee And a Pastry Chef who must Pursue a Crocodile in A Jet Boat,2006,English,,5,2.99,108,27.99,PG-13,JULIANNE,DENCH
123,577,MILE MULAN,A Lacklusture Epistle of a Cat And a Husband who must Confront a Boy in A MySQL Convention,2006,English,,4,0.99,64,10.99,PG,JULIANNE,DENCH
51,895,TOMORROW HUSTLER,A Thoughtful Story of a Moose And a Husband who must Face a Secret Agent in The Sahara Desert,2006,English,,3,2.99,142,21.99,R,GARY,PHOENIX
51,63,BEDAZZLED MARRIED,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,2006,English,,6,0.99,73,21.99,PG,GARY,PHOENIX
51,750,RUN PACIFIC,A Touching Tale of a Cat And a Pastry Chef who must Conquer a Pastry Chef in A MySQL Convention,2006,English,,3,0.99,145,25.99,R,GARY,PHOENIX
51,153,CITIZEN SHREK,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,2006,English,,7,0.99,165,18.99,G,GARY,PHOENIX
51,737,ROCK INSTINCT,A Astounding Character Study of a Robot And a Moose who must Overcome a Astronaut in Ancient India,2006,English,,4,0.99,102,28.99,G,GARY,PHOENIX
51,678,PICKUP DRIVING,A Touching Documentary of a Husband And a Boat who must Meet a Pastry Chef in A Baloon Factory,2006,English,,3,2.99,77,23.99,G,GARY,PHOENIX
51,974,WILD APOLLO,A Beautiful Story of a Monkey And a Sumo Wrestler who must Conquer a A Shark in A MySQL Convention,2006,English,,4,0.99,181,24.99,R,GARY,PHOENIX
51,395,HANDICAP BOONDOCK,A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia,2006,English,,4,0.99,108,28.99,R,GARY,PHOENIX
51,990,WORLD LEATHERNECKS,A Unbelieveable Tale of a Pioneer And a Astronaut who must Overcome a Robot in An Abandoned Amusement Park,2006,English,,3,0.99,171,13.99,PG-13,GARY,PHOENIX
51,627,NORTH TEQUILA,A Beautiful Character Study of a Mad Cow And a Robot who must Reach a Womanizer in New Orleans,2006,English,,4,4.99,67,9.99,NC-17,GARY,PHOENIX
