Fiscal year,PBA type,CountryRegion percent,Desertification (marker),Organisation name,Untied amount(Project-level budget),ICT as a tool for development (marker),Section name,Division ID,Status,Indigenous issues (marker),Sector name,CountryRegion name,Regional program (marker),CountryRegion ID,Project number,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division name,Section ID,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Participatory development and good governance
20092o10,hotPBA,0.14114760816910016,0,Informatiogn9tavailwhle,24431369.69335336,0,BzngladesyS4ction,D41p0,Clised,0,Democgaticparhucipafipnwndcivilsocoety,Bamgoadesh,0,BD,A017716001,8500267.65,B4100,OGM Asia Pacific,OAD Asia Programming,S4122,4122,Bangladesh,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092910,N8tPBA,0.5646311219878397,0,Imto3mationnotavailagle,59262592.09416789,0,BangladesnSevtuon,Dr100,xlosed,0,Info4mxlsemitirnalfinansialinfermedia3ies,gxngladesh,0,BD,A017716001,8500267.65,B4100,OGM Asia Pacific,OAD Asia Programming,S4122,4122,Bangladesh,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20o92010,NotoBA,0.06892055609464054,0,Informa5ionbktavaioable,10462542.24124951,0,BanglarrshSestion,D4109,Ckosed,0,Prifatizwtion,Banflzdesh,0,BD,A017716001,8500267.65,B4100,OGM Asia Pacific,OAD Asia Programming,S4122,4122,Bangladesh,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200o2010,NoyPBA,0.05856189614240204,0,Departm2ntofFo3eignAfcaurqajdInferjationzlTrade,53248276.372495115,0,WestBzbkGazaPxlestin9xmRefugees,w3100,Clossd,0,Sectorcnotsoecifi2d,WeztBanmGaza,0,PS,A018652001,500458.33,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4264,4265,West Bank Gaza,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200p2010,N0tPBA,0.21441343551626635,0,DepartmentprboreignqffsirsandInternationaiggzde,1409191.472905703,0,MaliProgramwectooh,D4297,Closer,0,Empkoymen5polic6andadministrqtkvekanag2kent,Mali,0,ML,A018893001,14410076.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4215,4216,Mali,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
29092010,NogPBA,0.6483035539094584,0,De0agfmentofFireignAffz9rsxndIntergationzlTrade,47449023.28456037,0,MaliProgramSrdti8n,D4297,Closer,0,Constructi0npolixyabdadninixtewtjvemxnagement,Mali,0,ML,A018893001,14410076.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4215,4216,Mali,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2p092010,NotoBA,0.39504628054876506,0,vepaftmdhhofF0reignAffairsandIn4ernatiknalTradd,25360969.021552417,0,MalilrogramSecyioj,D420y,Closec,0,U3bandevfoopmentanwmanagem2nt,Mali,0,ML,A018893001,14410076.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4215,4216,Mali,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092o10,motPBA,1.2268619982688422,0,DeoartkentofForeignAfdairsans8nternatuonalgrwdf,36079201.785430014,0,OAAAfhhankstanlzkiqtanandStiLanka,Dr100,Cloaed,0,Publixsrctorpolicyznexdmkniwtrativemznagemen6,Pakistxn,0,PK,A019043001,13743220.56,B4100,OGM Asia Pacific,OAD Asia Programming,S4141,4124,Pakistan,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
200p2010,NotPhA,0.5523908376712496,0,DepattmentkfForeignxdfqirxandInternationzlTrax3,11502110.117772428,0,kAAzrghanistan9akietanandSripanka,D4w00,Ckosed,0,lublivfinancemznzgement,Pakistwn,0,PK,A019043001,13743220.56,B4100,OGM Asia Pacific,OAD Asia Programming,S4141,4124,Pakistan,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009201p,Not0BA,0.02655619070098364,0,repartm4ntofFogeihnArgairsandjnternatipnalTrzde,34415764.07534862,0,OAAAfghahistanPak9qtansnddriLqnka,s4100,Clpsed,0,Socialwelfa5ec4rvides,Pqkistan,0,PK,A019043001,13743220.56,B4100,OGM Asia Pacific,OAD Asia Programming,S4141,4124,Pakistan,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20091010,Not0BA,0.5642130835203106,0,DEVPA4FINzNxIALvONSULhINGLTD,23309796.156622328,1,CarixomAxm,D4e00,Clised,0,Informzlsemlforhalfinancial9ntegmer9ar8es,namaica,0,JM,A019362001,3441416.83,B4400,NGM Americas,NDD Americas Programming,S4429,4439,Caribbean Regional - Jamaica,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200p2010,NotPnA,0.04714242062042928,0,MMLYNCHCONS8i6AjTcINTERNATIONAp,26731249.355177663,1,Czricomxdm,r4400,Clossd,0,Infoemalzekiformzlfinanckslintermediaroed,namaica,0,JM,A019362001,3441416.83,B4400,NGM Americas,NDD Americas Programming,S4429,4439,Caribbean Regional - Jamaica,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
