ss_tp,ss_tx_d,ss_sbclllr_frctn,chmbl_d,ss_rgnsm,dscrptn,vrnt_d,dc_d,rltnshp_tp,cll_d,crtd_b,ss_ctgr,ss_strn,ss_tss,tss_d,ss_cll_tp,src_d,cnfdnc_scr,src_ss_d,b_frmt,ss_d,ss_tst_tp,td
A,10116.0,,CHEMBL618647,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,9866,N,,Intermediate,,,Kidney,2113.0,,1,1,,BAO_0000218,7524,In vivo,50597
A,10116.0,,CHEMBL618648,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,9866,N,,Intermediate,,,Kidney,2113.0,,1,1,,BAO_0000218,7525,In vivo,50597
A,10116.0,,CHEMBL618649,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,9866,N,,Intermediate,,,Kidney,2113.0,,1,1,,BAO_0000218,7526,In vivo,50597
A,10116.0,,CHEMBL618650,Rattus norvegicus,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,9866,N,,Intermediate,,,Liver,2107.0,,1,1,,BAO_0000218,7527,In vivo,50597
A,10116.0,,CHEMBL618651,Rattus norvegicus,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,9866,N,,Intermediate,,,Liver,2107.0,,1,1,,BAO_0000218,7528,In vivo,50597
A,10116.0,,CHEMBL876497,Rattus norvegicus,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,9866,N,,Intermediate,,,Liver,2107.0,,1,1,,BAO_0000218,7529,In vivo,50597
A,10116.0,,CHEMBL618652,Rattus norvegicus,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,9866,N,,Intermediate,,,Lung,2048.0,,1,1,,BAO_0000218,7530,In vivo,50597
A,10116.0,,CHEMBL618653,Rattus norvegicus,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,9866,N,,Intermediate,,,Lung,2048.0,,1,1,,BAO_0000218,7531,In vivo,50597
A,10116.0,,CHEMBL618654,Rattus norvegicus,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,9866,N,,Intermediate,,,Lung,2048.0,,1,1,,BAO_0000218,7532,In vivo,50597
A,10116.0,,CHEMBL618655,Rattus norvegicus,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,6351,N,,Intermediate,,,,,,1,1,,BAO_0000218,7533,,50597
