assays_assay_id,assays_assay_organism,assays_tid,assays_tissue_id,assays_assay_category,assays_src_id,assays_assay_test_type,assays_src_assay_id,assays_curated_by,assays_doc_id,assays_description,assays_assay_subcellular_fraction,assays_relationship_type,assays_assay_cell_type,assays_assay_type,assays_assay_strain,assays_chembl_id,assays_cell_id,assays_bao_format,assays_variant_id
7524,Rattus norvegicus,50597,2113.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,,A,,CHEMBL618647,,BAO_0000218,
7525,Rattus norvegicus,50597,2113.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,N,,A,,CHEMBL618648,,BAO_0000218,
7526,Rattus norvegicus,50597,2113.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,N,,A,,CHEMBL618649,,BAO_0000218,
7527,Rattus norvegicus,50597,2107.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,,A,,CHEMBL618650,,BAO_0000218,
7528,Rattus norvegicus,50597,2107.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,N,,A,,CHEMBL618651,,BAO_0000218,
7529,Rattus norvegicus,50597,2107.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,N,,A,,CHEMBL876497,,BAO_0000218,
7530,Rattus norvegicus,50597,2048.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,,A,,CHEMBL618652,,BAO_0000218,
7531,Rattus norvegicus,50597,2048.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,N,,A,,CHEMBL618653,,BAO_0000218,
7532,Rattus norvegicus,50597,2048.0,,1,In vivo,,Intermediate,9866,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,N,,A,,CHEMBL618654,,BAO_0000218,
7533,Rattus norvegicus,50597,,,1,,,Intermediate,6351,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,N,,A,,CHEMBL618655,,BAO_0000218,
7534,Rattus norvegicus,50597,,,1,,,Intermediate,1465,Compound was tested for solubility in water,,N,,A,,CHEMBL618656,,BAO_0000218,
7535,,22229,,,1,,,Intermediate,5182,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,U,,P,,CHEMBL618657,,BAO_0000100,
7536,Rattus norvegicus,50597,,,1,,,Intermediate,17847,Solubility was determined,,N,,A,,CHEMBL618658,,BAO_0000218,
7537,Rattus norvegicus,50597,,,1,,,Intermediate,15339,solubility in water (ug/mL) at 37 degree C.,,N,,A,,CHEMBL618659,,BAO_0000218,
7538,Rattus norvegicus,50597,,,1,,,Intermediate,5202,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,N,,A,,CHEMBL618660,,BAO_0000218,
7539,Rattus norvegicus,50597,,,1,,,Intermediate,1088,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,N,,A,,CHEMBL618661,,BAO_0000218,
7540,Rattus norvegicus,50597,,,1,,,Intermediate,3169,Half life in rats,,N,,A,,CHEMBL873807,,BAO_0000218,
