Fiscal year,Maximum CIDA contribution (project-level),Disability issues (marker),CountryRegion ID,Youth issues (marker),Gender equality (marker),Trade development (marker),Bilateral aid (international marker),FSTC percent,Status,Enviromental sustainability (marker),Organisation type,Sector ID,Knowledge for development (marker),Biodiversity (marker),Project number,Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,8500267.65,0,BD,0,2,0,1,1.0,Closed,0,Canadian Profit Making,15150,0,0,A017716001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,8500267.65,0,BD,0,2,0,1,1.0,Closed,0,Canadian Profit Making,24040,0,0,A017716001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,8500267.65,0,BD,0,2,0,1,1.0,Closed,0,Canadian Profit Making,25020,0,0,A017716001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,500458.33,0,PS,0,0,0,1,0.0,Closed,0,Canadian Non-Profit Making,99810,0,0,A018652001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,4265,West Bank Gaza,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,14410076.46,0,ML,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,16020,0,0,A018893001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,14410076.46,0,ML,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,32310,0,0,A018893001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,14410076.46,0,ML,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,43030,0,0,A018893001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,13743220.56,0,PK,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,15110,0,0,A019043001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,13743220.56,0,PK,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,15111,0,0,A019043001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,13743220.56,0,PK,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,16010,0,0,A019043001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3441416.83,0,JM,0,0,0,1,1.0,Closed,0,Canadian Profit Making,24040,0,0,A019362001,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3441416.83,0,JM,0,0,0,1,1.0,Closed,0,Canadian Profit Making,24040,0,0,A019362001,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,16700508.62,0,EG,0,0,0,1,1.0,Closed,1,Canadian Profit Making,15150,0,0,A019608001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,16700508.62,0,EG,0,0,0,1,1.0,Closed,1,Canadian Profit Making,24030,0,0,A019608001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
