assay_id,assay_organism,assay_category,tissue_id,assay_tax_id,assay_test_type,assay_strain,src_id,src_assay_id,doc_id,relationship_type,tid,assay_cell_type,confidence_score,assay_tissue,assay_type,description,assay_subcellular_fraction,curated_by
1,,,,,,,1,,11087,H,12052,,8,,B,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,Autocuration
2,,,,,,,1,,684,U,22226,,0,,F,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,Autocuration
3,,,,,,,1,,15453,U,22226,,0,,B,,,Autocuration
4,Bos taurus,,,9913.0,,,1,,17841,H,104729,,4,,B,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Autocuration
5,Homo sapiens,,,9606.0,,,1,,17430,N,80001,143B,1,,F,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Intermediate
6,Homo sapiens,,,9606.0,,,1,,17430,N,80001,143B,1,,F,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Intermediate
7,Mus musculus,,,10090.0,,,1,,13799,N,80001,143B,1,,F,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Intermediate
8,Homo sapiens,,,9606.0,,,1,,17774,N,80001,143B,1,,F,In vitro cell cytotoxicity was determined against 143B cell line,,Expert
9,Homo sapiens,,,9606.0,,,1,,3801,N,80001,143B,1,,F,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Intermediate
10,Homo sapiens,,,9606.0,,,1,,17430,N,80001,143B,1,,F,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Intermediate
11,Homo sapiens,,,9606.0,,,1,,17430,N,80001,143B,1,,F,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Intermediate
12,Homo sapiens,,,9606.0,,,1,,17774,N,80001,143B,1,,F,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Expert
13,Staphylococcus aureus,,,1280.0,,,1,,11324,N,50185,,1,,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Intermediate
