miller2_FiY,miller2_ProjNu,miller2_OrganiT,miller2_MaxiCIDACont,miller2_ParticiDeveloAnGGov,miller2_ICTAAToFoDeve,miller2_ReProg,miller2_OrganiS,miller2_GenEq,miller2_CounReID,miller2_SecPe,miller2_OrgCla,miller2_IndiIs,miller2_ContID,miller2_DisabIs,miller2_IRTCPe,miller2_BraID,miller2_FSTCPe,miller2_OrgaID,miller2_ClimChMiti,miller2_Desert,miller2_YoIss,miller2_AmSp,miller2_CounRegN,miller2_OrgNa,miller2_ClChaAda,miller2_FuCeN,miller2_KnowFDevel,miller2_CFLI,miller2_DiN,miller2_DiID,miller2_TraDevelo,miller2_UntAmProBud,miller2_ProjBrowCoID,miller2_ChiIs,miller2_PBATy,miller2_EnviSust,miller2_Biod,miller2_UrbIs,miller2_ContiN,miller2_CoRePerc,miller2_SeID,miller2_SecN
2009/2010,M013170001,Foreign Non-Profit Making,2460000.0,1,1,0,UNITED NATIONS,0,X3,0.14,Multilateral,0,3,0,0.0,B5100,0.0,1005967,0,0,0,75768.0,Asia MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,UN - CORE,1,0,MID International Organizations,D5600,0,2460000.0,X3,0,Not PBA,1,0,0,Asia,0.22,33140,Multilateral trade negotiations
2009/2010,M013170001,Foreign Non-Profit Making,2460000.0,1,1,0,UNITED NATIONS,0,X3,0.505,Multilateral,0,3,0,0.0,B5100,0.0,1005967,0,0,0,273306.0,Asia MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,UN - CORE,1,0,MID International Organizations,D5600,0,2460000.0,X3,0,Not PBA,1,0,0,Asia,0.22,99810,Sectors not specified
2009/2010,M013170001,Foreign Non-Profit Making,2460000.0,1,1,0,UNITED NATIONS,0,X4,0.268,Multilateral,0,5,0,0.0,B5100,0.0,1005967,0,0,0,210969.6,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,UN - CORE,1,0,MID International Organizations,D5600,0,2460000.0,X4,0,Not PBA,1,0,0,Europe,0.32,12191,Medical services
2009/2010,M013170001,Foreign Non-Profit Making,2460000.0,1,1,0,UNITED NATIONS,0,X4,0.047,Multilateral,0,5,0,0.0,B5100,0.0,1005967,0,0,0,36998.4,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,UN - CORE,1,0,MID International Organizations,D5600,0,2460000.0,X4,0,Not PBA,1,0,0,Europe,0.32,14015,Water resources conservation (including data collection)
2009/2010,M013170001,Foreign Non-Profit Making,2460000.0,1,1,0,UNITED NATIONS,0,X4,0.04,Multilateral,0,5,0,0.0,B5100,0.0,1005967,0,0,0,31488.0,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,UN - CORE,1,0,MID International Organizations,D5600,0,2460000.0,X4,0,Not PBA,1,0,0,Europe,0.32,23510,Nuclear energy electric power plants
2009/2010,M013170001,Foreign Non-Profit Making,2460000.0,1,1,0,UNITED NATIONS,0,X4,0.14,Multilateral,0,5,0,0.0,B5100,0.0,1005967,0,0,0,110208.0,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,UN - CORE,1,0,MID International Organizations,D5600,0,2460000.0,X4,0,Not PBA,1,0,0,Europe,0.32,33140,Multilateral trade negotiations
2009/2010,M013170001,Foreign Non-Profit Making,2460000.0,1,1,0,UNITED NATIONS,0,X4,0.505,Multilateral,0,5,0,0.0,B5100,0.0,1005967,0,0,0,397536.0,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,UN - CORE,1,0,MID International Organizations,D5600,0,2460000.0,X4,0,Not PBA,1,0,0,Europe,0.32,99810,Sectors not specified
2009/2010,M013171001,Foreign Non-Profit Making,300000.0,0,0,0,REGIONAL ORGANIZATION,0,SV,1.0,Multilateral,0,1,0,0.0,B5100,0.0,1001300,0,0,0,300000.0,El Salvador,PAHO - Pan American Health Organization,0,MHI Non-Food INIT,0,0,MHDInternational Humanitarian Assistance,D5301,0,300000.0,SV,0,Not PBA,0,0,0,America,1.0,72010,Material relief assistance and services
2009/2010,M013172001,Canadian Non-Profit Making,3000000.0,0,0,0,INTERNATIONAL NGO,1,X1,1.0,Civil Society,0,2,0,0.0,B5100,0.0,1014663,0,0,0,1500000.0,Africa MC,ICRC Appeals via CRCS,0,MHO Non Food - CORE,0,0,MHDInternational Humanitarian Assistance,D5301,0,3000000.0,X1,0,Not PBA,0,0,0,Africa,0.5,72010,Material relief assistance and services
2009/2010,M013172001,Canadian Non-Profit Making,3000000.0,0,0,0,INTERNATIONAL NGO,1,X2,1.0,Civil Society,0,1,0,0.0,B5100,0.0,1014663,0,0,0,450000.0,Americas MC,ICRC Appeals via CRCS,0,MHO Non Food - CORE,0,0,MHDInternational Humanitarian Assistance,D5301,0,3000000.0,X2,0,Not PBA,0,0,0,America,0.15,72010,Material relief assistance and services
