assays_description,assays_assay_id,assays_assay_category,assays_chembl_id,assays_tid,assays_bao_format,assays_assay_cell_type,assays_cell_id,assays_assay_test_type,assays_src_id,assays_assay_strain,assays_tissue_id,assays_assay_organism,assays_variant_id,assays_assay_tax_id,assays_confidence_score,assays_curated_by,assays_relationship_type,assays_assay_type,assays_assay_tissue,assays_doc_id,assays_assay_subcellular_fraction,assays_src_assay_id
Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7524,,CHEMBL618647,50597,BAO_0000218,,,In vivo,1,,2113.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Kidney,9866,,
Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,7525,,CHEMBL618648,50597,BAO_0000218,,,In vivo,1,,2113.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Kidney,9866,,
Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,7526,,CHEMBL618649,50597,BAO_0000218,,,In vivo,1,,2113.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Kidney,9866,,
Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7527,,CHEMBL618650,50597,BAO_0000218,,,In vivo,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,9866,,
Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,7528,,CHEMBL618651,50597,BAO_0000218,,,In vivo,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,9866,,
Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,7529,,CHEMBL876497,50597,BAO_0000218,,,In vivo,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,9866,,
Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7530,,CHEMBL618652,50597,BAO_0000218,,,In vivo,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,9866,,
Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,7531,,CHEMBL618653,50597,BAO_0000218,,,In vivo,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,9866,,
Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,7532,,CHEMBL618654,50597,BAO_0000218,,,In vivo,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,9866,,
Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,7533,,CHEMBL618655,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6351,,
Compound was tested for solubility in water,7534,,CHEMBL618656,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,1465,,
Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),7535,,CHEMBL618657,22229,BAO_0000100,,,,1,,,,,,0,Intermediate,U,P,,5182,,
Solubility was determined,7536,,CHEMBL618658,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17847,,
solubility in water (ug/mL) at 37 degree C.,7537,,CHEMBL618659,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,15339,,
First pass metabolism and metabolic bioavailability using rat hepatic microsomes,7538,,CHEMBL618660,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,5202,,
In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,7539,,CHEMBL618661,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,1088,,
Half life in rats,7540,,CHEMBL873807,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3169,,
Half life in Dawley rat,7541,,CHEMBL618662,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,5353,,
Half life period after 3 mg/kg iv administration,7542,,CHEMBL618663,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,2864,,
Half life period after 3 mg/kg iv administration in rat,7543,,CHEMBL618664,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,2864,,
Half life period after 3 mg/kg iv administration in the rat,7544,,CHEMBL618665,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,2864,,
Half life period in female Sprague-Dawley rats,7545,,CHEMBL876498,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6362,,
Half life period in rat,7546,,CHEMBL618666,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6249,,
Half-life in rats was determined,7547,,CHEMBL620440,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3169,,
Half-life in rats with metabolic oxidation,7548,,CHEMBL620441,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3169,,
Half-life in rats,7549,,CHEMBL620442,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3169,,
T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,7550,,CHEMBL620443,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17260,,
T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,7551,,CHEMBL620444,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17260,,
T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,7552,,CHEMBL620445,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17260,,
T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,7553,,CHEMBL620446,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17260,,
Biological half-life measured in plasma of rat,7554,,CHEMBL620447,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,2879,,
Biological half-life measured in plasma of rat; 22-25,7555,,CHEMBL621129,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,2879,,
Biological half-life measured in plasma of rat; 9-16,7556,,CHEMBL621130,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,2879,,
Compound was evaluated for its half life when administered intravenously in rat,7557,,CHEMBL873808,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3184,,
Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,7558,,CHEMBL876598,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,4891,,
Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,7559,,CHEMBL621131,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,429,,
Half life (T1/2) after oral administration in rat,7560,,CHEMBL621132,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,5656,,
Half life of compound after iv administration of 20 mg/kg dose in rat,7561,,CHEMBL621133,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,4413,,
Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,7562,,CHEMBL621312,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Expert,N,A,,3598,,
Half life of compound was determined in rat,7563,,CHEMBL621313,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17267,,
Half life of compound was determined in rat blood,7564,,CHEMBL621314,50597,BAO_0000218,,,,1,,178.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Blood,4727,,
Half life at 1 mg/kg was determined in rat,7565,,CHEMBL621315,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17651,,
Half life at 10 mg/kg was determined in rat,7566,,CHEMBL621316,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17651,,
Half life in rats,7567,,CHEMBL621317,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,401,,
Half life in rats in hours,7568,,CHEMBL621318,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,4942,,
Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,7569,,CHEMBL621319,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17735,,
Half life was calculated at a single intravenous administration of 20 mg/kg in rat,7570,,CHEMBL621377,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6056,,
Half life was determined,7571,,CHEMBL621378,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,5213,,
Half life after i.v. administration,7572,,CHEMBL876599,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6616,,
Half life in rat after intravenous administration at a concentration 0.5 mg/kg,7573,,CHEMBL621379,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,5937,,
Half life in rat plasma,7574,,CHEMBL621380,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,5819,,
Half life in rat plasma; Not detected,7575,,CHEMBL621381,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,5819,,
Half life in rats,7576,,CHEMBL618515,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6803,,
Half life period of compound was determined after peroral administration,7577,,CHEMBL618516,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17804,,
Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,7578,,CHEMBL618517,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17804,,
Half life period in rat,7579,,CHEMBL618518,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,5948,,
Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,7580,,CHEMBL618519,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,1916,,
Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,7581,,CHEMBL618698,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,1916,,
Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,7582,,CHEMBL618862,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,1916,,
Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,7583,,CHEMBL618863,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,4890,,
Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,7584,,CHEMBL618864,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17764,,
Half life time in rat the dose of 2 mg/kg,7585,,CHEMBL618865,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,4727,,
Half-life 24 hr after 10 mg/kg iv administration in rats,7586,,CHEMBL618866,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17509,,
Half-life 24 hr after 2 mg/kg iv administration in rats,7587,,CHEMBL618867,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17509,,
Half-life consistent with the observed metabolic steady state in rats,7588,,CHEMBL875828,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6597,,
Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,7589,,CHEMBL618868,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17735,,
Half-life for oxidative metabolic stability was determined using male human,7590,,CHEMBL618869,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6597,,
"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",7591,,CHEMBL618870,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17670,,
Half-life in rat plasma,7592,,CHEMBL618871,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,1696,,
Half-life in rat plasma was determined,7593,,CHEMBL618872,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,1742,,
Half-life in rats was determined,7594,,CHEMBL873816,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17800,,
Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,7595,,CHEMBL618873,22224,BAO_0000218,,,,1,,,,,,0,Autocuration,U,A,,12923,,
Area under curve after oral dose of 0.1 mg//kg,7596,,CHEMBL621602,22224,BAO_0000019,,,,1,,,,,,0,Autocuration,U,A,,11954,,
Area under curve after oral dose of 0.3 mg/kg,7597,,CHEMBL621603,22224,BAO_0000218,,,,1,,,,,,0,Autocuration,U,A,,11954,,
Area under curve after oral dose of 1 mg/kg,7598,,CHEMBL621604,22224,BAO_0000218,,,,1,,,,,,0,Autocuration,U,A,,11954,,
Area under curve after oral dose of 10 mg/kg,7599,,CHEMBL621605,22224,BAO_0000218,,,,1,,,,,,0,Autocuration,U,A,,11954,,
Area under curve after oral dose of 23.4 mg/kg,7600,,CHEMBL621606,22224,BAO_0000218,,,,1,,,,,,0,Autocuration,U,A,,11954,,
Area under curve after oral dose of 3 mg/kg,7601,,CHEMBL621607,22224,BAO_0000218,,,,1,,,,,,0,Autocuration,U,A,,11954,,
Area under curve after oral dose of 3.87 mg/kg,7602,,CHEMBL621608,22224,BAO_0000218,,,,1,,,,,,0,Autocuration,U,A,,11954,,
Area under curve was determined,7603,,CHEMBL621609,22224,BAO_0000019,,,,1,,,,,,0,Autocuration,U,A,,5237,,
Area under curve at a dose of 10 mg/kg,7604,,CHEMBL621610,22224,BAO_0000218,,,,1,,,,,,0,Autocuration,U,A,,4026,,
Area under curve was determined; ND=No data,7605,,CHEMBL621611,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,5237,,
Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,7606,,CHEMBL621612,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14793,,
Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,7607,,CHEMBL622308,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14793,,
Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,7608,,CHEMBL622309,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14793,,
Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,7609,,CHEMBL622310,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14793,,
Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,7610,,CHEMBL622311,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14793,,
Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,7611,,CHEMBL622312,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14793,,
Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,7612,,CHEMBL622931,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14793,,
