assays_ss_d,assays_ss_tst_tp,assays_vrnt_d,assays_b_frmt,assays_ss_cll_tp,assays_src_d,assays_crtd_b,assays_src_ss_d,assays_td,assays_cll_d,assays_ss_strn,assays_ss_tss,assays_ss_sbclllr_frctn,assays_rltnshp_tp,assays_cnfdnc_scr,assays_chmbl_d,assays_tss_d
7524,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Kidney,,N,1,CHEMBL618647,2113.0
7525,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Kidney,,N,1,CHEMBL618648,2113.0
7526,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Kidney,,N,1,CHEMBL618649,2113.0
7527,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Liver,,N,1,CHEMBL618650,2107.0
7528,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Liver,,N,1,CHEMBL618651,2107.0
7529,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Liver,,N,1,CHEMBL876497,2107.0
7530,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Lung,,N,1,CHEMBL618652,2048.0
7531,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Lung,,N,1,CHEMBL618653,2048.0
7532,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,Lung,,N,1,CHEMBL618654,2048.0
7533,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618655,
7534,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618656,
7535,,,BAO_0000100,,1,Intermediate,,22229,,,,,U,0,CHEMBL618657,
7536,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618658,
7537,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618659,
7538,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618660,
7539,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618661,
7540,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL873807,
7541,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618662,
7542,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618663,
7543,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618664,
7544,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618665,
7545,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL876498,
7546,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL618666,
7547,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL620440,
7548,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL620441,
7549,,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL620442,
7550,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL620443,
7551,In vivo,,BAO_0000218,,1,Intermediate,,50597,,,,,N,1,CHEMBL620444,
