assay_type,assay_organism,assay_tax_id,variant_id,assay_cell_type,src_id,curated_by,assay_subcellular_fraction,doc_id,assay_strain,relationship_type,assay_id,confidence_score,cell_id,assay_category,tid,assay_tissue,tissue_id,assay_test_type,bao_format,chembl_id,src_assay_id,description
B,,,,,1,Autocuration,,11087,,H,1,8,,,12052,,,,BAO_0000019,CHEMBL615117,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM
F,,,,,1,Autocuration,,684,,U,2,0,,,22226,,,,BAO_0000219,CHEMBL615118,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells
B,,,,,1,Autocuration,,15453,,U,3,0,,,22226,,,,BAO_0000019,CHEMBL615119,,
B,Bos taurus,9913.0,,,1,Autocuration,,17841,,H,4,4,,,104729,,,,BAO_0000249,CHEMBL615120,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680
F,Homo sapiens,9606.0,,143B,1,Intermediate,,17430,,N,5,1,163.0,,80001,,,,BAO_0000219,CHEMBL615121,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line)
F,Homo sapiens,9606.0,,143B,1,Intermediate,,17430,,N,6,1,163.0,,80001,,,,BAO_0000219,CHEMBL615122,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line)
F,Mus musculus,10090.0,,143B,1,Intermediate,,13799,,N,7,1,163.0,,80001,,,,BAO_0000219,CHEMBL615123,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells
F,Homo sapiens,9606.0,,143B,1,Expert,,17774,,N,8,1,163.0,,80001,,,,BAO_0000219,CHEMBL615124,,In vitro cell cytotoxicity was determined against 143B cell line
F,Homo sapiens,9606.0,,143B,1,Intermediate,,3801,,N,9,1,163.0,,80001,,,,BAO_0000219,CHEMBL615125,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound
F,Homo sapiens,9606.0,,143B,1,Intermediate,,17430,,N,10,1,163.0,,80001,,,,BAO_0000219,CHEMBL615126,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK
F,Homo sapiens,9606.0,,143B,1,Intermediate,,17430,,N,11,1,163.0,,80001,,,,BAO_0000219,CHEMBL615127,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK
F,Homo sapiens,9606.0,,143B,1,Expert,,17774,,N,12,1,163.0,,80001,,,,BAO_0000219,CHEMBL615128,,In vitro cell cytotoxicity was determined against 143B-LTK cell line
F,Staphylococcus aureus,1280.0,,,1,Intermediate,,11324,,N,13,1,,,50185,,,,BAO_0000218,CHEMBL857900,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus"
F,Staphylococcus aureus,1280.0,,,1,Intermediate,,11324,,N,14,1,,,50185,,,,BAO_0000218,CHEMBL615129,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus"
