Fiscal year,Youth issues (marker),Organisation name,PBA type,Gender equality (marker),Children issues (marker),FSTC percent,CountryRegion name,Knowledge for development (marker),Fund centre name,Branch name,Sector percent,Project Browser country ID,Enviromental sustainability (marker),ICT as a tool for development (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,0,Information not available,Not PBA,2,0,1.0,Bangladesh,0,Bangladesh,OGM Asia Pacific,0.2,BD,0,0,A017716001,Closed,8500267.65,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,2,0,1.0,Bangladesh,0,Bangladesh,OGM Asia Pacific,0.3,BD,0,0,A017716001,Closed,8500267.65,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,2,0,1.0,Bangladesh,0,Bangladesh,OGM Asia Pacific,0.5,BD,0,0,A017716001,Closed,8500267.65,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,0,0.0,West Bank Gaza,0,West Bank Gaza,"EGM Europe, Middle East and Maghreb",1.0,PS,0,0,A018652001,Closed,500458.33,B3100,D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,4265,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.5,ML,0,0,A018893001,Closed,14410076.46,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.4,ML,0,0,A018893001,Closed,14410076.46,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.1,ML,0,0,A018893001,Closed,14410076.46,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,0,1.0,Pakistan,0,Pakistan,OGM Asia Pacific,0.4,PK,0,0,A019043001,Closed,13743220.56,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,0,1.0,Pakistan,0,Pakistan,OGM Asia Pacific,0.4,PK,0,0,A019043001,Closed,13743220.56,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,0,1.0,Pakistan,0,Pakistan,OGM Asia Pacific,0.2,PK,0,0,A019043001,Closed,13743220.56,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,DEVPAR FINANCIAL CONSULTING LTD,Not PBA,0,0,1.0,Jamaica,0,Caribbean Regional - Jamaica,NGM Americas,1.0,JM,0,1,A019362001,Closed,3441416.83,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,MM LYNCH CONSULTANTS INTERNATIONAL,Not PBA,0,0,1.0,Jamaica,0,Caribbean Regional - Jamaica,NGM Americas,1.0,JM,0,1,A019362001,Closed,3441416.83,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Cowater International Inc.,Not PBA,0,0,1.0,Egypt,0,Egypt,"EGM Europe, Middle East and Maghreb",0.2,EG,1,1,A019608001,Closed,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Cowater International Inc.,Not PBA,0,0,1.0,Egypt,0,Egypt,"EGM Europe, Middle East and Maghreb",0.05,EG,1,1,A019608001,Closed,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Cowater International Inc.,Not PBA,0,0,1.0,Egypt,0,Egypt,"EGM Europe, Middle East and Maghreb",0.05,EG,1,1,A019608001,Closed,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Cowater International Inc.,Not PBA,0,0,1.0,Egypt,0,Egypt,"EGM Europe, Middle East and Maghreb",0.05,EG,1,1,A019608001,Closed,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Cowater International Inc.,Not PBA,0,0,1.0,Egypt,0,Egypt,"EGM Europe, Middle East and Maghreb",0.25,EG,1,1,A019608001,Closed,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Cowater International Inc.,Not PBA,0,0,1.0,Egypt,0,Egypt,"EGM Europe, Middle East and Maghreb",0.15,EG,1,1,A019608001,Closed,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Cowater International Inc.,Not PBA,0,0,1.0,Egypt,0,Egypt,"EGM Europe, Middle East and Maghreb",0.05,EG,1,1,A019608001,Closed,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
