assays_ASSI,assays_ASSUBCFRA,assays_ASTTY,assays_BAFO,assays_TISI,assays_CEI,assays_ASCTY,assays_T,assays_RELT,assays_CONFISC,assays_CUB,assays_SI,assays_SASSI,assays_CHI,assays_VARI
7524,,In vivo,BAO_0000218,2113.0,,,50597,N,1,Intermediate,1,,CHEMBL618647,
7525,,In vivo,BAO_0000218,2113.0,,,50597,N,1,Intermediate,1,,CHEMBL618648,
7526,,In vivo,BAO_0000218,2113.0,,,50597,N,1,Intermediate,1,,CHEMBL618649,
7527,,In vivo,BAO_0000218,2107.0,,,50597,N,1,Intermediate,1,,CHEMBL618650,
7528,,In vivo,BAO_0000218,2107.0,,,50597,N,1,Intermediate,1,,CHEMBL618651,
7529,,In vivo,BAO_0000218,2107.0,,,50597,N,1,Intermediate,1,,CHEMBL876497,
7530,,In vivo,BAO_0000218,2048.0,,,50597,N,1,Intermediate,1,,CHEMBL618652,
7531,,In vivo,BAO_0000218,2048.0,,,50597,N,1,Intermediate,1,,CHEMBL618653,
7532,,In vivo,BAO_0000218,2048.0,,,50597,N,1,Intermediate,1,,CHEMBL618654,
7533,,,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618655,
7534,,,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618656,
7535,,,BAO_0000100,,,,22229,U,0,Intermediate,1,,CHEMBL618657,
7536,,,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618658,
7537,,,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618659,
7538,,,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618660,
7539,,,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618661,
7540,,,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL873807,
7541,,,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618662,
7542,,In vivo,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618663,
7543,,In vivo,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618664,
7544,,In vivo,BAO_0000218,,,,50597,N,1,Intermediate,1,,CHEMBL618665,
