ss_d,ss_rgnsm,src_d,tss_d,dc_d,b_frmt,src_ss_d,dscrptn,ss_sbclllr_frctn,ss_tp,ss_strn,rltnshp_tp,cnfdnc_scr,crtd_b,chmbl_d,cll_d,vrnt_d
7524,Rattus norvegicus,1,2113.0,9866,BAO_0000218,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,A,,N,1,Intermediate,CHEMBL618647,,
7525,Rattus norvegicus,1,2113.0,9866,BAO_0000218,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,A,,N,1,Intermediate,CHEMBL618648,,
7526,Rattus norvegicus,1,2113.0,9866,BAO_0000218,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,A,,N,1,Intermediate,CHEMBL618649,,
7527,Rattus norvegicus,1,2107.0,9866,BAO_0000218,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,A,,N,1,Intermediate,CHEMBL618650,,
7528,Rattus norvegicus,1,2107.0,9866,BAO_0000218,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,A,,N,1,Intermediate,CHEMBL618651,,
7529,Rattus norvegicus,1,2107.0,9866,BAO_0000218,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,A,,N,1,Intermediate,CHEMBL876497,,
7530,Rattus norvegicus,1,2048.0,9866,BAO_0000218,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,A,,N,1,Intermediate,CHEMBL618652,,
7531,Rattus norvegicus,1,2048.0,9866,BAO_0000218,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,A,,N,1,Intermediate,CHEMBL618653,,
7532,Rattus norvegicus,1,2048.0,9866,BAO_0000218,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,A,,N,1,Intermediate,CHEMBL618654,,
7533,Rattus norvegicus,1,,6351,BAO_0000218,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,A,,N,1,Intermediate,CHEMBL618655,,
