cognome,attore_id,nome
MOSTEL,99,JIM
OLIVIER,15,CUBA
GABLE,10,CHRISTIAN
BERRY,60,HENRY
WINSLET,147,FAY
TRACY,117,RENEE
HOPPER,132,ADAM
HESTON,151,GEOFFREY
WRAY,63,CAMERON
DUKAKIS,188,ROCK
ZELLWEGER,85,MINNIE
CHASE,176,JON
TEMPLE,53,MENA
WOOD,156,FAY
WAHLBERG,2,NICK
WINSLET,68,RIP
WITHERSPOON,144,ANGELA
WILLIAMS,172,GROUCHO
MCQUEEN,27,JULIA
COSTNER,16,FRED
DEAN,143,RIVER
ASTAIRE,76,ANGELINA
TEMPLE,149,RUSSELL
CRAWFORD,26,RIP
MCKELLEN,38,TOM
TORN,18,DAN
POSEY,75,BURT
HOFFMAN,28,WOODY
DUNST,106,GROUCHO
PENN,73,GARY
BOLGER,185,MICHAEL
HARRIS,152,BEN
DEPP,100,SPENCER
CRONYN,49,ANNE
ALLEN,145,KIM
WILLIS,83,BEN
CRAWFORD,129,DARYL
WILLIS,164,HUMPHREY
MCCONAUGHEY,77,CARY
AKROYD,58,CHRISTIAN
STALLONE,44,NICK
MCQUEEN,128,CATE
KILMER,45,REESE
FAWCETT,19,BOB
NEESON,61,CHRISTIAN
BENING,124,SCARLETT
HUDSON,65,ANGELA
MARX,22,ELVIS
DEPP,160,CHRIS
PINKETT,54,PENELOPE
JOVOVICH,43,KIRK
PFEIFFER,171,OLYMPIA
HOPE,161,HARVEY
KEITEL,130,GRETA
DEE,138,LUCILLE
BAILEY,190,AUDREY
BERRY,12,KARL
CARREY,181,MATTHEW
BRODY,159,LAURA
DUKAKIS,36,BURT
PHOENIX,51,GARY
MCCONAUGHEY,70,MICHELLE
WILLIS,96,GENE
LEIGH,103,MATTHEW
DEGENERES,166,NICK
TAUTOU,59,DUSTIN
PITT,84,JAMES
PALTROW,69,KENNETH
TORN,102,WALTER
DENCH,89,CHARLIZE
WILSON,168,WILL
HOPKINS,50,NATALIE
GARLAND,184,HUMPHREY
OLIVIER,34,AUDREY
GUINESS,90,SEAN
BAILEY,67,JESSICA
CRUZ,80,RALPH
WAYNE,29,ALEC
HUNT,52,CARMEN
PECK,33,MILLA
CHAPLIN,86,GREG
BOLGER,37,VAL
PALTROW,21,KIRSTEN
SOBIESKI,31,SISSY
GOLDBERG,46,PARKER
MONROE,120,PENELOPE
BRODY,39,GOLDIE
DAVIS,4,JENNIFER
JOHANSSON,8,MATTHEW
WEST,197,REESE
CAGE,11,ZERO
LOLLOBRIGIDA,5,JOHNNY
JOHANSSON,64,RAY
TOMEI,126,FRANCES
AKROYD,182,DEBBIE
AKROYD,92,KIRSTEN
MOSTEL,7,GRACE
NOLTE,122,SALMA
FAWCETT,199,JULIA
VOIGHT,17,HELEN
HOPKINS,134,GENE
SILVERSTONE,195,JAYNE
SINATRA,78,GROUCHO
GOODING,139,EWAN
JOHANSSON,146,ALBERT
PECK,30,SANDRA
KEITEL,74,MILLA
GRANT,71,ADAM
HACKMAN,32,TIM
BALE,115,HARRISON
KILMER,162,OPRAH
CLOSE,183,RUSSELL
BERGMAN,121,LIZA
CRONYN,104,PENELOPE
KEITEL,198,MARY
SUVARI,192,JOHN
WALKEN,196,BELA
TANDY,66,MARY
TRACY,20,LUCILLE
WILLIAMS,137,MORGAN
BRIDGES,98,CHRIS
ALLEN,194,MERYL
BARRYMORE,47,JULIA
BENING,174,MICHAEL
NOLTE,108,WARREN
DEE,148,EMILY
PRESLEY,93,ELLEN
KILMER,153,MINNIE
BACALL,112,RUSSELL
ZELLWEGER,186,JULIA
BULLOCK,167,LAURENCE
GOODING,191,GREGORY
REYNOLDS,135,RITA
DEAN,35,JUDY
NOLTE,150,JAYNE
STREEP,24,CAMERON
HOPPER,170,MENA
HARRIS,56,DAN
HURT,140,WHOOPI
TEMPLE,200,THORA
HAWKE,97,MEG
STREEP,116,DAN
DENCH,123,JULIANNE
PESCI,88,KENNETH
BASINGER,158,VIVIEN
HOFFMAN,169,KENNETH
WILLIAMS,72,SEAN
DERN,109,SYLVESTER
DAVIS,101,SUSAN
JACKMAN,131,JANE
GIBSON,154,MERYL
TORN,94,KENNETH
MONROE,178,LISA
HOPKINS,113,MORGAN
PECK,87,SPENCER
DREYFUSS,173,ALAN
HACKMAN,175,WILLIAM
MALDEN,157,GRETA
BALL,187,RENEE
DAY-LEWIS,48,FRANCES
RYDER,142,JADA
DAVIS,110,SUSAN
ZELLWEGER,111,CAMERON
NOLTE,125,ALBERT
DEGENERES,107,GINA
GUINESS,1,PENELOPE
JOLIE,82,WOODY
BLOOM,25,KEVIN
CRUISE,57,JUDE
CAGE,40,JOHNNY
GUINESS,179,ED
KILMER,23,SANDRA
KILMER,55,FAY
TANDY,155,IAN
TEMPLE,193,BURT
SWANK,9,JOE
JACKMAN,119,WARREN
BIRCH,189,CUBA
DEGENERES,41,JODIE
BERRY,91,CHRISTOPHER
WAHLBERG,95,DARYL
PENN,133,RICHARD
GARLAND,127,KEVIN
MANSFIELD,136,ED
NEESON,62,JAYNE
CHASE,3,ED
WEST,163,CHRISTOPHER
GARLAND,165,AL
WOOD,13,UMA
SILVERSTONE,180,JEFF
HOFFMAN,79,MAE
MCDORMAND,114,MORGAN
CROWE,105,SIDNEY
BERGEN,14,VIVIEN
HARRIS,141,CATE
NICHOLSON,6,BETTE
MIRANDA,42,TOM
DAMON,81,SCARLETT
ALLEN,118,CUBA
MCKELLEN,177,GENE
