ammontare,personale_id,noleggio_id,pagamento_id,cliente_id,data_pagamento
5.99,1,5221,2280,84,2005-07-09 12:02:23
0.99,1,6346,12004,445,2005-07-11 20:08:34
0.99,1,12521,9997,369,2005-08-18 13:43:07
2.99,2,11075,13562,503,2005-08-02 07:24:23
8.99,1,4486,5332,197,2005-07-08 01:09:09
4.99,2,13818,13353,495,2005-08-20 13:20:09
0.99,2,10621,4677,172,2005-08-01 15:10:26
4.99,2,4344,2669,99,2005-07-07 18:50:47
0.99,1,2777,6193,230,2005-06-19 18:16:26
4.99,2,2636,6818,253,2005-06-19 09:13:06
7.99,2,11512,10110,373,2005-08-16 23:51:06
5.98,1,13351,1177,42,2006-02-14 15:16:03
4.99,2,12042,15285,570,2005-08-17 20:36:37
4.99,2,4828,2512,92,2005-07-08 17:52:29
4.99,1,11079,803,29,2005-08-02 07:29:10
1.99,2,9960,15243,569,2005-07-31 16:05:52
6.99,2,218,8381,309,2005-05-26 09:27:09
0.99,2,1827,11425,423,2005-06-16 21:54:40
8.99,1,11758,14364,533,2005-08-17 09:33:02
4.99,1,15377,14804,551,2005-08-22 22:22:33
0.99,1,9265,15006,560,2005-07-30 14:55:25
1.99,1,8809,220,8,2005-07-29 21:42:49
7.99,1,8981,8425,310,2005-07-30 04:25:30
2.99,2,279,10394,384,2005-05-26 18:02:50
3.99,1,10983,10295,380,2005-08-02 04:24:23
5.99,1,6192,8514,314,2005-07-11 11:44:41
0.99,2,657,1768,65,2005-05-28 20:23:09
4.99,1,8604,8815,326,2005-07-29 13:07:13
4.99,1,9594,4038,148,2005-07-31 03:23:52
1.99,2,8392,1777,65,2005-07-29 06:00:27
2.99,2,11965,13228,490,2005-08-17 17:39:45
0.99,1,10274,10163,375,2005-08-01 03:16:51
1.99,1,1861,12251,454,2005-06-17 01:17:31
0.99,2,13310,8450,311,2005-08-19 19:05:16
5.99,1,10576,4904,180,2005-08-01 13:46:02
2.99,1,4499,5397,199,2005-07-08 02:08:48
6.99,2,540,3190,119,2005-05-28 06:40:25
3.99,2,15284,10669,393,2005-08-22 19:17:08
0.99,2,5902,6149,228,2005-07-10 20:31:24
0.99,1,10664,9114,337,2005-08-01 16:51:15
4.99,1,3799,6766,251,2005-07-06 15:00:14
5.99,1,6398,8030,296,2005-07-11 22:34:49
5.99,2,11475,5256,194,2005-08-02 21:55:09
4.99,1,15263,8777,324,2005-08-22 18:27:33
0.99,2,3620,2393,88,2005-07-06 06:01:50
5.99,2,12570,5744,211,2005-08-18 15:23:31
0.99,1,9748,14764,550,2005-07-31 09:17:56
4.99,2,10160,8006,295,2005-07-31 23:07:40
5.99,2,15045,4399,161,2005-08-22 09:53:23
4.99,2,9642,1858,68,2005-07-31 05:33:57
11.99,2,14763,3146,116,2005-08-21 23:34:00
6.99,1,6694,5533,204,2005-07-12 12:39:23
3.99,1,5207,1631,59,2005-07-09 11:15:44
2.99,1,10825,15726,587,2005-08-01 23:05:33
4.99,2,6012,6965,258,2005-07-11 02:00:12
0.99,1,11998,8130,299,2005-08-17 18:46:21
4.99,2,10323,15473,577,2005-08-01 04:44:58
2.99,2,5269,6198,230,2005-07-09 14:23:05
0.99,2,14029,5943,219,2005-08-20 21:23:11
8.99,1,3988,11378,421,2005-07-06 23:30:42
0.99,2,13877,140,5,2005-08-20 15:16:18
6.99,1,10027,7778,287,2005-07-31 18:33:51
0.99,2,5756,4983,183,2005-07-10 12:39:28
7.99,1,14083,4796,176,2005-08-20 23:42:31
7.99,2,2470,1098,40,2005-06-18 20:28:31
4.99,1,6224,12848,475,2005-07-11 13:42:18
7.99,1,10176,504,19,2005-07-31 23:40:35
5.99,2,7770,13676,507,2005-07-28 06:49:35
7.99,1,3326,9372,347,2005-06-21 09:04:50
2.99,1,12923,14304,531,2005-08-19 04:50:20
0.99,1,2267,5906,218,2005-06-18 06:10:23
2.99,2,8129,9325,345,2005-07-28 19:47:02
2.99,2,1803,3417,127,2005-06-16 20:32:47
4.99,2,3756,8659,320,2005-07-06 12:40:38
3.99,1,14272,6587,243,2005-08-21 06:24:55
5.99,2,8949,6232,231,2005-07-30 03:17:02
4.99,1,10527,11634,431,2005-08-01 11:55:54
2.99,2,6261,10456,386,2005-07-11 15:28:34
0.99,1,13117,10442,385,2005-08-19 11:33:20
2.99,1,985,15103,564,2005-05-30 22:18:35
2.99,2,8371,10724,396,2005-07-29 05:16:35
4.99,2,9101,15175,566,2005-07-30 08:47:13
3.99,2,11169,8900,329,2005-08-02 10:19:42
4.99,1,14747,4176,153,2005-08-21 23:00:02
2.99,1,1042,13631,506,2005-05-31 05:53:00
0.99,2,1534,1150,42,2005-06-16 00:49:32
5.99,2,12005,10904,403,2005-08-17 18:56:55
2.99,1,3151,2093,77,2005-06-20 20:36:53
2.99,2,11129,15181,566,2005-08-02 09:08:44
4.99,1,4017,15930,595,2005-07-07 01:08:18
3.99,2,9443,76,3,2005-07-30 21:45:46
4.99,1,6342,10889,403,2005-07-11 19:48:24
5.99,1,7963,6687,247,2005-07-28 13:48:38
10.99,2,11992,3674,136,2005-08-17 18:27:22
0.99,1,14469,14870,554,2005-08-21 13:07:24
2.99,1,1348,5286,196,2005-06-15 12:45:30
0.99,2,12663,10171,375,2005-08-18 19:10:52
1.99,1,14386,13857,514,2005-08-21 10:06:34
4.99,1,2227,5422,200,2005-06-18 03:43:23
0.99,2,9421,4389,161,2005-07-30 21:08:32
2.99,1,14829,14683,546,2005-08-22 01:35:37
0.99,2,11380,14795,551,2005-08-02 18:17:32
4.99,1,9974,13561,503,2005-07-31 16:51:11
0.99,2,8116,19,1,2005-07-28 19:20:07
0.99,1,5310,640,24,2005-07-09 16:00:34
1.99,1,5578,10236,378,2005-07-10 04:00:31
4.99,2,12719,2387,87,2006-02-14 15:16:03
