tariffa_noleggio,voto,costo_sostituzione,descrizione,lingua_originale_id,film_id,lingua,data_rilascio,durata,titolo,durata_noleggio
2.99,PG,28.99,A Taut Reflection of a Monkey And a Womanizer who must Chase a Moose in Nigeria,,729,English,2006,177,RIDER CADDYSHACK,5
0.99,G,16.99,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,,11,English,2006,126,ALAMO VIDEOTAPE,6
4.99,R,28.99,A Insightful Saga of a Astronaut And a Explorer who must Pursue a Mad Scientist in A U-Boat,,889,English,2006,111,TIES HUNGER,3
4.99,G,25.99,A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park,,412,English,2006,102,HEAVYWEIGHTS BEAST,6
2.99,PG,13.99,A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico,,308,English,2006,142,FERRIS MOTHER,3
2.99,NC-17,29.99,A Amazing Yarn of a Hunter And a Butler who must Defeat a Boy in A Jet Boat,,483,English,2006,171,JERICHO MULAN,3
2.99,NC-17,28.99,A Insightful Story of a Man And a Husband who must Overcome a Madman in A Monastery,,520,English,2006,91,LICENSE WEEKEND,7
4.99,PG,28.99,A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria,,532,English,2006,80,LOSER HUSTLER,5
2.99,G,10.99,A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback,,959,English,2006,83,WARLOCK WEREWOLF,6
2.99,G,10.99,A Thrilling Display of a Boat And a Monkey who must Meet a Composer in Ancient China,,612,English,2006,180,MUSSOLINI SPOILERS,6
0.99,NC-17,29.99,A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India,,270,English,2006,85,EARTH VISION,7
4.99,NC-17,16.99,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,,120,English,2006,92,CARIBBEAN LIBERTY,3
2.99,PG-13,20.99,A Action-Packed Drama of a Monkey And a Dentist who must Chase a Butler in Berlin,,667,English,2006,160,PEACH INNOCENT,3
2.99,PG-13,13.99,A Intrepid Saga of a Man And a Forensic Psychologist who must Reach a Squirrel in A Monastery,,235,English,2006,68,DIVIDE MONSTER,6
0.99,PG,29.99,A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat,,423,English,2006,69,HOLLYWOOD ANONYMOUS,7
0.99,G,29.99,A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria,,901,English,2006,142,TRACY CIDER,3
2.99,NC-17,19.99,A Emotional Display of a Monkey And a Waitress who must Reach a Secret Agent in California,,709,English,2006,147,RACER EGG,7
0.99,PG-13,9.99,A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin,,348,English,2006,86,GANDHI KWAI,7
2.99,PG,18.99,A Fanciful Yarn of a Crocodile And a Forensic Psychologist who must Discover a Crocodile in The Outback,,536,English,2006,65,LOVELY JINGLE,3
0.99,PG,9.99,A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat,,875,English,2006,173,TALENTED HOMICIDE,6
2.99,PG-13,16.99,A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans,,208,English,2006,89,DARES PLUTO,7
4.99,G,29.99,A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse,,969,English,2006,159,WEST LION,4
0.99,PG-13,21.99,A Astounding Yarn of a Womanizer And a Dog who must Reach a Waitress in A MySQL Convention,,494,English,2006,120,KARATE MOON,4
0.99,PG-13,25.99,A Awe-Inspiring Tale of a Astronaut And a Database Administrator who must Chase a Secret Agent in The Gulf of Mexico,,766,English,2006,84,SAVANNAH TOWN,5
0.99,PG,17.99,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,,91,English,2006,98,BOUND CHEAPER,5
2.99,NC-17,16.99,A Action-Packed Yarn of a Womanizer And a Lumberjack who must Chase a Sumo Wrestler in A Monastery,,413,English,2006,169,HEDWIG ALTER,7
2.99,G,29.99,A Emotional Yarn of a Robot And a Boy who must Outgun a Technical Writer in A U-Boat,,537,English,2006,75,LOVER TRUMAN,3
2.99,R,21.99,A Thoughtful Story of a Moose And a Husband who must Face a Secret Agent in The Sahara Desert,,895,English,2006,142,TOMORROW HUSTLER,3
4.99,PG-13,9.99,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California,,565,English,2006,56,MATRIX SNOWMAN,6
0.99,R,29.99,A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies,,309,English,2006,98,FEUD FROGMEN,6
2.99,NC-17,13.99,A Touching Character Study of a Pastry Chef And a Database Administrator who must Reach a A Shark in Ancient Japan,,484,English,2006,172,JERK PAYCHECK,3
0.99,PG,15.99,A Thrilling Character Study of a Moose And a Student who must Escape a Butler in The First Manned Space Station,,552,English,2006,130,MAJESTIC FLOATS,5
0.99,NC-17,15.99,A Intrepid Yarn of a Frisbee And a Dog who must Build a Astronaut in A Baloon Factory,,687,English,2006,138,POCUS PULP,6
0.99,R,23.99,A Brilliant Yarn of a Cat And a Car who must Confront a Explorer in Ancient Japan,,830,English,2006,149,SPIRIT FLINTSTONES,7
0.99,G,14.99,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert,,318,English,2006,103,FIREHOUSE VIETNAM,7
2.99,PG-13,22.99,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,,73,English,2006,150,BINGO TALENTED,5
0.99,NC-17,14.99,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,,87,English,2006,76,BOONDOCK BALLROOM,7
4.99,PG-13,16.99,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,,28,English,2006,91,ANTHEM LUKE,5
2.99,PG,17.99,A Awe-Inspiring Reflection of a Crocodile And a Sumo Wrestler who must Meet a Forensic Psychologist in An Abandoned Mine Shaft,,679,English,2006,50,PILOT HOOSIERS,6
4.99,R,16.99,A Fateful Reflection of a Waitress And a Crocodile who must Challenge a Forensic Psychologist in California,,563,English,2006,165,MASSACRE USUAL,6
4.99,G,13.99,A Amazing Epistle of a Squirrel And a Lumberjack who must Succumb a Database Administrator in A U-Boat,,903,English,2006,139,TRAFFIC HOBBIT,5
