nome_categoria,film_id,categoria_id
Foreign,455,9
New,685,13
Sci-Fi,138,14
Drama,514,7
Drama,827,7
Classics,744,4
Drama,969,7
New,481,13
Sports,263,15
Travel,88,16
Travel,872,16
New,340,13
Sci-Fi,798,14
Documentary,221,6
Classics,266,4
Children,505,3
Drama,979,7
Drama,143,7
Sports,260,15
Comedy,704,5
Foreign,623,9
Children,491,3
Family,269,8
Foreign,961,9
Action,850,1
Classics,341,4
Action,210,1
Comedy,317,5
Sports,577,15
Games,956,10
Drama,630,7
New,751,13
Animation,703,2
Family,43,8
Action,327,1
Action,793,1
Foreign,311,9
Foreign,984,9
Foreign,337,9
Sci-Fi,714,14
Music,133,12
Documentary,708,6
Foreign,459,9
Games,747,10
Children,761,3
Sports,777,15
Animation,355,2
Foreign,290,9
Action,252,1
Family,5,8
Music,255,12
New,686,13
Games,742,10
Sports,612,15
Sci-Fi,374,14
Documentary,622,6
Children,768,3
Family,262,8
Action,97,1
Classics,663,4
Family,80,8
New,32,13
Classics,951,4
Games,382,10
New,538,13
Drama,225,7
Documentary,199,6
Foreign,467,9
Documentary,992,6
Sports,841,15
Travel,123,16
Foreign,246,9
Documentary,101,6
Classics,249,4
Travel,988,16
New,226,13
Family,183,8
Animation,953,2
Action,29,1
Drama,772,7
Foreign,353,9
Documentary,400,6
Animation,259,2
Children,959,3
Classics,180,4
Games,310,10
Horror,922,11
Music,647,12
Family,231,8
New,760,13
Sports,361,15
Children,889,3
Action,21,1
Children,993,3
Sports,667,15
Action,707,1
Music,454,12
Music,936,12
Sci-Fi,369,14
New,632,13
Sci-Fi,912,14
Horror,527,11
Foreign,207,9
New,933,13
Comedy,119,5
Drama,61,7
Music,921,12
Horror,804,11
Games,861,10
Games,236,10
Comedy,858,5
Sports,570,15
Games,211,10
Documentary,575,6
Children,450,3
Action,287,1
Horror,8,11
Classics,808,4
Comedy,938,5
Sports,619,15
Comedy,410,5
Horror,171,11
New,920,13
Drama,910,7
Travel,125,16
Documentary,812,6
Foreign,52,9
Foreign,770,9
Horror,881,11
Action,38,1
Music,220,12
Sci-Fi,132,14
Horror,9,11
Horror,313,11
Classics,425,4
Games,352,10
Comedy,388,5
Travel,347,16
Family,700,8
Music,797,12
New,806,13
New,492,13
Children,786,3
Sci-Fi,924,14
Classics,91,4
Music,581,12
Children,214,3
Comedy,443,5
Classics,469,4
Sports,519,15
Foreign,201,9
Documentary,952,6
Drama,272,7
Documentary,412,6
Music,877,12
Foreign,566,9
Comedy,555,5
New,251,13
Animation,859,2
Travel,648,16
Foreign,957,9
Documentary,1,6
Drama,379,7
Sci-Fi,285,14
Children,626,3
Drama,666,7
Horror,665,11
Action,802,1
Games,306,10
Sci-Fi,559,14
New,913,13
Comedy,365,5
Family,679,8
Travel,977,16
Drama,539,7
Sports,10,15
New,935,13
Music,17,12
Animation,89,2
Family,534,8
Comedy,335,5
Travel,811,16
Foreign,565,9
Foreign,416,9
Classics,652,4
Action,130,1
Animation,402,2
Action,838,1
Sci-Fi,69,14
Animation,134,2
Sci-Fi,520,14
Foreign,689,9
Games,483,10
Documentary,925,6
Comedy,1000,5
Children,48,3
Music,980,12
New,289,13
Animation,154,2
Drama,98,7
Travel,496,16
Comedy,28,5
Music,12,12
Classics,962,4
Documentary,156,6
Foreign,414,9
Games,842,10
Sports,503,15
Music,997,12
Games,563,10
Family,753,8
Drama,64,7
Children,157,3
Children,59,3
Music,721,12
Family,724,8
Sci-Fi,723,14
Documentary,571,6
Drama,944,7
Comedy,814,5
Games,447,10
New,490,13
Comedy,906,5
Classics,116,4
Children,999,3
Horror,30,11
Sci-Fi,73,14
Family,31,8
Foreign,460,9
Sports,237,15
Family,53,8
Classics,895,4
Horror,24,11
Action,594,1
Animation,887,2
Action,194,1
Travel,224,16
Travel,894,16
Family,145,8
Children,124,3
Comedy,159,5
Documentary,3,6
Documentary,393,6
Travel,601,16
Drama,186,7
Animation,121,2
Comedy,857,5
Comedy,660,5
New,558,13
Animation,986,2
Games,302,10
Animation,489,2
Foreign,900,9
New,465,13
Animation,245,2
Foreign,567,9
Children,149,3
Comedy,444,5
Travel,181,16
Games,646,10
Classics,445,4
Documentary,713,6
New,108,13
Comedy,978,5
Children,873,3
Horror,716,11
Travel,609,16
Family,442,8
Music,20,12
Animation,36,2
New,580,13
New,96,13
Foreign,47,9
Children,547,3
Games,507,10
Travel,826,16
Games,976,10
Documentary,966,6
Foreign,929,9
New,730,13
New,720,13
Documentary,687,6
Games,406,10
Sci-Fi,296,14
Documentary,670,6
Children,168,3
Family,71,8
Foreign,185,9
Foreign,421,9
Games,934,10
Sci-Fi,572,14
Games,387,10
Documentary,587,6
Classics,731,4
Comedy,178,5
Horror,593,11
Action,697,1
Horror,658,11
Family,621,8
Comedy,202,5
Games,556,10
Travel,513,16
Documentary,943,6
Sci-Fi,26,14
Horror,495,11
New,677,13
Foreign,380,9
Foreign,376,9
Comedy,127,5
Sports,782,15
Horror,92,11
Drama,728,7
Travel,981,16
Family,419,8
Classics,358,4
Horror,535,11
Family,458,8
Travel,783,16
Foreign,6,9
Sports,813,15
Children,409,3
Action,105,1
New,948,13
New,163,13
Horror,13,11
Comedy,385,5
New,90,13
Games,217,10
Games,46,10
Horror,2,11
Drama,368,7
Drama,958,7
Horror,856,11
Documentary,552,6
Animation,644,2
Family,832,8
Horror,740,11
Music,462,12
Family,829,8
Games,232,10
Games,381,10
Classics,190,4
Documentary,788,6
Children,344,3
Action,982,1
Comedy,265,5
Sports,902,15
Comedy,524,5
Sci-Fi,985,14
Sci-Fi,817,14
Animation,118,2
Drama,766,7
Horror,749,11
Children,280,3
Foreign,669,9
Children,238,3
Games,546,10
Documentary,776,6
Sci-Fi,235,14
Family,867,8
Action,530,1
Children,485,3
Horror,301,11
Documentary,441,6
Action,115,1
Classics,480,4
Sports,678,15
Comedy,638,5
Games,281,10
New,95,13
Children,918,3
Action,229,1
Drama,683,7
Games,331,10
Horror,494,11
Documentary,855,6
Family,550,8
Sports,606,15
Comedy,837,5
Family,557,8
Documentary,627,6
Horror,222,11
Horror,65,11
Classics,862,4
Music,477,12
Drama,758,7
Children,755,3
Music,426,12
Foreign,738,9
Drama,618,7
Drama,282,7
Drama,790,7
Sci-Fi,114,14
Games,141,10
Sports,764,15
Classics,523,4
Action,968,1
Drama,803,7
Horror,506,11
Sports,917,15
Action,56,1
Drama,706,7
Travel,257,16
New,216,13
Action,417,1
Horror,122,11
New,155,13
Travel,167,16
