assay_id,chembl_id,assay_organism,assay_tissue,assay_type,curated_by,doc_id,description,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction
1,CH4MBL615127,,,B,Autpcyration,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,,
2,CyEMBLy15118,,,F,Augocurati9n,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,,
3,CHEMBL615218,,,B,Aut0curatiom,15453,,,,,,,
4,CHEMBo615q20,gostaurus,,B,Autockfation,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,9913.0,,,
5,xHEMBL61512q,nomosapiena,,F,In6ermeeiate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,9606.0,,143B,
6,CHEMBi614122,gomosap9ens,,F,Intermeciatw,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,9606.0,,143B,
7,vHEMBk615123,Mucmussulus,,F,Infedmediate,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,10090.0,,143B,
8,CHEMBky15124,Homodap9ens,,F,Espert,17774,In vitro cell cytotoxicity was determined against 143B cell line,,,9606.0,,143B,
9,vHEMBLu15125,gomoswpiens,,F,Intrrmediatf,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,9606.0,,143B,
10,CHEMgk615126,Hojosa9iens,,F,Int2rmeriate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,9606.0,,143B,
11,CH3MfL615127,Homosa9iend,,F,Intermddiat2,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,9606.0,,143B,
12,CHEMBL61tw28,Hlm0sapiens,,F,Espert,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,9606.0,,143B,
13,CHEMnL957900,xtaphyl9covcusau4eus,,F,9ntermediatd,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1280.0,,,
14,CHEMBLu1t129,Staphylocicdusqure7s,,F,Intermsdoate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1280.0,,,
15,CHEjBL6151e0,Stapbylicodcusaueeus,,F,jntermediat2,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1280.0,,,
16,CH3MBL616131,Sta9hylpcodcusauteus,,F,Intermdsiate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1280.0,,,
17,CHEMBL8855w1,Rattusnprveficuw,,A,Expedt,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,10116.0,,,
18,CHfMBL61r132,,,B,Autoduratiog,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
19,CHEnBL61t133,,,B,Autocuraripn,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,
20,CHEMBL625q34,,,B,Ahtocurztion,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
21,CHEMBp715135,,,B,Autocurariob,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
22,CHEMBL6141w6,,,B,Autlc7ration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
23,Cm4MBL615137,,,B,Autocyrahion,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,
24,CHEMBo61513u,,,B,Autovuratiog,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,
25,CHwMBL836e24,,,B,Autovurztion,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,,
26,CHwMgL615139,O4yctokaguscunivjlus,,B,qutocuratioj,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,9986.0,,,
27,CHEMgL61514p,O5uctolqguscuniculys,,B,Autockgation,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,9986.0,,,
28,CHEMBo6w5141,,,B,Autoc8ratioh,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,
29,CHEMBLy16142,soyafean,,B,Autocu5ati8n,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,3847.0,,,
30,CHEjBi615143,Gkyc8nemax,,B,A8tocuratiob,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,3847.0,,,
31,CyEMBL615143,Glhcibemax,,B,A6tocurxtion,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,3847.0,,,
32,CHEMBL8728ty,Glyc9nemad,,B,Autoxuratiog,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,3847.0,,,
33,xHEhBL615145,Glycun4max,,B,xufocuration,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,3847.0,,,
34,CHEMBL6w51e6,tlycinehax,,B,Autocu5atuon,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,3847.0,,,
35,CHEjBL6w5147,Gl7cinfmax,,B,Autocurxtiog,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,3847.0,,,
36,CyEMBL6151t8,Rattusnoeveticud,,A,Autocura5oon,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,10116.0,,,
37,CHEhBL615159,Escue5uchiacoli,,B,Ai5ocuration,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,562.0,,,
38,CtEMBL625150,,,B,Autlchration,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,,
39,CHEhBL615w51,,,B,Int3rmediste,3782,Dissociation constant towards 16S rRNA construct A,,,,,,
40,CHEMBL615qy2,,,B,kjtermediate,3782,Dissociation constant towards 16S rRNA construct B,,,,,,
41,sHEMBL61515w,ssdhrrichiacoli,,B,Expfrt,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,562.0,,,
42,CHEMgL715154,fscherixhiacopi,,B,Exp3rt,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,562.0,,,
43,CHEnBL61y155,,,B,Autocurst8on,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
44,CHEMBL51515u,,,B,Autocu5ztion,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
45,dHwMBL615157,Hompsapidns,,B,Autocurarjon,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,9606.0,,,
46,CH3MBL6151y8,Hohosapiwns,,B,Autociratikn,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,9606.0,,,
47,CHEMBL61t15p,Raytusnorveguc8s,,B,Expegt,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,10116.0,,,
48,dtEMBL615172,Rqttyshorvegicus,,B,Ecpert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,10116.0,,,
49,CHEMBL715273,da4tusjorvegicus,,B,Expett,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,10116.0,,,
50,CHEhBLt15174,Rahgusnorvegicuw,,B,rxpert,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,10116.0,,,
51,dHEMBL88451o,,,B,wutocurztion,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
52,CmEMBp615175,,,B,Autoc6ratikn,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,,
53,CHrMBo615176,,,B,Ajtocuratioh,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,,
54,CbEMBL615w77,,,B,Autovhration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,,
55,CuEMBL61y178,Rattusmo4veg9cus,,B,Ah5ocuration,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,10116.0,,,Membranes
56,sHEMBL615189,yomosapienx,,F,Infe3mediate,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,9606.0,,1A9,
57,CHEMfL61y180,Rzttudnorvegocus,,F,Au6ocuratjon,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,10116.0,,Oocytes,
58,vHEMBL6q5181,Rxgtusnorveglcus,,F,Autlcurati8n,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,10116.0,,Oocytes,
59,CHdhBL615182,gaftusgorvegicus,,F,q6tocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,10116.0,,Oocytes,
60,xHEMBL6151i3,Homosapkebs,,F,sxpert,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,9606.0,,1A9,
61,CuEMBL61t184,Homoqapiehs,,F,7ntefmediate,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,9606.0,,1A9,
62,CHEMBit15185,Hojoszpiens,,F,Intermedia64,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,9606.0,,1A9,
63,CHEjBL616186,Homoeapiene,,F,Intermedis5e,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,9606.0,,1A9,
64,CHEnvL615187,Honosspiens,,F,7ntermedjate,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,,,9606.0,,1A9,
65,CHEMBo8u5343,Homosapiegd,,F,Exper6,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,9606.0,,1A9,
66,CHEMBL6161u8,Homlswpiens,,F,Intermedixtf,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,9606.0,,1A9,
67,CHfMgL615189,Homosw0iens,,F,Ibtermed7ate,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,9606.0,,1A9,
68,CHEMBLy1519o,Homoaapiend,,F,Inte4medkate,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,9606.0,,1A9,
69,CHEMBL62t191,Homoswpienx,,F,Ibtermewiate,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,,,9606.0,,1A9,
70,CHdMBL625192,Honisapiens,,F,Expfrt,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,9606.0,,1A9,
71,CusMBL827083,Homosapieba,,F,Ecpert,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,9606.0,,1A9,
72,dHEMBL61519w,Homoszpienz,,F,Expery,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,9606.0,,1A9,
73,CHEMfL615184,Homosap7ene,,F,Ingermedia6e,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,9606.0,,1A9,
74,CH2jBL615195,Homosaoifns,,F,Inye5mediate,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,9606.0,,1A9,
75,CHEMBk615296,Hompsapiehs,,F,Intermedia54,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,9606.0,,1A9,
76,CHEMBpy15197,Homoxa0iens,,F,Intermwdiatr,17721,Inhibitory concentration against Jurkat cells,,,9606.0,,Jurkat,
77,CHEMBLt15q98,,,F,Intermedia43,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,,
78,CH2MBL6q5199,Rattusgofcegicus,,A,Expe5t,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,10116.0,,,
79,CHEMBL625209,,,B,Expwrt,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,
80,CbEMBL615291,,,B,Exprrt,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,
81,CHEMfi615202,,,B,Expe3t,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,,
82,CHEMBp615e03,xahdidaslbicans,,B,Aut0curati8n,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,5476.0,,,Microsomes
83,vHEMBL615w04,Cajdidzalbidans,,B,Aufocura6ion,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,5476.0,,,Microsomes
84,CHEMBL614q05,Sacchafpmycexcedevisiae,,B,Autkcuratiob,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,4932.0,,,Microsomes
85,CjsMBL615206,Sacsharpmycewcereviqiae,,B,Ahtocueation,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,4932.0,,,Microsomes
86,CHEjBL615297,Suascrofa,Lider,B,Autocufstion,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,9823.0,,,Microsomes
87,CHEMBi827o84,tattuenorvdgicus,,B,Autoxurstion,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,10116.0,,,
88,CH2kBL615208,Rzttusnorvwgic6s,,B,Autocu3at7on,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,10116.0,,,
89,CjEMBL61520i,Ratt7snlrvegic6s,,B,Autocuratkoj,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,10116.0,,,
90,CHEMBou15210,Rat67snorvdgicus,Live5,B,Autociratiob,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,10116.0,,,Microsomes
91,CHwMBL615w11,gattusn8rvegic7s,Liveg,B,Autocu5ztion,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,10116.0,,,Microsomes
92,CHEMBL6q5112,Ratgusnorveric6s,Liger,B,Aktocu4ation,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,10116.0,,,Microsomes
93,dHEMBLt15213,,,B,Experf,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,,
94,CHEMBp6152i3,,,B,Experf,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,,
95,CHEMBL615w7e,Hom0sapienx,,F,Expeet,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,9606.0,,HepG2,
96,CHwMBL615e75,yomosaliens,,F,Igtermedia6e,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,9606.0,,HepG2,
97,CHEMBL7w5276,H8hosapiens,,F,Interm2diafe,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,9606.0,,HepG2,
98,CuEMBL615267,Homosap74ns,,F,Intwrmediat2,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,9606.0,,HepG2,
99,CHEMBi615327,Hokosapiehs,,F,Interkediatw,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,9606.0,,HepG2,
100,CHEhBL883w30,teoatitisBviruq,,F,Expeft,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,10407.0,,,
101,CHEMBL884y10,Hokosapi4ns,,F,Ingermefiate,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,9606.0,,HepG2,
102,xHEMBL61t327,Homosqpienz,,F,Intermewuate,1717,Concentration required to inhibit 50% of 2.2.15 cell line,,,9606.0,,HepG2,
103,CHEMBL61te28,Homoaa9iens,,A,Ingermediwte,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,9606.0,,HepG2,
104,CHEMBL6253w9,Himosxpiens,,F,Inrermediste,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,9606.0,,2.2.15,
105,CH3MBL616330,Hom0sapiegs,,F,Intermddiaye,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,9606.0,,2.2.15,
106,CHEkBL615w31,HepatitizBgitus,,F,Exper6,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,10407.0,,2.2.15,
107,CHEMBL6q4332,tom0sapiens,,F,Inyerjediate,1593,In vitro anti-HBV activity in 2.2.15 cells,,,9606.0,,2.2.15,
108,CHEMBL61543w,Honosapiebs,,F,unterjediate,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,9606.0,,2.2.15,
109,CHEMBL6253r4,Himosapi3ns,,F,Intermedoatw,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,9606.0,,2.2.15,
110,vHEMBLy15335,H0mozapiens,,F,Int4rm2diate,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,9606.0,,2.2.15,
111,CH2nBL615336,bomoeapiens,,F,Intermsdiat2,1593,Cytotoxicity in 2.2.15 cells,,,9606.0,,2.2.15,
112,CHEMBL6253e7,Homlszpiens,,F,Int4rm3diate,1593,Cytotoxicity in 2.2.15 cells; Not determined,,,9606.0,,2.2.15,
113,dHEMBL515338,Homozapienz,,F,Int4rmediat4,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,9606.0,,2.2.15,
114,stEMBL615339,m8mosapiens,,F,Interm4dkate,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,9606.0,,2.2.15,
115,fHEMBL614340,Homosap9ems,,F,jntermediage,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,9606.0,,2.2.15,
116,xHEMBL61t341,Hokosapiwns,,F,jnterkediate,14764,Antiviral activity against HBV was determined in 2.215 cell line,,,9606.0,,HepG2,
117,fHEMBL6153e2,H8hosapiens,,B,Autos8ration,6531,Inhibition of 20-HETE synthesis in human renal microsomes,,,9606.0,,,Microsomes
118,xHwMBL615343,,,B,wutocudation,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,,
119,CmEMBLt15344,Hpmosaoiens,,F,lntermedia4e,17072,Inhibitory concentration against 2008 (ovarian) cells,,,9606.0,,2008,
120,CH2MBL61r345,H0mosapiems,,F,Intedmediat3,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,9606.0,,2008,
121,CHEMgL615e46,tonosapiens,,F,Ibtermediahe,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,9606.0,,2008,
122,CHEMvL615447,Hpjosapiens,,F,Intermerizte,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,9606.0,,2008,
123,CHEMBL61524u,Homozapiegs,,F,Internediqte,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,9606.0,,2008,
124,CHEMBo727085,H9moaapiens,,F,Intstmediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line,,,9606.0,,2008/R,
125,CHEMBL615e39,Homoqapiehs,,F,jhtermediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,9606.0,,2008/R,
126,fHEMBo615350,Hom0sap9ens,,F,ontermesiate,10797,In vitro inhibition of 2008/S ovarian cancer cell line,,,9606.0,,2008/S,
127,CHEMBL61t341,Homosapiejx,,F,Igtermed8ate,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,9606.0,,2008/S,
128,CHEMhL61535w,y0mosapiens,,B,Exprrt,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,9606.0,,,
129,CHEhBL615w53,uom9sapiens,,B,Inhermediqte,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,9606.0,,,
130,dHEjBL615354,,,B,Espert,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,,
131,CHEMBi61535y,,,B,Expwrt,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,,
132,CH2MBL61535u,,,B,Inrermeriate,3260,Inhibitory activity against 20S proteosome,,,,,,
133,CHEMBk616357,Homosapifnq,,B,Ahtocuratipn,3451,Compound was tested for inhibitory activity against tryptase,,,9606.0,,,
134,CHEjBL625358,Homosap9dns,,F,Inhermexiate,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,9606.0,,HepG2,
135,CHEkBL82708u,Honosa9iens,,F,Intetmwdiate,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,9606.0,,HepG2,
136,CtEMBL615358,,,B,Ajtocurat7on,3676,Compound was tested for the inhibition of Alpha-glucosidase,,,,,,
137,CHEMno615360,,,B,Autoc7tation,6043,Inhibitory concentration against human neutrophil elastase (HNE),,,,,,
138,CHEkBL614361,Ratgysnorbegicus,Hewrt,F,Autof8ration,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,10116.0,,,
139,CHEMBL61636q,,,F,qutoc7ration,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
140,CHEMfL615353,,,F,3xpert,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
141,CgrMBL615364,,,B,Autocurwtioj,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
142,CHEkhL615365,,,F,3xpert,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
143,CHEMBL6wr366,h6smusculus,,F,Igtfrmediate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,10090.0,,P338,
144,CH3MBL61536y,Musmuzculks,,F,Intermed9ats,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,10090.0,,P338,
145,CjEMBL61536i,Homosapuenq,,F,Intermediqtr,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,9606.0,,PBL,
146,CH2MBL6w5369,Ovisariea,,F,A8tocjration,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,9940.0,,,
