assays_ss_d,assays_src_d,assays_ss_cll_tp,assays_cnfdnc_scr,assays_ss_rgnsm,assays_ss_tst_tp,assays_ss_ctgr,assays_ss_tx_d,assays_tss_d,assays_cll_d,assays_dscrptn,assays_ss_tss,assays_vrnt_d,assays_src_ss_d,assays_ss_sbclllr_frctn,assays_b_frmt,assays_td,assays_rltnshp_tp,assays_crtd_b,assays_chmbl_d
7524,1,,1,Rattus norvegicus,In vivo,,10116.0,2113.0,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Kidney,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618647
7525,1,,1,Rattus norvegicus,In vivo,,10116.0,2113.0,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Kidney,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618648
7526,1,,1,Rattus norvegicus,In vivo,,10116.0,2113.0,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Kidney,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618649
7527,1,,1,Rattus norvegicus,In vivo,,10116.0,2107.0,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Liver,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618650
7528,1,,1,Rattus norvegicus,In vivo,,10116.0,2107.0,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Liver,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618651
7529,1,,1,Rattus norvegicus,In vivo,,10116.0,2107.0,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Liver,,,,BAO_0000218,50597,N,Intermediate,CHEMBL876497
7530,1,,1,Rattus norvegicus,In vivo,,10116.0,2048.0,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Lung,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618652
7531,1,,1,Rattus norvegicus,In vivo,,10116.0,2048.0,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Lung,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618653
7532,1,,1,Rattus norvegicus,In vivo,,10116.0,2048.0,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Lung,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618654
7533,1,,1,Rattus norvegicus,,,10116.0,,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618655
