doc_id,cell_id,assay_cell_type,tid,assay_tax_id,assay_category,src_assay_id,bao_format,assay_type,tissue_id,chembl_id,variant_id,assay_subcellular_fraction,curated_by,assay_tissue,src_id,confidence_score,assay_strain,assay_organism,relationship_type,assay_test_type,assay_id,description
11087,,,12052,,,,BAO_0000019,B,,CHEMBL615117,,,Autocuration,,1,8,,,H,,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM
684,,,22226,,,,BAO_0000219,F,,CHEMBL615118,,,Autocuration,,1,0,,,U,,2,Compound was evaluated for its ability to mobilize calcium in 1321NI cells
15453,,,22226,,,,BAO_0000019,B,,CHEMBL615119,,,Autocuration,,1,0,,,U,,3,
17841,,,104729,9913.0,,,BAO_0000249,B,,CHEMBL615120,,,Autocuration,,1,4,,Bos taurus,H,,4,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680
17430,163.0,143B,80001,9606.0,,,BAO_0000219,F,,CHEMBL615121,,,Intermediate,,1,1,,Homo sapiens,N,,5,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line)
17430,163.0,143B,80001,9606.0,,,BAO_0000219,F,,CHEMBL615122,,,Intermediate,,1,1,,Homo sapiens,N,,6,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line)
13799,163.0,143B,80001,10090.0,,,BAO_0000219,F,,CHEMBL615123,,,Intermediate,,1,1,,Mus musculus,N,,7,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells
17774,163.0,143B,80001,9606.0,,,BAO_0000219,F,,CHEMBL615124,,,Expert,,1,1,,Homo sapiens,N,,8,In vitro cell cytotoxicity was determined against 143B cell line
3801,163.0,143B,80001,9606.0,,,BAO_0000219,F,,CHEMBL615125,,,Intermediate,,1,1,,Homo sapiens,N,,9,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound
17430,163.0,143B,80001,9606.0,,,BAO_0000219,F,,CHEMBL615126,,,Intermediate,,1,1,,Homo sapiens,N,,10,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK
